county,precinct,office,district,party,candidate,votes,election_day,early,absentee
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,DEM,Democratic Party,496,105,90,301
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,DEM,Democratic Party,439,134,85,220
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,DEM,Democratic Party,496,88,119,289
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,DEM,Democratic Party,389,97,63,229
Grand Traverse,Traverse City Pct 10,Straight Party Ticket,,DEM,Democratic Party,508,121,91,296
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,8,4,1,3
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,3,1,0,2
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,LIB,Libertarian Party,1,0,0,1
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,8,3,1,4
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,5,4,0,1
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,LIB,Libertarian Party,6,5,0,1
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,LIB,Libertarian Party,3,2,1,0
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,LIB,Libertarian Party,3,1,1,1
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,4,3,0,1
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,10,3,1,6
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,LIB,Libertarian Party,8,5,0,3
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,LIB,Libertarian Party,5,3,0,2
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,LIB,Libertarian Party,5,3,2,0
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,LIB,Libertarian Party,11,11,0,0
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,7,3,0,4
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,5,3,0,2
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,LIB,Libertarian Party,1,1,0,0
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,9,6,0,3
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,2,0,0,2
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,LIB,Libertarian Party,7,4,1,2
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,3,3,0,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,6,5,1,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,3,3,0,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,4,2,0,2
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,2,1,1,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,LIB,Libertarian Party,6,3,1,2
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,LIB,Libertarian Party,4,1,1,2
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,LIB,Libertarian Party,1,0,0,1
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,LIB,Libertarian Party,5,3,1,1
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,LIB,Libertarian Party,3,1,1,1
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,LIB,Libertarian Party,4,2,0,2
Grand Traverse,Traverse City Pct 10,Straight Party Ticket,,LIB,Libertarian Party,3,0,1,2
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,8,4,0,4
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,2,0,1,1
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,7,2,3,2
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,3,0,1,2
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,WCP,Working Class Party,4,2,1,1
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,WCP,Working Class Party,8,4,4,0
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,5,3,1,1
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,4,1,2,1
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,WCP,Working Class Party,3,2,0,1
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,WCP,Working Class Party,2,1,0,1
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,WCP,Working Class Party,0,0,0,0
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,3,1,2,0
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,5,2,0,3
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,WCP,Working Class Party,8,2,1,5
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,WCP,Working Class Party,8,5,2,1
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,WCP,Working Class Party,4,2,0,2
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,WCP,Working Class Party,2,1,1,0
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,2,2,0,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,7,4,1,2
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,WCP,Working Class Party,4,0,2,2
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,1,0,1,0
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,2,1,1,0
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,WCP,Working Class Party,3,2,0,1
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,2,2,0,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,5,4,1,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,7,6,1,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,1,0,1,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,WCP,Working Class Party,1,0,0,1
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,WCP,Working Class Party,0,0,0,0
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,WCP,Working Class Party,2,2,0,0
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,WCP,Working Class Party,0,0,0,0
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,WCP,Working Class Party,2,1,1,0
Grand Traverse,Traverse City Pct 10,Straight Party Ticket,,WCP,Working Class Party,2,0,1,1
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,GRN,Green Party,2,1,1,0
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,GRN,Green Party,2,1,1,0
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,GRN,Green Party,1,0,1,0
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,GRN,Green Party,2,1,0,1
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,GRN,Green Party,2,2,0,0
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,GRN,Green Party,1,1,0,0
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,GRN,Green Party,3,1,1,1
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,GRN,Green Party,1,0,1,0
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,GRN,Green Party,2,2,0,0
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,GRN,Green Party,2,0,1,1
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,GRN,Green Party,2,0,0,2
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,GRN,Green Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,GRN,Green Party,1,1,0,0
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,GRN,Green Party,1,0,1,0
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,GRN,Green Party,5,2,0,3
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,GRN,Green Party,2,0,0,2
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,GRN,Green Party,2,2,0,0
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,GRN,Green Party,5,4,0,1
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,GRN,Green Party,4,1,2,1
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,GRN,Green Party,0,0,0,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,GRN,Green Party,0,0,0,0
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,GRN,Green Party,2,0,1,1
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,GRN,Green Party,2,1,0,1
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,GRN,Green Party,5,4,0,1
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,GRN,Green Party,0,0,0,0
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,GRN,Green Party,1,1,0,0
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,GRN,Green Party,2,2,0,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,GRN,Green Party,2,1,1,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,GRN,Green Party,2,2,0,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,GRN,Green Party,2,2,0,0
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,GRN,Green Party,2,0,0,2
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,GRN,Green Party,0,0,0,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,GRN,Green Party,1,1,0,0
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,GRN,Green Party,3,3,0,0
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,GRN,Green Party,0,0,0,0
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,GRN,Green Party,2,1,1,0
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,GRN,Green Party,5,4,0,1
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,GRN,Green Party,2,1,0,1
Grand Traverse,Traverse City Pct 10,Straight Party Ticket,,GRN,Green Party,6,4,0,2
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,6,5,1,0
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,1,0
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,UST,U.S. Taxpayers Party,3,2,1,0
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,3,3,0,0
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,0,1
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,1,0
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,0,1,1
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,UST,U.S. Taxpayers Party,3,2,0,1
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,1,0
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,1,0
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,1,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,1,0
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,1,0
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Grand Traverse,Traverse City Pct 10,Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,1,1,0,0
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,2,0,2,0
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,NLP,Natural Law Party,2,0,0,2
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,NLP,Natural Law Party,1,1,0,0
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,1,0,0,1
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,1,0,1,0
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,NLP,Natural Law Party,1,0,0,1
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,NLP,Natural Law Party,1,0,0,1
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,2,1,1,0
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,NLP,Natural Law Party,2,1,0,1
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,NLP,Natural Law Party,1,1,0,0
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,NLP,Natural Law Party,1,0,0,1
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,1,1,0,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,1,0,0,1
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,1,1,0,0
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,NLP,Natural Law Party,2,1,1,0
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,1,0,1,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,5,3,2,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,1,0,0,1
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,NLP,Natural Law Party,2,2,0,0
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,NLP,Natural Law Party,1,0,1,0
