county,precinct,offfice,district,party,candidate,votes,election_day,absentee,early_voting
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,,Undervotes,418,150,206,62
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,DEM,Rebecca Bahar-Cook,864,202,559,103
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,DEM,Thomas Stallworth III,790,179,513,98
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,REP,Mike Balow,966,330,479,157
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,REP,Julie Maday,966,326,480,160
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,LIB,Grant T. Baker,43,15,24,4
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,UST,Janet M. Sanger,39,16,20,3
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,UST,John Paul Sanger,15,6,8,1
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,GRN,John Anthony La Pietra,30,11,16,3
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,,Write-ins,6,4,0,2
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,,Overvotes,2,0,2,0
Emmet,Bear Creek Township Precinct 1,Trustee of Michigan State University State,,,Undervotes,425,159,207,59
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,DEM,Rasha Demashkieh,803,190,516,97
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,DEM,Mark T. Gaffney,818,187,533,98
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,REP,Michael Busuito,950,324,464,162
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,REP,Sunny Reddy,941,317,467,157
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,LIB,Farid Ishac,33,13,16,4
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,UST,William Mohr II,22,6,14,2
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,GRN,Sami Makhoul,21,6,13,2
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,WCP,Suzanne Roehrig,60,19,34,7
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,NLP,Kathleen Oakford,15,11,4,0
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,,Write-ins,7,5,0,2
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Governor of Wayne State University State,,,Undervotes,476,170,247,59
Emmet,Bear Creek Township Precinct 1,Prosecuting Attorney Emmet County,,REP,Michael H. Schuitema,1352,435,698,219
Emmet,Bear Creek Township Precinct 1,Prosecuting Attorney Emmet County,,,Write-ins,32,16,10,6
Emmet,Bear Creek Township Precinct 1,Prosecuting Attorney Emmet County,,,Overvotes,2,1,0,1
Emmet,Bear Creek Township Precinct 1,Prosecuting Attorney Emmet County,,,Undervotes,687,172,446,69
Emmet,Bear Creek Township Precinct 1,Sheriff Emmet County,,REP,Matt Leirstein,1394,453,723,218
Emmet,Bear Creek Township Precinct 1,Sheriff Emmet County,,,Write-ins,34,15,13,6
Emmet,Bear Creek Township Precinct 1,Sheriff Emmet County,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Sheriff Emmet County,,,Undervotes,645,156,418,71
Emmet,Bear Creek Township Precinct 1,Clerk Emmet County,,DEM,Elizabeth Lohman,768,191,484,93
Emmet,Bear Creek Township Precinct 1,Clerk Emmet County,,REP,Suzanne R. Kanine,1208,397,620,191
Emmet,Bear Creek Township Precinct 1,Clerk Emmet County,,,Write-ins,8,5,2,1
Emmet,Bear Creek Township Precinct 1,Clerk Emmet County,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Clerk Emmet County,,,Undervotes,89,31,48,10
Emmet,Bear Creek Township Precinct 1,Treasurer Emmet County,,REP,Mary Mitchell,1356,440,698,218
Emmet,Bear Creek Township Precinct 1,Treasurer Emmet County,,,Write-ins,22,12,7,3
Emmet,Bear Creek Township Precinct 1,Treasurer Emmet County,,,Overvotes,1,0,1,0
Emmet,Bear Creek Township Precinct 1,Treasurer Emmet County,,,Undervotes,694,172,448,74
Emmet,Bear Creek Township Precinct 1,Register of Deeds Emmet County,,REP,Karen Cosens,1368,438,712,218
Emmet,Bear Creek Township Precinct 1,Register of Deeds Emmet County,,,Write-ins,23,13,7,3
Emmet,Bear Creek Township Precinct 1,Register of Deeds Emmet County,,,Overvotes,1,0,1,0
Emmet,Bear Creek Township Precinct 1,Register of Deeds Emmet County,,,Undervotes,681,173,434,74
Emmet,Bear Creek Township Precinct 1,Drain Commissioner Emmet County,,REP,Arden J. Bawkey,1347,434,699,214
Emmet,Bear Creek Township Precinct 1,Drain Commissioner Emmet County,,,Write-ins,26,13,10,3
Emmet,Bear Creek Township Precinct 1,Drain Commissioner Emmet County,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Drain Commissioner Emmet County,,,Undervotes,700,177,445,78
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 07,,DEM,Matt Koontz,303,90,172,41
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 07,,,Write-ins,19,14,1,4
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 07,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 07,,,Undervotes,142,39,83,20
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 05,,REP,Brian A. Gutowski,755,230,398,127
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 05,,,Write-ins,12,4,5,3
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 05,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 05,,,Undervotes,342,90,211,41
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 03,,DEM,Courtney Wilber,222,53,143,26
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 03,,REP,Don Mapes,251,91,128,32
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 03,,,Write-ins,2,2,0,0
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 03,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,County Commissioner County Commissioner District 03,,,Undervotes,25,11,13,1
Emmet,Bear Creek Township Precinct 1,Supervisor Bear Creek Township,,REP,Dennis M. Keiser,1425,453,750,222
Emmet,Bear Creek Township Precinct 1,Supervisor Bear Creek Township,,,Write-ins,20,10,7,3
Emmet,Bear Creek Township Precinct 1,Supervisor Bear Creek Township,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Supervisor Bear Creek Township,,,Undervotes,628,161,397,70
Emmet,Bear Creek Township Precinct 1,Clerk Bear Creek Township,,REP,Emma Radatovich,1379,443,721,215
Emmet,Bear Creek Township Precinct 1,Clerk Bear Creek Township,,,Write-ins,20,11,6,3
Emmet,Bear Creek Township Precinct 1,Clerk Bear Creek Township,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Clerk Bear Creek Township,,,Undervotes,674,170,427,77
Emmet,Bear Creek Township Precinct 1,Treasurer Bear Creek Township,,REP,Connie Golding,1388,438,731,219
Emmet,Bear Creek Township Precinct 1,Treasurer Bear Creek Township,,,Write-ins,21,12,6,3
Emmet,Bear Creek Township Precinct 1,Treasurer Bear Creek Township,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Treasurer Bear Creek Township,,,Undervotes,664,174,417,73
Emmet,Bear Creek Township Precinct 1,Trustee Bear Creek Township,,REP,Joseph E. Hoffman,1307,418,682,207
Emmet,Bear Creek Township Precinct 1,Trustee Bear Creek Township,,REP,Thomas Clark Urman,1230,379,651,200
Emmet,Bear Creek Township Precinct 1,Trustee Bear Creek Township,,,Write-ins,30,15,9,6
Emmet,Bear Creek Township Precinct 1,Trustee Bear Creek Township,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Trustee Bear Creek Township,,,Undervotes,1579,436,966,177
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,,,Andrew Fink,695,245,341,109
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,,,Kimberly Ann Thomas,878,218,557,103
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,,,Write-ins,7,6,0,1
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,,,Overvotes,2,0,1,1
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,,,Undervotes,491,155,255,81
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Kyra Harris Bolden,951,256,588,107
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Patrick William O'Grady,628,208,312,108
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Write-ins,6,5,0,1
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Overvotes,1,1,0,0
Emmet,Bear Creek Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Undervotes,487,154,254,79
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Stephen L. Borrello,1115,363,603,149
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Write-ins,15,12,2,1
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Undervotes,943,249,549,145
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Allie Greenleaf Maldonado,1138,372,613,153
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Write-ins,14,10,3,1
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Overvotes,1,0,1,0
Emmet,Bear Creek Township Precinct 1,Judge of Court of Appeals 4th District,,,Undervotes,920,242,537,141
Emmet,Bear Creek Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Jennifer E. Deegan,1203,380,653,170
Emmet,Bear Creek Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Write-ins,16,13,2,1
Emmet,Bear Creek Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Undervotes,854,231,499,124
Emmet,Bear Creek Township Precinct 1,Judge of Probate District Court 7th District,,,Valerie K. Snyder,1166,368,643,155
Emmet,Bear Creek Township Precinct 1,Judge of Probate District Court 7th District,,,Write-ins,14,12,0,2
Emmet,Bear Creek Township Precinct 1,Judge of Probate District Court 7th District,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Judge of Probate District Court 7th District,,,Undervotes,893,244,511,138
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,John E. Fought,738,215,436,87
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,James M. Shirilla,917,225,574,118
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Janelle A. Wozniak,753,217,436,100
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,13,10,1,2
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,1725,581,861,283
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Keith A. Pretty,1104,353,606,145
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,12,9,2,1
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,957,262,546,149
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Larry Cassidy,1001,303,565,133
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Beverly Osetek,998,280,589,129
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,12,9,1,2
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,2135,656,1153,326
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Local School District Board Member Petoskey Public Schools,,,Mark Ashley,1025,285,598,142
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Local School District Board Member Petoskey Public Schools,,,Denise Petoskey,1114,316,648,150
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Local School District Board Member Petoskey Public Schools,,,Write-ins,17,9,6,2
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Local School District Board Member Petoskey Public Schools,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Local School District Board Member Petoskey Public Schools,,,Undervotes,1990,638,1056,296
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Library Services Millage Renewal Proposal Bear Creek Township,,,Yes,1282,355,761,166
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Library Services Millage Renewal Proposal Bear Creek Township,,,No,560,170,296,94
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Library Services Millage Renewal Proposal Bear Creek Township,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Library Services Millage Renewal Proposal Bear Creek Township,,,Undervotes,231,99,97,35
Emmet,Bear Creek Township Precinct 2,Registered Voters,,,,3136,,,
Emmet,Bear Creek Township Precinct 2,Ballots Cast,,,,2331,817,1197,317
Emmet,Bear Creek Township Precinct 2,Ballots Cast - Blank,,,,0,0,0,0
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,DEM,Democrat,454,114,290,50
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,REP,Republican,834,314,372,148
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,LIB,Libertarian,6,6,0,0
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,UST,U.S. Taxpayers,7,0,7,0
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,GRN,Green,5,3,1,1
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,WCP,Working Class,3,2,1,0
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,NLP,Natural Law,2,2,0,0
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,,Overvotes,1,1,0,0
Emmet,Bear Creek Township Precinct 2,Straight Party Ticket,,,Undervotes,1019,375,526,118
Emmet,Bear Creek Township Precinct 2,President,,DEM,Kamala D. Harris,918,253,573,92
Emmet,Bear Creek Township Precinct 2,President,,REP,Donald J. Trump,1356,543,594,219
Emmet,Bear Creek Township Precinct 2,President,,LIB,Chase Oliver,7,6,1,0
Emmet,Bear Creek Township Precinct 2,President,,UST,Randall Terry,4,1,3,0
Emmet,Bear Creek Township Precinct 2,President,,GRN,Jill Stein,9,4,3,2
Emmet,Bear Creek Township Precinct 2,President,,NLP,"NLP Robert F. Kennedy, Jr.",14,5,9,0
Emmet,Bear Creek Township Precinct 2,President,,NPA,NPA Joseph Kishore,1,0,0,1
Emmet,Bear Creek Township Precinct 2,President,,NPA,NPA Cornel West,1,0,1,0
Emmet,Bear Creek Township Precinct 2,President,,,Write-ins,6,2,2,2
Emmet,Bear Creek Township Precinct 2,President,,,Write-In: Peter Sonski,0,0,0,0
Emmet,Bear Creek Township Precinct 2,President,,,Overvotes,3,1,2,0
Emmet,Bear Creek Township Precinct 2,President,,,Undervotes,12,2,9,1
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,DEM,Elissa Slotkin,903,249,564,90
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,REP,Mike Rogers,1318,520,580,218
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,LIB,Joseph Solis-Mullen,23,19,2,2
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,UST,Dave Stein,23,9,13,1
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,GRN,Douglas P. Marsh,15,5,8,2
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,NLP,Doug Dern,10,4,6,0
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,,Write-ins,1,0,0,1
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,,Overvotes,1,1,0,0
Emmet,Bear Creek Township Precinct 2,U.S. Senate,,,Undervotes,37,10,24,3
Emmet,Bear Creek Township Precinct 2,U.S. House,,DEM,Callie Barr,879,241,551,87
Emmet,Bear Creek Township Precinct 2,U.S. House,,REP,Jack Bergman,1348,526,604,218
Emmet,Bear Creek Township Precinct 2,U.S. House,,LIB,Andrew Gale,21,12,6,3
Emmet,Bear Creek Township Precinct 2,U.S. House,,WCP,Liz Hakola,41,24,12,5
Emmet,Bear Creek Township Precinct 2,U.S. House,,,Write-ins,1,0,0,1
Emmet,Bear Creek Township Precinct 2,U.S. House,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 2,U.S. House,,,Undervotes,41,14,24,3
Emmet,Bear Creek Township Precinct 2,State House,,DEM,Jodi Decker,842,243,511,88
Emmet,Bear Creek Township Precinct 2,State House,,REP,Parker Fairbairn,1437,552,660,225
Emmet,Bear Creek Township Precinct 2,State House,,,Write-ins,3,1,1,1
Emmet,Bear Creek Township Precinct 2,State House,,,Overvotes,1,1,0,0
Emmet,Bear Creek Township Precinct 2,State House,,,Undervotes,48,20,25,3
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,DEM,Theodore Jones,767,202,480,85
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,DEM,Adam Frederick Zemke,757,190,482,85
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,REP,Tom McMillin,1228,474,551,203
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,REP,Nikki Snyder,1279,493,579,207
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,LIB,Scotty Boman,67,36,26,5
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,UST,Ted Gerrard,26,13,12,1
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,UST,Christine C. Schwartz,35,13,16,6
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,WCP,Mary Anne Hering,83,41,34,8
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,,Write-ins,2,1,0,1
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,,Overvotes,2,2,0,0
Emmet,Bear Creek Township Precinct 2,Member of the State Board of Education State,,,Undervotes,415,169,213,33
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,DEM,Shauna Ryder Diggs,772,201,488,83
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,DEM,Denise Ilitch,785,199,499,87
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,REP,Carl Meyers,1309,512,586,211
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,REP,Sevag Vartanian,1151,443,514,194
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,LIB,Andrew Chadderdon,67,45,14,8
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,UST,Donna M. Oetman,72,37,28,7
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,,Write-ins,6,3,0,3
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,,Write-In: Huwaida Arraf,0,0,0,0
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,,Overvotes,2,2,0,0
Emmet,Bear Creek Township Precinct 2,Regent of the University of Michigan State,,,Undervotes,498,192,265,41
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,DEM,Rebecca Bahar-Cook,807,216,504,87
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,DEM,Thomas Stallworth III,704,171,453,80
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,REP,Mike Balow,1237,480,548,209
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,REP,Julie Maday,1224,466,557,201
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,LIB,Grant T. Baker,58,39,15,4
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,UST,Janet M. Sanger,51,25,22,4
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,UST,John Paul Sanger,24,14,9,1
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,GRN,John Anthony La Pietra,40,22,16,2
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,,Write-ins,3,2,0,1
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 2,Trustee of Michigan State University State,,,Undervotes,513,199,269,45
