county,precinct,office,district,candidate,party,election_day,early_voting,votes
Gratiot,"City of Alma, Precinct 1",Prosecuting Attorney,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Prosecuting Attorney,,Laura M. Bever,Republican,627,123,750
Gratiot,"City of Alma, Precinct 1",Prosecuting Attorney,,Write-in,,11,2,13
Gratiot,"City of Alma, Precinct 1",Prosecuting Attorney,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Prosecuting Attorney,,Under Vote Count,,281,40,321
Gratiot,"City of Alma, Precinct 1",Sheriff,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Sheriff,,Tom Clark,Republican,544,105,649
Gratiot,"City of Alma, Precinct 1",Sheriff,,John Cary,No Party Affiliation,147,24,171
Gratiot,"City of Alma, Precinct 1",Sheriff,,Write-in,,3,1,4
Gratiot,"City of Alma, Precinct 1",Sheriff,,Over Vote Count,,0,1,1
Gratiot,"City of Alma, Precinct 1",Sheriff,,Under Vote Count,,225,34,259
Gratiot,"City of Alma, Precinct 1",County Clerk,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",County Clerk,,Angie Thompson,Republican,620,118,738
Gratiot,"City of Alma, Precinct 1",County Clerk,,Write-in,,10,3,13
Gratiot,"City of Alma, Precinct 1",County Clerk,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",County Clerk,,Under Vote Count,,289,44,333
Gratiot,"City of Alma, Precinct 1",County Treasurer,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",County Treasurer,,Terri R. Ball,Republican,587,117,704
Gratiot,"City of Alma, Precinct 1",County Treasurer,,Write-in,,11,4,15
Gratiot,"City of Alma, Precinct 1",County Treasurer,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",County Treasurer,,Under Vote Count,,321,44,365
Gratiot,"City of Alma, Precinct 1",Register of Deeds,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Register of Deeds,,Kimberlee M. VanHoose,Republican,578,114,692
Gratiot,"City of Alma, Precinct 1",Register of Deeds,,Write-in,,11,4,15
Gratiot,"City of Alma, Precinct 1",Register of Deeds,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Register of Deeds,,Under Vote Count,,330,47,377
Gratiot,"City of Alma, Precinct 1",Road Commissioner,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Road Commissioner,,John H. Wilson,Republican,578,112,690
Gratiot,"City of Alma, Precinct 1",Road Commissioner,,Write-in,,10,5,15
Gratiot,"City of Alma, Precinct 1",Road Commissioner,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Road Commissioner,,Under Vote Count,,331,48,379
Gratiot,"City of Alma, Precinct 1",Drain Commissioner,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Drain Commissioner,,Bernard James Barnes,Republican,574,112,686
Gratiot,"City of Alma, Precinct 1",Drain Commissioner,,Write-in,,11,5,16
Gratiot,"City of Alma, Precinct 1",Drain Commissioner,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Drain Commissioner,,Under Vote Count,,334,48,382
Gratiot,"City of Alma, Precinct 1",County Commissioner 1st District,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",County Commissioner 1st District,,Dave Owens,Republican,572,112,684
Gratiot,"City of Alma, Precinct 1",County Commissioner 1st District,,Write-in,,12,5,17
Gratiot,"City of Alma, Precinct 1",County Commissioner 1st District,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",County Commissioner 1st District,,Under Vote Count,,335,48,383
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court,,Andrew Fink,,258,61,319
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court,,Kimberly Ann Thomas,,453,70,523
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court,,Write-in,,3,3,6
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court,,Over Vote Count,,1,0,1
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court,,Under Vote Count,,204,31,235
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court Partial Term,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court Partial Term,,Kyra Harris Bolden,,492,81,573
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court Partial Term,,Patrick William O'Grady,,221,49,270
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court Partial Term,,Write-in,,3,3,6
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court Partial Term,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Justice of Supreme Court Partial Term,,Under Vote Count,,203,32,235
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position,,Stephen L. Borrello,,560,101,661
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position,,Write-in,,10,5,15
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position,,Under Vote Count,,349,59,408
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position Partial Term,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position Partial Term,,Allie Greenleaf Maldonado,,549,96,645
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position Partial Term,,Write-in,,9,5,14
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position Partial Term,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Judge of Court of Appeals-Incumbent Position Partial Term,,Under Vote Count,,361,64,425
Gratiot,"City of Alma, Precinct 1",Judge of Probate Court,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Judge of Probate Court,,Kristin Bakker,,603,114,717
Gratiot,"City of Alma, Precinct 1",Judge of Probate Court,,Write-in,,5,3,8
Gratiot,"City of Alma, Precinct 1",Judge of Probate Court,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Judge of Probate Court,,Under Vote Count,,311,48,359
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Roger Allman,,460,89,549
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Andrew Bare,,422,77,499
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Sonia Gibson,,404,77,481
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Greg Mapes,,421,71,492
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Write-in,,16,5,21
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",City Commissioner,,Under Vote Count,,1953,341,2294
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Susan A. Higgins,,192,39,231
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Arthur Wesley McClintic,,368,71,439
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Kendra Overla,,507,99,606
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Write-in,,173,25,198
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Christie Freestone,,165,20,185
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Over Vote Count,,2,0,2
Gratiot,"City of Alma, Precinct 1",Alma Public School Board Member,,Under Vote Count,,596,96,692
Gratiot,"City of Alma, Precinct 2",President,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",President,,Kamala D. Harris,Democrat,617,81,698
Gratiot,"City of Alma, Precinct 2",President,,Donald J. Trump,Republican,610,100,710
Gratiot,"City of Alma, Precinct 2",President,,Chase Oliver,Libertarian,11,1,12
Gratiot,"City of Alma, Precinct 2",President,,Randall Terry,U.S. Taxpayers,3,0,3
Gratiot,"City of Alma, Precinct 2",President,,Jill Stein,Green,3,1,4
Gratiot,"City of Alma, Precinct 2",President,,Robert F. Kennedy Jr.,Natural Law,8,0,8
Gratiot,"City of Alma, Precinct 2",President,,Cornel West,No Party Affiliation,1,0,1
Gratiot,"City of Alma, Precinct 2",President,,Over Vote Count,,1,0,1
Gratiot,"City of Alma, Precinct 2",President,,Under Vote Count,,8,2,10
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Elissa Slotkin,Democrat,611,77,688
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Mike Rogers,Republican,565,99,664
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Joseph Solis-Mullen,Libertarian,21,3,24
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Dave Stein,U.S. Taxpayers,19,0,19
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Douglas P. Marsh,Green,6,2,8
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Doug Dern,Natural Law,7,1,8
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Write-in,,1,0,1
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Over Vote Count,,1,0,1
Gratiot,"City of Alma, Precinct 2",U.S. Senate,,Under Vote Count,,31,3,34
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Michael Lynch,Democrat,557,76,633
Gratiot,"City of Alma, Precinct 2",U.S. House,2,John R. Moolenaar,Republican,613,100,713
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Ben DeJong,Libertarian,26,3,29
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Scott Adams,U.S. Taxpayers,24,0,24
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Write-in,,3,1,4
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Over Vote Count,,1,1,2
Gratiot,"City of Alma, Precinct 2",U.S. House,2,Under Vote Count,,38,4,42
Gratiot,"City of Alma, Precinct 2",State House,92,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",State House,92,Timothy Odykirk,Democrat,602,79,681
Gratiot,"City of Alma, Precinct 2",State House,92,Jerry Neyer,Republican,611,99,710
Gratiot,"City of Alma, Precinct 2",State House,92,Write-in,,5,2,7
Gratiot,"City of Alma, Precinct 2",State House,92,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",State House,92,Under Vote Count,,44,5,49
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Theodore Jones,Democrat,540,74,614
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,504,77,581
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Tom McMillin,Republican,534,89,623
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Nikki Snyder,Republican,547,92,639
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Scotty Boman,Libertarian,40,5,45
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,16,1,17
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,36,3,39
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Mary Anne Hering,Working Class,73,7,80
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Write-in,,4,2,6
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Over Vote Count,,2,0,2
Gratiot,"City of Alma, Precinct 2",Member of the State Board of Education,,Under Vote Count,,228,20,248
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Denise Ilitch,Democrat,557,80,637
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Shauna Ryder Diggs,Democrat,533,75,608
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Carl Meyers,Republican,566,93,659
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Sevag Vartanian,Republican,487,89,576
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Andrew Chadderdon,Libertarian,40,5,45
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Donna M. Oetman,U.S. Taxpayers,58,4,62
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Write-in,,4,0,4
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Regents of the Unversity of Michigan,,Under Vote Count,,279,24,303
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Rebecca Bahar-Cook,Democrat,543,75,618
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Thomas Stallworth III,Democrat,491,71,562
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Mike Balow,Republican,549,91,640
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Julie Maday,Republican,515,93,608
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Grant T. Baker,Libertarian,38,2,40
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,38,4,42
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,John Paul Sanger,U.S. Taxpayers,30,4,34
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,John Anthony La Pietra,Green,27,4,31
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Write-in,,5,0,5
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Trustees of Michigan State University,,Under Vote Count,,288,26,314
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Rasha Demashkieh,Democrat,505,73,578
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Mark T. Gaffney,Democrat,515,69,584
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Michael Busuito,Republican,535,86,621
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Sunny Reddy,Republican,512,88,600
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Farid Ishac,Libertarian,21,2,23
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,29,3,32
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Sami Makhoul,Green,17,3,20
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Suzanne Roehrig,Working Class,56,7,63
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Kathleen Oakford,Natural Law,12,2,14
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Write-in,,5,2,7
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Governor of Wayne State University,,Under Vote Count,,317,35,352
Gratiot,"City of Alma, Precinct 2",Prosecuting Attorney,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Prosecuting Attorney,,Laura M. Bever,Republican,845,127,972
Gratiot,"City of Alma, Precinct 2",Prosecuting Attorney,,Write-in,,28,7,35
Gratiot,"City of Alma, Precinct 2",Prosecuting Attorney,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Prosecuting Attorney,,Under Vote Count,,389,51,440
Gratiot,"City of Alma, Precinct 2",Sheriff,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Sheriff,,Tom Clark,Republican,714,110,824
Gratiot,"City of Alma, Precinct 2",Sheriff,,John Cary,No Party Affiliation,256,40,296
Gratiot,"City of Alma, Precinct 2",Sheriff,,Write-in,,8,2,10
Gratiot,"City of Alma, Precinct 2",Sheriff,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Sheriff,,Under Vote Count,,284,33,317
Gratiot,"City of Alma, Precinct 2",County Clerk,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",County Clerk,,Angie Thompson,Republican,847,131,978
Gratiot,"City of Alma, Precinct 2",County Clerk,,Write-in,,25,7,32
Gratiot,"City of Alma, Precinct 2",County Clerk,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",County Clerk,,Under Vote Count,,390,47,437
Gratiot,"City of Alma, Precinct 2",County Treasurer,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",County Treasurer,,Terri R. Ball,Republican,814,127,941
Gratiot,"City of Alma, Precinct 2",County Treasurer,,Write-in,,30,9,39
Gratiot,"City of Alma, Precinct 2",County Treasurer,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",County Treasurer,,Under Vote Count,,418,49,467
Gratiot,"City of Alma, Precinct 2",Register of Deeds,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Register of Deeds,,Kimberlee M. VanHoose,Republican,806,128,934
Gratiot,"City of Alma, Precinct 2",Register of Deeds,,Write-in,,27,7,34
Gratiot,"City of Alma, Precinct 2",Register of Deeds,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Register of Deeds,,Under Vote Count,,429,50,479
Gratiot,"City of Alma, Precinct 2",Road Commissioner,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Road Commissioner,,John H. Wilson,Republican,798,123,921
Gratiot,"City of Alma, Precinct 2",Road Commissioner,,Write-in,,29,8,37
Gratiot,"City of Alma, Precinct 2",Road Commissioner,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Road Commissioner,,Under Vote Count,,435,54,489
Gratiot,"City of Alma, Precinct 2",Drain Commissioner,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Drain Commissioner,,Bernard James Barnes,Republican,795,122,917
Gratiot,"City of Alma, Precinct 2",Drain Commissioner,,Write-in,,29,6,35
Gratiot,"City of Alma, Precinct 2",Drain Commissioner,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",Drain Commissioner,,Under Vote Count,,438,57,495
Gratiot,"City of Alma, Precinct 2",County Commissioner 2nd District,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",County Commissioner 2nd District,,Kevin S. Taylor,Democrat,564,82,646
Gratiot,"City of Alma, Precinct 2",County Commissioner 2nd District,,Jan Bunting,Republican,601,91,692
Gratiot,"City of Alma, Precinct 2",County Commissioner 2nd District,,Write-in,,3,1,4
Gratiot,"City of Alma, Precinct 2",County Commissioner 2nd District,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 2",County Commissioner 2nd District,,Under Vote Count,,94,11,105
Gratiot,"City of Alma, Precinct 2",Justice of Supreme Court,,Ballots Cast,,1262,185,1447
Gratiot,"City of Alma, Precinct 2",Justice of Supreme Court,,Andrew Fink,,298,42,340
Gratiot,"City of Alma, Precinct 2",Justice of Supreme Court,,Kimberly Ann Thomas,,616,82,698
Gratiot,"City of Alma, Precinct 2",Justice of Supreme Court,,Write-in,,15,2,17
