ccounty,precinct,office,district,candidate,party,votes
Cass,"Calvin Township, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,3
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,296
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,267
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,395
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,390
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,9
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,17
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,12
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,4
Cass,"Calvin Township, Precinct 1",Trustee of Michigan State University,,Unresolved Write-In,,4
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,264
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,272
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,385
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,385
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,6
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,William Mohr Il,UST,8
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,3
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,33
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,11
Cass,"Calvin Township, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,3
Cass,"Calvin Township, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,494
Cass,"Calvin Township, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,15
Cass,"Calvin Township, Precinct 1",County Sheriff,,Clint Roach,REP,504
Cass,"Calvin Township, Precinct 1",County Sheriff,,Unresolved Write-In,,7
Cass,"Calvin Township, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,503
Cass,"Calvin Township, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,11
Cass,"Calvin Township, Precinct 1",County Treasurer,,Hope Anderson,REP,515
Cass,"Calvin Township, Precinct 1",County Treasurer,,Unresolved Write-In,,7
Cass,"Calvin Township, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,491
Cass,"Calvin Township, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,8
Cass,"Calvin Township, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,237
Cass,"Calvin Township, Precinct 1",County Surveyor,,Unresolved Write-In,,12
Cass,"Calvin Township, Precinct 1",County Commissioner 8th District,,R.J. Lee,REP,492
Cass,"Calvin Township, Precinct 1",County Commissioner 8th District,,Unresolved Write-In,,12
Cass,"Calvin Township, Precinct 1",Calvin Township Supervisor,,Adrienne D. Glover,DEM,401
Cass,"Calvin Township, Precinct 1",Calvin Township Supervisor,,Total Unresolved Write-In,,24
Cass,"Calvin Township, Precinct 1",Calvin Township Clerk,,Michelle Anderson,DEM,407
Cass,"Calvin Township, Precinct 1",Calvin Township Clerk,,Unresolved Write-In,,22
Cass,"Calvin Township, Precinct 1",Calvin Township Treasurer,,Rosemary M. Gillam,DEM,522
Cass,"Calvin Township, Precinct 1",Calvin Township Treasurer,,Unresolved Write-In,,30
Cass,"Calvin Township, Precinct 1",Calvin Township Trustee,,Jenice Sorsby Cloud,DEM,317
Cass,"Calvin Township, Precinct 1",Calvin Township Trustee,,Keith D. Carter,REP,459
Cass,"Calvin Township, Precinct 1",Calvin Township Trustee,,James D. Hershberger,REP,433
Cass,"Calvin Township, Precinct 1",Calvin Township Trustee,,Unresolved Write-In,,7
Cass,"Calvin Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,207
Cass,"Calvin Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,369
Cass,"Calvin Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,14
Cass,"Calvin Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,316
Cass,"Calvin Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,254
Cass,"Calvin Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,17
Cass,"Calvin Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,329
Cass,"Calvin Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,404
Cass,"Calvin Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,31
Cass,"Calvin Township, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,479
Cass,"Calvin Township, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,27
Cass,"Calvin Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,383
Cass,"Calvin Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,398
Cass,"Calvin Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,29
Cass,"Calvin Township, Precinct 1",Cassopolis Public Schools Board Member,,Della Bundle,,228
Cass,"Calvin Township, Precinct 1",Cassopolis Public Schools Board Member,,Joseph Lenex,,171
Cass,"Calvin Township, Precinct 1",Cassopolis Public Schools Board Member,,Amanda Smego,,354
Cass,"Calvin Township, Precinct 1",Cassopolis Public Schools Board Member,,Aaron Steensma,,260
Cass,"Calvin Township, Precinct 1",Cassopolis Public Schools Board Member,,Joshua Stoops,,240
Cass,"Calvin Township, Precinct 1",Cassopolis Public Schools Board Member,,Unresolved Write-In,,38
Cass,"Howard Township, Precinct 1",Registered Voters,,,,2238
Cass,"Howard Township, Precinct 1",Ballots Cast,,,,652
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,87
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,320
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Libertarian Party,LIB,0
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,U.S. Taxpayers Party,UST,1
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Green Party,GRN,0
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Working Class Party,WCP,1
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Natural Law Party,NLP,0
Cass,"Howard Township, Precinct 1",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Howard Township, Precinct 1",President,,Kamala D. Harris/Tim Walz,DEM,145
Cass,"Howard Township, Precinct 1",President,,Donald J. Trump/JD Vance,REP,496
Cass,"Howard Township, Precinct 1",President,,Chase Oliver/Mike ter Maat,LIB,3
Cass,"Howard Township, Precinct 1",President,,Randall Terry/Stephen E. Broden,UST,1
Cass,"Howard Township, Precinct 1",President,,Jill Stein/Rudolph Ware,GRN,0
Cass,"Howard Township, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,3
Cass,"Howard Township, Precinct 1",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"Howard Township, Precinct 1",President,,Cornel West/Melina Abdullah,NPA,0
Cass,"Howard Township, Precinct 1",President,,Peter Sonski,WRITE-IN,0
Cass,"Howard Township, Precinct 1",President,,Unresolved Write-In,,0
Cass,"Howard Township, Precinct 1",United States Senator,,Elissa Slotkin,DEM,134
Cass,"Howard Township, Precinct 1",United States Senator,,Mike Rogers,REP,476
Cass,"Howard Township, Precinct 1",United States Senator,,Joseph Solis-Mullen,LIB,12
Cass,"Howard Township, Precinct 1",United States Senator,,Dave Stein,UST,3
Cass,"Howard Township, Precinct 1",United States Senator,,Douglas P. Marsh,GRN,4
Cass,"Howard Township, Precinct 1",United States Senator,,Doug Dern,NLP,5
Cass,"Howard Township, Precinct 1",United States Senator,,Unresolved Write-In,,0
Cass,"Howard Township, Precinct 1",U.S. House,5,Libbi Urban,DEM,127
Cass,"Howard Township, Precinct 1",U.S. House,5,Tim Walberg,REP,490
Cass,"Howard Township, Precinct 1",U.S. House,5,James Bronke,GRN,14
Cass,"Howard Township, Precinct 1",U.S. House,5,Unresolved Write-In,,1
Cass,"Howard Township, Precinct 1",State House,37,Angela Jones,DEM,132
Cass,"Howard Township, Precinct 1",State House,37,Brad Paquette,REP,502
Cass,"Howard Township, Precinct 1",State House,37,Unresolved Write-In,,4
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,DEM,121
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,DEM,109
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,REP,426
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,REP,438
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,LIB,24
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,UST,11
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,UST,5
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,WCP,30
Cass,"Howard Township, Precinct 1",Member of the State Board of Education,,Unresolved Write-In,,2
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Denise llitch,DEM,128
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,114
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,REP,459
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,409
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,LIB,19
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,UST,18
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Howard Township, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,3
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,129
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,107
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,444
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,414
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,21
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,9
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,10
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,7
Cass,"Howard Township, Precinct 1",Trustee of Michigan State University,,Unresolved Write-In,,3
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,115
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,108
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,431
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,418
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,15
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,William Mohr II,UST,8
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,7
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,31
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,6
Cass,"Howard Township, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,2
Cass,"Howard Township, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,515
Cass,"Howard Township, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,15
Cass,"Howard Township, Precinct 1",County Sheriff,,Clint Roach,REP,523
Cass,"Howard Township, Precinct 1",County Sheriff,,Unresolved Write-In,,8
Cass,"Howard Township, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,517
Cass,"Howard Township, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,9
Cass,"Howard Township, Precinct 1",County Treasurer,,Hope Anderson,REP,516
Cass,"Howard Township, Precinct 1",County Treasurer,,Unresolved Write-In,,8
Cass,"Howard Township, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,512
Cass,"Howard Township, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,8
Cass,"Howard Township, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,271
Cass,"Howard Township, Precinct 1",County Surveyor,,Unresolved Write-In,,12
Cass,"Howard Township, Precinct 1",County Commissioner 4th District,,Jeremiah Justin Jones,REP,512
Cass,"Howard Township, Precinct 1",County Commissioner 4th District,,Unresolved Write-In,,7
Cass,"Howard Township, Precinct 1",Howard Township Supervisor,,Billy J. Kasprzak,REP,515
Cass,"Howard Township, Precinct 1",Howard Township Supervisor,,Unresolved Write-In,,7
Cass,"Howard Township, Precinct 1",Howard Township Clerk,,Sheri Wozniak,DEM,268
Cass,"Howard Township, Precinct 1",Howard Township Clerk,,Unresolved Write-In,,43
Cass,"Howard Township, Precinct 1",Howard Township Treasurer,,Michael Gordon,REP,511
Cass,"Howard Township, Precinct 1",Howard Township Treasurer,,Unresolved Write-In,,11
Cass,"Howard Township, Precinct 1",Howard Township Trustee,,Phillip Hurlbutt,DEM,178
Cass,"Howard Township, Precinct 1",Howard Township Trustee,,Gary Conover,REP,448
Cass,"Howard Township, Precinct 1",Howard Township Trustee,,Hank Johnson,REP,454
Cass,"Howard Township, Precinct 1",Howard Township Trustee,,David E. Kroa,REP,416
Cass,"Howard Township, Precinct 1",Howard Township Trustee,,Unresolved Write-In,,6
Cass,"Howard Township, Precinct 1",Howard Township Park Commissioner,,Jan Gordon,DEM,166
Cass,"Howard Township, Precinct 1",Howard Township Park Commissioner,,Terri Jo Hable,DEM,155
Cass,"Howard Township, Precinct 1",Howard Township Park Commissioner,,Debbie Floor,REP,451
Cass,"Howard Township, Precinct 1",Howard Township Park Commissioner,,Marcia Pedzinski,REP,421
Cass,"Howard Township, Precinct 1",Howard Township Park Commissioner,,Erika Pickles,NPA,131
Cass,"Howard Township, Precinct 1",Howard Township Park Commissioner,,Unresolved Write-In,,7
Cass,"Howard Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,233
Cass,"Howard Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,153
Cass,"Howard Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,11
Cass,"Howard Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,201
Cass,"Howard Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,180
Cass,"Howard Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,8
Cass,"Howard Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,198
Cass,"Howard Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,234
Cass,"Howard Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Total Unresolved Write-In,,13
Cass,"Howard Township, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,310
Cass,"Howard Township, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,15
Cass,"Howard Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,206
Cass,"Howard Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,242
Cass,"Howard Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,8
Cass,"Howard Township, Precinct 1",Cassopolis Public Schools Board Member,,Della Bundle,,1
Cass,"Howard Township, Precinct 1",Cassopolis Public Schools Board Member,,Joseph Lenex,,3
Cass,"Howard Township, Precinct 1",Cassopolis Public Schools Board Member,,Amanda Smego,,7
Cass,"Howard Township, Precinct 1",Cassopolis Public Schools Board Member,,Aaron Steensma,,2
Cass,"Howard Township, Precinct 1",Cassopolis Public Schools Board Member,,Joshua Stoops,,3
Cass,"Howard Township, Precinct 1",Cassopolis Public Schools Board Member,,Unresolved Write-In,,0
Cass,"Howard Township, Precinct 1",Niles Community Schools Board Member 6 Year Term,,David Fish,,300
Cass,"Howard Township, Precinct 1",Niles Community Schools Board Member 6 Year Term,,Unresolved Write-In,,18
Cass,"Howard Township, Precinct 1",Niles Community Schools Board Member Partial Term Ending 12/31/2028,,Kelly Gaideski,,327
Cass,"Howard Township, Precinct 1",Niles Community Schools Board Member Partial Term Ending 12/31/2028,,Unresolved Write-In,,10
Cass,"Howard Township, Precinct 2",Registered Voters,,,,2350
Cass,"Howard Township, Precinct 2",Ballots Cast,,,,648
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Democratic Party,DEM,112
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Republican Party,REP,313
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Libertarian Party,LIB,0
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Green Party,GRN,0
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Working Class Party,WCP,3
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Natural Law Party,NLP,1
Cass,"Howard Township, Precinct 2",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Howard Township, Precinct 2",President,,Kamala D. Harris/Tim Walz,DEM,172
Cass,"Howard Township, Precinct 2",President,,Donald J. Trump/JD Vance,REP,464
Cass,"Howard Township, Precinct 2",President,,Chase Oliver/Mike ter Maat,LIB,3
Cass,"Howard Township, Precinct 2",President,,Randall Terry/Stephen E. Broden,UST,0
Cass,"Howard Township, Precinct 2",President,,Jill Stein/Rudolph Ware,GRN,2
Cass,"Howard Township, Precinct 2",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,4
Cass,"Howard Township, Precinct 2",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"Howard Township, Precinct 2",President,,Cornel West/Melina Abdullah,NPA,0
Cass,"Howard Township, Precinct 2",President,,Peter Sonski,WRITE-IN,0
Cass,"Howard Township, Precinct 2",President,,Unresolved Write-In,,1
Cass,"Howard Township, Precinct 2",United States Senator,,Elissa Slotkin,DEM,168
Cass,"Howard Township, Precinct 2",United States Senator,,Mike Rogers,REP,450
Cass,"Howard Township, Precinct 2",United States Senator,,Joseph Solis-Mullen,LIB,9
Cass,"Howard Township, Precinct 2",United States Senator,,Dave Stein,UST,3
Cass,"Howard Township, Precinct 2",United States Senator,,Douglas P. Marsh,GRN,3
Cass,"Howard Township, Precinct 2",United States Senator,,Doug Dern,NLP,2
Cass,"Howard Township, Precinct 2",United States Senator,,Unresolved Write-In,,0
Cass,"Howard Township, Precinct 2",U.S. House,5,Libbi Urban,DEM,162
Cass,"Howard Township, Precinct 2",U.S. House,5,Tim Walberg,REP,460
Cass,"Howard Township, Precinct 2",U.S. House,5,James Bronke,GRN,9
Cass,"Howard Township, Precinct 2",U.S. House,5,Unresolved Write-In,,1
Cass,"Howard Township, Precinct 2",State House,37,Angela Jones,DEM,160
Cass,"Howard Township, Precinct 2",State House,37,Brad Paquette,REP,468
Cass,"Howard Township, Precinct 2",State House,37,Unresolved Write-In,,3
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Theodore Jones,DEM,149
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Adam Frederick Zemke,DEM,138
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Tom McMillin,REP,415
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Nikki Snyder,REP,420
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Scotty Boman,LIB,22
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Ted Gerrard,UST,4
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Christine C. Schwartz,UST,11
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Mary Anne Hering,WCP,36
Cass,"Howard Township, Precinct 2",Member of the State Board of Education,,Unresolved Write-In,,4
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Denise llitch,DEM,151
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,157
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Carl Meyers,REP,441
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Sevag Vartanian,REP,390
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Andrew Chadderdon,LIB,18
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Donna M. Oetman,UST,17
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Howard Township, Precinct 2",Regent of the University of Michigan,,Unresolved Write-In,,6
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,153
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Thomas Stallworth III,DEM,143
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Mike Balow,REP,428
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Julie Maday,REP,408
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Grant T. Baker,LIB,22
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Janet M. Sanger,UST,6
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,John Paul Sanger,UST,2
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,John Anthony La Pietra,GRN,11
Cass,"Howard Township, Precinct 2",Trustee of Michigan State University,,Unresolved Write-In,,5
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Rasha Demashkieh,DEM,146
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Mark T. Gaffney,DEM,144
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Michael Busuito,REP,417
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Sunny Reddy,REP,417
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Farid Ishac,LIB,7
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,William Mohr II,UST,8
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Sami Makhoul,GRN,3
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Suzanne Roehrig,WCP,26
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Kathleen Oakford,NLP,10
Cass,"Howard Township, Precinct 2",Governor of Wayne State University,,Unresolved Write-In,,7
Cass,"Howard Township, Precinct 2",County Prosecuting Attorney,,Victor Fitz,REP,504
Cass,"Howard Township, Precinct 2",County Prosecuting Attorney,,Unresolved Write-In,,19
Cass,"Howard Township, Precinct 2",County Sheriff,,Clint Roach,REP,511
