county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,GRN,Jill Stein,4,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,4,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,7,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,4,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,,Joseph Kishore,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,,Joseph Kishore,0,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,,Joseph Kishore,1,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,,Joseph Kishore,0,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,,Cornel West,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,,Cornel West,1,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,,Cornel West,0,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,,Cornel West,0,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,,Write-ins,1,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,,Write-ins,4,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,,Write-ins,1,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,25,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,190,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,348,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,208,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,85,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,542,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,877,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,592,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,6,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,5,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,14,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,9,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,UST,Dave Stein,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,UST,Dave Stein,3,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,UST,Dave Stein,15,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,UST,Dave Stein,6,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,7,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,5,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,4,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,3,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. Senate,,,Write-ins,4,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. House,1,DEM,Callie Barr,25,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. House,1,DEM,Callie Barr,178,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. House,1,DEM,Callie Barr,338,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. House,1,DEM,Callie Barr,203,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. House,1,REP,Jack Bergman,88,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. House,1,REP,Jack Bergman,544,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. House,1,REP,Jack Bergman,885,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. House,1,REP,Jack Bergman,596,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,3,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,8,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,11,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,12,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,1,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,9,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,38,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,10,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",U.S. House,1,,Write-ins,3,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",State House,108,DEM,Christiana Reynolds,21,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",State House,108,DEM,Christiana Reynolds,171,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",State House,108,DEM,Christiana Reynolds,309,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",State House,108,DEM,Christiana Reynolds,192,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",State House,108,REP,David Prestin,92,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",State House,108,REP,David Prestin,538,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",State House,108,REP,David Prestin,904,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",State House,108,REP,David Prestin,600,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",State House,108,LIB,Kayla Wikstrom,2,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",State House,108,LIB,Kayla Wikstrom,10,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",State House,108,LIB,Kayla Wikstrom,35,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",State House,108,LIB,Kayla Wikstrom,16,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",State House,108,,Write-ins,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",State House,108,,Write-ins,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",State House,108,,Write-ins,5,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",State House,108,,Write-ins,2,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Prosecuting Attorney,,REP,Cameron S. Harwell,89,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Prosecuting Attorney,,REP,Cameron S. Harwell,564,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Prosecuting Attorney,,REP,Cameron S. Harwell,984,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Prosecuting Attorney,,REP,Cameron S. Harwell,642,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Prosecuting Attorney,,,Write-ins,2,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Prosecuting Attorney,,,Write-ins,4,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Prosecuting Attorney,,,Write-ins,28,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Prosecuting Attorney,,,Write-ins,23,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Sheriff,,REP,Eric L. Gravelle,100,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Sheriff,,REP,Eric L. Gravelle,608,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Sheriff,,REP,Eric L. Gravelle,1074,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Sheriff,,REP,Eric L. Gravelle,699,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Sheriff,,,Write-ins,2,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Sheriff,,,Write-ins,6,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Sheriff,,,Write-ins,17,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Sheriff,,,Write-ins,15,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Clerk and Register of Deeds,,REP,Sharon J. Price,101,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Clerk and Register of Deeds,,REP,Sharon J. Price,605,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Clerk and Register of Deeds,,REP,Sharon J. Price,1069,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Clerk and Register of Deeds,,REP,Sharon J. Price,702,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Clerk and Register of Deeds,,,Write-ins,1,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Clerk and Register of Deeds,,,Write-ins,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Clerk and Register of Deeds,,,Write-ins,17,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Clerk and Register of Deeds,,,Write-ins,12,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Treasurer,,REP,Belinda Bridges,99,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Treasurer,,REP,Belinda Bridges,589,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Treasurer,,REP,Belinda Bridges,1050,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Treasurer,,REP,Belinda Bridges,690,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",County Treasurer,,,Write-ins,1,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",County Treasurer,,,Write-ins,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",County Treasurer,,,Write-ins,17,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",County Treasurer,,,Write-ins,12,,,,,,,,,,,,,,,
