,county,precinct,office,district,party,candidate,votes
50,Arenac,Standish Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,62
51,Arenac,Turner Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,13
52,Arenac,Whitney Twp AGS,State Rep 97Th District,97,DEM,Celia Young-Wenkel,53
53,Arenac,Whitney Twp TAS,State Rep 97Th District,97,DEM,Celia Young-Wenkel,0
54,Arenac,AuGres City,State Rep 97Th District,97,DEM,Celia Young-Wenkel,29
55,Arenac,Omer City,State Rep 97Th District,97,DEM,Celia Young-Wenkel,14
56,Arenac,Standish City,State Rep 97Th District,97,DEM,Celia Young-Wenkel,41
57,Arenac,Adams Township,State Rep 97Th District,97,DEM,Shane Atwell,4
58,Arenac,Arenac Township AGS,State Rep 97Th District,97,DEM,Shane Atwell,16
59,Arenac,Arenac Township SS,State Rep 97Th District,97,DEM,Shane Atwell,0
60,Arenac,AuGres Township 1A,State Rep 97Th District,97,DEM,Shane Atwell,20
61,Arenac,AuGres Township 1B,State Rep 97Th District,97,DEM,Shane Atwell,0
62,Arenac,Clayton Township,State Rep 97Th District,97,DEM,Shane Atwell,11
63,Arenac,Deep River Township 1A,State Rep 97Th District,97,DEM,Shane Atwell,33
64,Arenac,Deep River Township 1B,State Rep 97Th District,97,DEM,Shane Atwell,0
65,Arenac,Lincoln Township ,State Rep 97Th District,97,DEM,Shane Atwell,8
66,Arenac,Mason Township,State Rep 97Th District,97,DEM,Shane Atwell,10
67,Arenac,Moffatt Township,State Rep 97Th District,97,DEM,Shane Atwell,25
68,Arenac,Sims Township,State Rep 97Th District,97,DEM,Shane Atwell,41
69,Arenac,Standish Township,State Rep 97Th District,97,DEM,Shane Atwell,35
70,Arenac,Turner Township,State Rep 97Th District,97,DEM,Shane Atwell,6
71,Arenac,Whitney Twp AGS,State Rep 97Th District,97,DEM,Shane Atwell,37
72,Arenac,Whitney Twp TAS,State Rep 97Th District,97,DEM,Shane Atwell,0
73,Arenac,AuGres City,State Rep 97Th District,97,DEM,Shane Atwell,28
74,Arenac,Omer City,State Rep 97Th District,97,DEM,Shane Atwell,6
75,Arenac,Standish City,State Rep 97Th District,97,DEM,Shane Atwell,27
76,Arenac,Adams Township,U.S. Senate ,,REP,John James,105
77,Arenac,Arenac Township AGS,U.S. Senate ,,REP,John James,142
78,Arenac,Arenac Township SS,U.S. Senate ,,REP,John James,0
79,Arenac,AuGres Township 1A,U.S. Senate ,,REP,John James,226
80,Arenac,AuGres Township 1B,U.S. Senate ,,REP,John James,0
81,Arenac,Clayton Township,U.S. Senate ,,REP,John James,133
82,Arenac,Deep River Township 1A,U.S. Senate ,,REP,John James,391
83,Arenac,Deep River Township 1B,U.S. Senate ,,REP,John James,0
84,Arenac,Lincoln Township ,U.S. Senate ,,REP,John James,142
85,Arenac,Mason Township,U.S. Senate ,,REP,John James,94
86,Arenac,Moffatt Township,U.S. Senate ,,REP,John James,297
87,Arenac,Sims Township,U.S. Senate ,,REP,John James,257
88,Arenac,Standish Township,U.S. Senate ,,REP,John James,212
89,Arenac,Turner Township,U.S. Senate ,,REP,John James,116
90,Arenac,Whitney Twp AGS,U.S. Senate ,,REP,John James,188
91,Arenac,Whitney Twp TAS,U.S. Senate ,,REP,John James,0
92,Arenac,AuGres City,U.S. Senate ,,REP,John James,164
93,Arenac,Omer City,U.S. Senate ,,REP,John James,71
94,Arenac,Standish City,U.S. Senate ,,REP,John James,185
95,Arenac,Adams Township,Congress 5Th District,5,REP,Earl Lackie,23
96,Arenac,Arenac Township AGS,Congress 5Th District,5,REP,Earl Lackie,34
97,Arenac,Arenac Township SS,Congress 5Th District,5,REP,Earl Lackie,0
98,Arenac,AuGres Township 1A,Congress 5Th District,5,REP,Earl Lackie,50
99,Arenac,AuGres Township 1B,Congress 5Th District,5,REP,Earl Lackie,0
100,Arenac,Clayton Township,Congress 5Th District,5,REP,Earl Lackie,19
101,Arenac,Deep River Township 1A,Congress 5Th District,5,REP,Earl Lackie,83
102,Arenac,Deep River Township 1B,Congress 5Th District,5,REP,Earl Lackie,0
103,Arenac,Lincoln Township ,Congress 5Th District,5,REP,Earl Lackie,28
104,Arenac,Mason Township,Congress 5Th District,5,REP,Earl Lackie,19
105,Arenac,Moffatt Township,Congress 5Th District,5,REP,Earl Lackie,52
106,Arenac,Sims Township,Congress 5Th District,5,REP,Earl Lackie,44
107,Arenac,Standish Township,Congress 5Th District,5,REP,Earl Lackie,39
108,Arenac,Turner Township,Congress 5Th District,5,REP,Earl Lackie,25
109,Arenac,Whitney Twp AGS,Congress 5Th District,5,REP,Earl Lackie,31
110,Arenac,Whitney Twp TAS,Congress 5Th District,5,REP,Earl Lackie,0
111,Arenac,AuGres City,Congress 5Th District,5,REP,Earl Lackie,23
112,Arenac,Omer City,Congress 5Th District,5,REP,Earl Lackie,19
113,Arenac,Standish City,Congress 5Th District,5,REP,Earl Lackie,36
114,Arenac,Adams Township,Congress 5Th District,5,REP,Tim Kelly,79
115,Arenac,Arenac Township AGS,Congress 5Th District,5,REP,Tim Kelly,107
116,Arenac,Arenac Township SS,Congress 5Th District,5,REP,Tim Kelly,0
117,Arenac,AuGres Township 1A,Congress 5Th District,5,REP,Tim Kelly,183
118,Arenac,AuGres Township 1B,Congress 5Th District,5,REP,Tim Kelly,0
119,Arenac,Clayton Township,Congress 5Th District,5,REP,Tim Kelly,103
120,Arenac,Deep River Township 1A,Congress 5Th District,5,REP,Tim Kelly,295
121,Arenac,Deep River Township 1B,Congress 5Th District,5,REP,Tim Kelly,0
122,Arenac,Lincoln Township ,Congress 5Th District,5,REP,Tim Kelly,105
123,Arenac,Mason Township,Congress 5Th District,5,REP,Tim Kelly,70
124,Arenac,Moffatt Township,Congress 5Th District,5,REP,Tim Kelly,237
125,Arenac,Sims Township,Congress 5Th District,5,REP,Tim Kelly,222
126,Arenac,Standish Township,Congress 5Th District,5,REP,Tim Kelly,179
127,Arenac,Turner Township,Congress 5Th District,5,REP,Tim Kelly,88
128,Arenac,Whitney Twp AGS,Congress 5Th District,5,REP,Tim Kelly,156
129,Arenac,Whitney Twp TAS,Congress 5Th District,5,REP,Tim Kelly,0
130,Arenac,AuGres City,Congress 5Th District,5,REP,Tim Kelly,150
131,Arenac,Omer City,Congress 5Th District,5,REP,Tim Kelly,49
132,Arenac,Standish City,Congress 5Th District,5,REP,Tim Kelly,155
133,Arenac,Adams Township,State Rep 97Th District,97,REP,Jason Wentworth,103
134,Arenac,Arenac Township AGS,State Rep 97Th District,97,REP,Jason Wentworth,142
135,Arenac,Arenac Township SS,State Rep 97Th District,97,REP,Jason Wentworth,0
136,Arenac,AuGres Township 1A,State Rep 97Th District,97,REP,Jason Wentworth,225
137,Arenac,AuGres Township 1B,State Rep 97Th District,97,REP,Jason Wentworth,0
138,Arenac,Clayton Township,State Rep 97Th District,97,REP,Jason Wentworth,128
139,Arenac,Deep River Township 1A,State Rep 97Th District,97,REP,Jason Wentworth,374
140,Arenac,Deep River Township 1B,State Rep 97Th District,97,REP,Jason Wentworth,0
141,Arenac,Lincoln Township ,State Rep 97Th District,97,REP,Jason Wentworth,136
142,Arenac,Mason Township,State Rep 97Th District,97,REP,Jason Wentworth,89
143,Arenac,Moffatt Township,State Rep 97Th District,97,REP,Jason Wentworth,284
144,Arenac,Sims Township,State Rep 97Th District,97,REP,Jason Wentworth,257
145,Arenac,Standish Township,State Rep 97Th District,97,REP,Jason Wentworth,218
146,Arenac,Turner Township,State Rep 97Th District,97,REP,Jason Wentworth,111
147,Arenac,Whitney Twp AGS,State Rep 97Th District,97,REP,Jason Wentworth,189
148,Arenac,Whitney Twp TAS,State Rep 97Th District,97,REP,Jason Wentworth,0
149,Arenac,AuGres City,State Rep 97Th District,97,REP,Jason Wentworth,170
150,Arenac,Omer City,State Rep 97Th District,97,REP,Jason Wentworth,68
151,Arenac,Standish City,State Rep 97Th District,97,REP,Jason Wentworth,181
152,Arenac,Adams Township,Prosecuting Attorney,,DEM,Curtis Broughton,17
153,Arenac,Arenac Township AGS,Prosecuting Attorney,,DEM,Curtis Broughton,0
154,Arenac,Arenac Township SS,Prosecuting Attorney,,DEM,Curtis Broughton,44
155,Arenac,AuGres Township 1A,Prosecuting Attorney,,DEM,Curtis Broughton,69
156,Arenac,AuGres Township 1B,Prosecuting Attorney,,DEM,Curtis Broughton,0
157,Arenac,Clayton Township,Prosecuting Attorney,,DEM,Curtis Broughton,47
158,Arenac,Deep River Township 1A,Prosecuting Attorney,,DEM,Curtis Broughton,112
159,Arenac,Deep River Township 1B,Prosecuting Attorney,,DEM,Curtis Broughton,0
160,Arenac,Lincoln Township ,Prosecuting Attorney,,DEM,Curtis Broughton,41
161,Arenac,Mason Township,Prosecuting Attorney,,DEM,Curtis Broughton,36
162,Arenac,Moffatt Township,Prosecuting Attorney,,DEM,Curtis Broughton,85
163,Arenac,Sims Township,Prosecuting Attorney,,DEM,Curtis Broughton,105
164,Arenac,Standish Township,Prosecuting Attorney,,DEM,Curtis Broughton,99
165,Arenac,Turner Township,Prosecuting Attorney,,DEM,Curtis Broughton,20
166,Arenac,Whitney Twp AGS,Prosecuting Attorney,,DEM,Curtis Broughton,89
167,Arenac,Whitney Twp TAS,Prosecuting Attorney,,DEM,Curtis Broughton,0
168,Arenac,AuGres City,Prosecuting Attorney,,DEM,Curtis Broughton,54
169,Arenac,Omer City,Prosecuting Attorney,,DEM,Curtis Broughton,18
170,Arenac,Standish City,Prosecuting Attorney,,DEM,Curtis Broughton,69
171,Arenac,Adams Township,Sheriff,,REP,James Mosciski,109
172,Arenac,Arenac Township AGS,Sheriff,,REP,James Mosciski,0
173,Arenac,Arenac Township SS,Sheriff,,REP,James Mosciski,128
174,Arenac,AuGres Township 1A,Sheriff,,REP,James Mosciski,139
175,Arenac,AuGres Township 1B,Sheriff,,REP,James Mosciski,0
176,Arenac,Clayton Township,Sheriff,,REP,James Mosciski,106
177,Arenac,Deep River Township 1A,Sheriff,,REP,James Mosciski,307
178,Arenac,Deep River Township 1B,Sheriff,,REP,James Mosciski,0
179,Arenac,Lincoln Township ,Sheriff,,REP,James Mosciski,103
180,Arenac,Mason Township,Sheriff,,REP,James Mosciski,70
181,Arenac,Moffatt Township,Sheriff,,REP,James Mosciski,160
182,Arenac,Sims Township,Sheriff,,REP,James Mosciski,162
183,Arenac,Standish Township,Sheriff,,REP,James Mosciski,208
184,Arenac,Turner Township,Sheriff,,REP,James Mosciski,74
185,Arenac,Whitney Twp AGS,Sheriff,,REP,James Mosciski,120
186,Arenac,Whitney Twp TAS,Sheriff,,REP,James Mosciski,0
187,Arenac,AuGres City,Sheriff,,REP,James Mosciski,111
188,Arenac,Omer City,Sheriff,,REP,James Mosciski,44
189,Arenac,Standish City,Sheriff,,REP,James Mosciski,107
190,Arenac,Adams Township,Sheriff,,REP,Duane L. Hadley,13
191,Arenac,Arenac Township AGS,Sheriff,,REP,Duane L. Hadley,0
192,Arenac,Arenac Township SS,Sheriff,,REP,Duane L. Hadley,28
193,Arenac,AuGres Township 1A,Sheriff,,REP,Duane L. Hadley,94
194,Arenac,AuGres Township 1B,Sheriff,,REP,Duane L. Hadley,0
195,Arenac,Clayton Township,Sheriff,,REP,Duane L. Hadley,25
196,Arenac,Deep River Township 1A,Sheriff,,REP,Duane L. Hadley,87
197,Arenac,Deep River Township 1B,Sheriff,,REP,Duane L. Hadley,0
198,Arenac,Lincoln Township ,Sheriff,,REP,Duane L. Hadley,25
199,Arenac,Mason Township,Sheriff,,REP,Duane L. Hadley,35
200,Arenac,Moffatt Township,Sheriff,,REP,Duane L. Hadley,82
201,Arenac,Sims Township,Sheriff,,REP,Duane L. Hadley,78
202,Arenac,Standish Township,Sheriff,,REP,Duane L. Hadley,46
203,Arenac,Turner Township,Sheriff,,REP,Duane L. Hadley,48
204,Arenac,Whitney Twp AGS,Sheriff,,REP,Duane L. Hadley,70
205,Arenac,Whitney Twp TAS,Sheriff,,REP,Duane L. Hadley,0
206,Arenac,AuGres City,Sheriff,,REP,Duane L. Hadley,75
207,Arenac,Omer City,Sheriff,,REP,Duane L. Hadley,20
208,Arenac,Standish City,Sheriff,,REP,Duane L. Hadley,40
209,Arenac,Adams Township,Sheriff,,REP,Dan Snyder,15
210,Arenac,Arenac Township AGS,Sheriff,,REP,Dan Snyder,0
211,Arenac,Arenac Township SS,Sheriff,,REP,Dan Snyder,25
212,Arenac,AuGres Township 1A,Sheriff,,REP,Dan Snyder,35
213,Arenac,AuGres Township 1B,Sheriff,,REP,Dan Snyder,0
214,Arenac,Clayton Township,Sheriff,,REP,Dan Snyder,25
215,Arenac,Deep River Township 1A,Sheriff,,REP,Dan Snyder,97
216,Arenac,Deep River Township 1B,Sheriff,,REP,Dan Snyder,0
217,Arenac,Lincoln Township ,Sheriff,,REP,Dan Snyder,35
218,Arenac,Mason Township,Sheriff,,REP,Dan Snyder,10
219,Arenac,Moffatt Township,Sheriff,,REP,Dan Snyder,104
220,Arenac,Sims Township,Sheriff,,REP,Dan Snyder,43
221,Arenac,Standish Township,Sheriff,,REP,Dan Snyder,30
222,Arenac,Turner Township,Sheriff,,REP,Dan Snyder,18
223,Arenac,Whitney Twp AGS,Sheriff,,REP,Dan Snyder,20
224,Arenac,Whitney Twp TAS,Sheriff,,REP,Dan Snyder,0
225,Arenac,AuGres City,Sheriff,,REP,Dan Snyder,13
226,Arenac,Omer City,Sheriff,,REP,Dan Snyder,16
227,Arenac,Standish City,Sheriff,,REP,Dan Snyder,73
228,Arenac,Adams Township,County Clerk,,REP,Sherlyn Burkhardt,57
229,Arenac,Arenac Township AGS,County Clerk,,REP,Sherlyn Burkhardt,0
230,Arenac,Arenac Township SS,County Clerk,,REP,Sherlyn Burkhardt,52
231,Arenac,AuGres Township 1A,County Clerk,,REP,Sherlyn Burkhardt,68
232,Arenac,AuGres Township 1B,County Clerk,,REP,Sherlyn Burkhardt,0
233,Arenac,Clayton Township,County Clerk,,REP,Sherlyn Burkhardt,60
234,Arenac,Deep River Township 1A,County Clerk,,REP,Sherlyn Burkhardt,169
235,Arenac,Deep River Township 1B,County Clerk,,REP,Sherlyn Burkhardt,0
236,Arenac,Lincoln Township ,County Clerk,,REP,Sherlyn Burkhardt,47
237,Arenac,Mason Township,County Clerk,,REP,Sherlyn Burkhardt,28
238,Arenac,Moffatt Township,County Clerk,,REP,Sherlyn Burkhardt,84
239,Arenac,Sims Township,County Clerk,,REP,Sherlyn Burkhardt,49
240,Arenac,Standish Township,County Clerk,,REP,Sherlyn Burkhardt,112
241,Arenac,Turner Township,County Clerk,,REP,Sherlyn Burkhardt,37
242,Arenac,Whitney Twp AGS,County Clerk,,REP,Sherlyn Burkhardt,45
243,Arenac,Whitney Twp TAS,County Clerk,,REP,Sherlyn Burkhardt,0
244,Arenac,AuGres City,County Clerk,,REP,Sherlyn Burkhardt,36
245,Arenac,Omer City,County Clerk,,REP,Sherlyn Burkhardt,34
246,Arenac,Standish City,County Clerk,,REP,Sherlyn Burkhardt,72
247,Arenac,Adams Township,County Clerk,,REP,Holly R. Hudson,23
248,Arenac,Arenac Township AGS,County Clerk,,REP,Holly R. Hudson,0
249,Arenac,Arenac Township SS,County Clerk,,REP,Holly R. Hudson,57
250,Arenac,AuGres Township 1A,County Clerk,,REP,Holly R. Hudson,38
251,Arenac,AuGres Township 1B,County Clerk,,REP,Holly R. Hudson,0
252,Arenac,Clayton Township,County Clerk,,REP,Holly R. Hudson,36
253,Arenac,Deep River Township 1A,County Clerk,,REP,Holly R. Hudson,110
254,Arenac,Deep River Township 1B,County Clerk,,REP,Holly R. Hudson,0
255,Arenac,Lincoln Township ,County Clerk,,REP,Holly R. Hudson,48
256,Arenac,Mason Township,County Clerk,,REP,Holly R. Hudson,25
257,Arenac,Moffatt Township,County Clerk,,REP,Holly R. Hudson,107
258,Arenac,Sims Township,County Clerk,,REP,Holly R. Hudson,49
259,Arenac,Standish Township,County Clerk,,REP,Holly R. Hudson,41
260,Arenac,Turner Township,County Clerk,,REP,Holly R. Hudson,18
261,Arenac,Whitney Twp AGS,County Clerk,,REP,Holly R. Hudson,33
262,Arenac,Whitney Twp TAS,County Clerk,,REP,Holly R. Hudson,0
263,Arenac,AuGres City,County Clerk,,REP,Holly R. Hudson,24
264,Arenac,Omer City,County Clerk,,REP,Holly R. Hudson,18
265,Arenac,Standish City,County Clerk,,REP,Holly R. Hudson,55
266,Arenac,Adams Township,County Clerk,,REP,Nancy Selle,39
267,Arenac,Arenac Township AGS,County Clerk,,REP,Nancy Selle,0
268,Arenac,Arenac Township SS,County Clerk,,REP,Nancy Selle,54
269,Arenac,AuGres Township 1A,County Clerk,,REP,Nancy Selle,158
270,Arenac,AuGres Township 1B,County Clerk,,REP,Nancy Selle,0
271,Arenac,Clayton Township,County Clerk,,REP,Nancy Selle,47
272,Arenac,Deep River Township 1A,County Clerk,,REP,Nancy Selle,159
273,Arenac,Deep River Township 1B,County Clerk,,REP,Nancy Selle,0
274,Arenac,Lincoln Township ,County Clerk,,REP,Nancy Selle,52
275,Arenac,Mason Township,County Clerk,,REP,Nancy Selle,51
276,Arenac,Moffatt Township,County Clerk,,REP,Nancy Selle,111
277,Arenac,Sims Township,County Clerk,,REP,Nancy Selle,169
278,Arenac,Standish Township,County Clerk,,REP,Nancy Selle,110
279,Arenac,Turner Township,County Clerk,,REP,Nancy Selle,85
280,Arenac,Whitney Twp AGS,County Clerk,,REP,Nancy Selle,118
281,Arenac,Whitney Twp TAS,County Clerk,,REP,Nancy Selle,0
282,Arenac,AuGres City,County Clerk,,REP,Nancy Selle,127
283,Arenac,Omer City,County Clerk,,REP,Nancy Selle,22
284,Arenac,Standish City,County Clerk,,REP,Nancy Selle,73
285,Arenac,Adams Township,County Treasurer,,REP,Dennis Stawowy,111
286,Arenac,Arenac Township AGS,County Treasurer,,REP,Dennis Stawowy,0
287,Arenac,Arenac Township SS,County Treasurer,,REP,Dennis Stawowy,154
288,Arenac,AuGres Township 1A,County Treasurer,,REP,Dennis Stawowy,220
289,Arenac,AuGres Township 1B,County Treasurer,,REP,Dennis Stawowy,0
290,Arenac,Clayton Township,County Treasurer,,REP,Dennis Stawowy,135
291,Arenac,Deep River Township 1A,County Treasurer,,REP,Dennis Stawowy,414
292,Arenac,Deep River Township 1B,County Treasurer,,REP,Dennis Stawowy,0
293,Arenac,Lincoln Township ,County Treasurer,,REP,Dennis Stawowy,139
294,Arenac,Mason Township,County Treasurer,,REP,Dennis Stawowy,91
295,Arenac,Moffatt Township,County Treasurer,,REP,Dennis Stawowy,289
296,Arenac,Sims Township,County Treasurer,,REP,Dennis Stawowy,253
297,Arenac,Standish Township,County Treasurer,,REP,Dennis Stawowy,242
298,Arenac,Turner Township,County Treasurer,,REP,Dennis Stawowy,119
299,Arenac,Whitney Twp AGS,County Treasurer,,REP,Dennis Stawowy,179
300,Arenac,Whitney Twp TAS,County Treasurer,,REP,Dennis Stawowy,0
301,Arenac,AuGres City,County Treasurer,,REP,Dennis Stawowy,158
302,Arenac,Omer City,County Treasurer,,REP,Dennis Stawowy,73
303,Arenac,Standish City,County Treasurer,,REP,Dennis Stawowy,184
304,Arenac,Adams Township,Register Of Deeds,,REP,Darlene Mikkola,15
305,Arenac,Arenac Township AGS,Register Of Deeds,,REP,Darlene Mikkola,0
306,Arenac,Arenac Township SS,Register Of Deeds,,REP,Darlene Mikkola,41
307,Arenac,AuGres Township 1A,Register Of Deeds,,REP,Darlene Mikkola,69
308,Arenac,AuGres Township 1B,Register Of Deeds,,REP,Darlene Mikkola,0
309,Arenac,Clayton Township,Register Of Deeds,,REP,Darlene Mikkola,41
310,Arenac,Deep River Township 1A,Register Of Deeds,,REP,Darlene Mikkola,95
311,Arenac,Deep River Township 1B,Register Of Deeds,,REP,Darlene Mikkola,0
312,Arenac,Lincoln Township ,Register Of Deeds,,REP,Darlene Mikkola,34
313,Arenac,Mason Township,Register Of Deeds,,REP,Darlene Mikkola,31
314,Arenac,Moffatt Township,Register Of Deeds,,REP,Darlene Mikkola,72
315,Arenac,Sims Township,Register Of Deeds,,REP,Darlene Mikkola,94
316,Arenac,Standish Township,Register Of Deeds,,REP,Darlene Mikkola,83
317,Arenac,Turner Township,Register Of Deeds,,REP,Darlene Mikkola,19
318,Arenac,Whitney Twp AGS,Register Of Deeds,,REP,Darlene Mikkola,82
319,Arenac,Whitney Twp TAS,Register Of Deeds,,REP,Darlene Mikkola,0
320,Arenac,AuGres City,Register Of Deeds,,REP,Darlene Mikkola,50
321,Arenac,Omer City,Register Of Deeds,,REP,Darlene Mikkola,15
322,Arenac,Standish City,Register Of Deeds,,REP,Darlene Mikkola,59
323,Arenac,Adams Township,Road Commissioner,,REP,Olen Swartz,96
324,Arenac,Arenac Township AGS,Road Commissioner,,REP,Olen Swartz,0
325,Arenac,Arenac Township SS,Road Commissioner,,REP,Olen Swartz,140
326,Arenac,AuGres Township 1A,Road Commissioner,,REP,Olen Swartz,213
327,Arenac,AuGres Township 1B,Road Commissioner,,REP,Olen Swartz,0
328,Arenac,Clayton Township,Road Commissioner,,REP,Olen Swartz,127
329,Arenac,Deep River Township 1A,Road Commissioner,,REP,Olen Swartz,365
330,Arenac,Deep River Township 1B,Road Commissioner,,REP,Olen Swartz,0
331,Arenac,Lincoln Township ,Road Commissioner,,REP,Olen Swartz,125
332,Arenac,Mason Township,Road Commissioner,,REP,Olen Swartz,86
333,Arenac,Moffatt Township,Road Commissioner,,REP,Olen Swartz,271
334,Arenac,Sims Township,Road Commissioner,,REP,Olen Swartz,245
335,Arenac,Standish Township,Road Commissioner,,REP,Olen Swartz,208
336,Arenac,Turner Township,Road Commissioner,,REP,Olen Swartz,104
337,Arenac,Whitney Twp AGS,Road Commissioner,,REP,Olen Swartz,179
338,Arenac,Whitney Twp TAS,Road Commissioner,,REP,Olen Swartz,0
339,Arenac,AuGres City,Road Commissioner,,REP,Olen Swartz,164
340,Arenac,Omer City,Road Commissioner,,REP,Olen Swartz,69
341,Arenac,Standish City,Road Commissioner,,REP,Olen Swartz,168
342,Arenac,Adams Township,Drain Commissioner,,REP,Jeffrey Trombley,13
343,Arenac,Arenac Township AGS,Drain Commissioner,,REP,Jeffrey Trombley,0
344,Arenac,Arenac Township SS,Drain Commissioner,,REP,Jeffrey Trombley,42
345,Arenac,AuGres Township 1A,Drain Commissioner,,REP,Jeffrey Trombley,71
346,Arenac,AuGres Township 1B,Drain Commissioner,,REP,Jeffrey Trombley,0
347,Arenac,Clayton Township,Drain Commissioner,,REP,Jeffrey Trombley,50
348,Arenac,Deep River Township 1A,Drain Commissioner,,REP,Jeffrey Trombley,109
349,Arenac,Deep River Township 1B,Drain Commissioner,,REP,Jeffrey Trombley,0
350,Arenac,Lincoln Township ,Drain Commissioner,,REP,Jeffrey Trombley,40
351,Arenac,Mason Township,Drain Commissioner,,REP,Jeffrey Trombley,36
352,Arenac,Moffatt Township,Drain Commissioner,,REP,Jeffrey Trombley,80
353,Arenac,Sims Township,Drain Commissioner,,REP,Jeffrey Trombley,105
354,Arenac,Standish Township,Drain Commissioner,,REP,Jeffrey Trombley,99
355,Arenac,Turner Township,Drain Commissioner,,REP,Jeffrey Trombley,19
356,Arenac,Whitney Twp AGS,Drain Commissioner,,REP,Jeffrey Trombley,86
357,Arenac,Whitney Twp TAS,Drain Commissioner,,REP,Jeffrey Trombley,0
358,Arenac,AuGres City,Drain Commissioner,,REP,Jeffrey Trombley,51
359,Arenac,Omer City,Drain Commissioner,,REP,Jeffrey Trombley,19
360,Arenac,Standish City,Drain Commissioner,,REP,Jeffrey Trombley,60
