county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,Congress 1st District,1,DEM,Dana Ferguson,81,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,Congress 1st District,1,DEM,Dana Ferguson,130,,,,,,,,,,,,,,,,,,,
Benzie,Inland,Congress 1st District,1,DEM,Dana Ferguson,122,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,Congress 1st District,1,DEM,Dana Ferguson,55,,,,,,,,,,,,,,,,,,,
Benzie,Lake,Congress 1st District,1,DEM,Dana Ferguson,126,,,,,,,,,,,,,,,,,,,
Benzie,Platte,Congress 1st District,1,DEM,Dana Ferguson,53,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,Congress 1st District,1,DEM,Dana Ferguson,36,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,Congress 1st District,1,DEM,Dana Ferguson,142,,,,,,,,,,,,,,,,,,,
Benzie,Almira,Congress 1st District,1,DEM,Linda O'Dell,152,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,Congress 1st District,1,DEM,Linda O'Dell,179,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,Congress 1st District,1,DEM,Linda O'Dell,17,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,Congress 1st District,1,DEM,Linda O'Dell,28,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,Congress 1st District,1,DEM,Linda O'Dell,85,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,Congress 1st District,1,DEM,Linda O'Dell,71,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,Congress 1st District,1,DEM,Linda O'Dell,74,,,,,,,,,,,,,,,,,,,
Benzie,Inland,Congress 1st District,1,DEM,Linda O'Dell,73,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,Congress 1st District,1,DEM,Linda O'Dell,38,,,,,,,,,,,,,,,,,,,
Benzie,Lake,Congress 1st District,1,DEM,Linda O'Dell,74,,,,,,,,,,,,,,,,,,,
Benzie,Platte,Congress 1st District,1,DEM,Linda O'Dell,13,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,Congress 1st District,1,DEM,Linda O'Dell,32,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,Congress 1st District,1,DEM,Linda O'Dell,94,,,,,,,,,,,,,,,,,,,
Benzie,Almira,Congress 1st District,1,REP,Jack Bergman,592,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,Congress 1st District,1,REP,Jack Bergman,484,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,Congress 1st District,1,REP,Jack Bergman,134,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,Congress 1st District,1,REP,Jack Bergman,124,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,Congress 1st District,1,REP,Jack Bergman,175,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,Congress 1st District,1,REP,Jack Bergman,91,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,Congress 1st District,1,REP,Jack Bergman,419,,,,,,,,,,,,,,,,,,,
Benzie,Inland,Congress 1st District,1,REP,Jack Bergman,434,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,Congress 1st District,1,REP,Jack Bergman,129,,,,,,,,,,,,,,,,,,,
Benzie,Lake,Congress 1st District,1,REP,Jack Bergman,208,,,,,,,,,,,,,,,,,,,
Benzie,Platte,Congress 1st District,1,REP,Jack Bergman,81,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,Congress 1st District,1,REP,Jack Bergman,97,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,Congress 1st District,1,REP,Jack Bergman,169,,,,,,,,,,,,,,,,,,,
Benzie,Almira,State Rep 101st District,101,DEM,Beth McGill-Rizer,378,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,State Rep 101st District,101,DEM,Beth McGill-Rizer,377,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,State Rep 101st District,101,DEM,Beth McGill-Rizer,67,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,State Rep 101st District,101,DEM,Beth McGill-Rizer,44,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,State Rep 101st District,101,DEM,Beth McGill-Rizer,189,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,State Rep 101st District,101,DEM,Beth McGill-Rizer,112,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,State Rep 101st District,101,DEM,Beth McGill-Rizer,178,,,,,,,,,,,,,,,,,,,
Benzie,Inland,State Rep 101st District,101,DEM,Beth McGill-Rizer,140,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,State Rep 101st District,101,DEM,Beth McGill-Rizer,73,,,,,,,,,,,,,,,,,,,
Benzie,Lake,State Rep 101st District,101,DEM,Beth McGill-Rizer,172,,,,,,,,,,,,,,,,,,,
Benzie,Platte,State Rep 101st District,101,DEM,Beth McGill-Rizer,55,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,State Rep 101st District,101,DEM,Beth McGill-Rizer,51,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,State Rep 101st District,101,DEM,Beth McGill-Rizer,196,,,,,,,,,,,,,,,,,,,
Benzie,Almira,State Rep 101st District,101,DEM,Cary L. Urka,72,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,State Rep 101st District,101,DEM,Cary L. Urka,59,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,State Rep 101st District,101,DEM,Cary L. Urka,11,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,State Rep 101st District,101,DEM,Cary L. Urka,9,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,State Rep 101st District,101,DEM,Cary L. Urka,37,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,State Rep 101st District,101,DEM,Cary L. Urka,38,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,State Rep 101st District,101,DEM,Cary L. Urka,17,,,,,,,,,,,,,,,,,,,
Benzie,Inland,State Rep 101st District,101,DEM,Cary L. Urka,56,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,State Rep 101st District,101,DEM,Cary L. Urka,21,,,,,,,,,,,,,,,,,,,
Benzie,Lake,State Rep 101st District,101,DEM,Cary L. Urka,25,,,,,,,,,,,,,,,,,,,
Benzie,Platte,State Rep 101st District,101,DEM,Cary L. Urka,8,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,State Rep 101st District,101,DEM,Cary L. Urka,19,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,State Rep 101st District,101,DEM,Cary L. Urka,37,,,,,,,,,,,,,,,,,,,
Benzie,Almira,State Rep 101st District,101,REP,Carolyn Cater,57,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,State Rep 101st District,101,REP,Carolyn Cater,40,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,State Rep 101st District,101,REP,Carolyn Cater,22,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,State Rep 101st District,101,REP,Carolyn Cater,4,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,State Rep 101st District,101,REP,Carolyn Cater,18,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,State Rep 101st District,101,REP,Carolyn Cater,4,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,State Rep 101st District,101,REP,Carolyn Cater,58,,,,,,,,,,,,,,,,,,,
Benzie,Inland,State Rep 101st District,101,REP,Carolyn Cater,31,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,State Rep 101st District,101,REP,Carolyn Cater,11,,,,,,,,,,,,,,,,,,,
Benzie,Lake,State Rep 101st District,101,REP,Carolyn Cater,25,,,,,,,,,,,,,,,,,,,
Benzie,Platte,State Rep 101st District,101,REP,Carolyn Cater,8,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,State Rep 101st District,101,REP,Carolyn Cater,10,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,State Rep 101st District,101,REP,Carolyn Cater,20,,,,,,,,,,,,,,,,,,,
Benzie,Almira,State Rep 101st District,101,REP,Jack O'Mally,560,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,State Rep 101st District,101,REP,Jack O'Mally,480,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,State Rep 101st District,101,REP,Jack O'Mally,133,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,State Rep 101st District,101,REP,Jack O'Mally,128,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,State Rep 101st District,101,REP,Jack O'Mally,167,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,State Rep 101st District,101,REP,Jack O'Mally,95,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,State Rep 101st District,101,REP,Jack O'Mally,425,,,,,,,,,,,,,,,,,,,
Benzie,Inland,State Rep 101st District,101,REP,Jack O'Mally,443,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,State Rep 101st District,101,REP,Jack O'Mally,129,,,,,,,,,,,,,,,,,,,
Benzie,Lake,State Rep 101st District,101,REP,Jack O'Mally,188,,,,,,,,,,,,,,,,,,,
Benzie,Platte,State Rep 101st District,101,REP,Jack O'Mally,78,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,State Rep 101st District,101,REP,Jack O'Mally,97,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,State Rep 101st District,101,REP,Jack O'Mally,153,,,,,,,,,,,,,,,,,,,
