county,precinct,office,district,candidate,party,absentee,election_day,votes
Macomb,CHESTERFIELD TOWNSHIP 10,Attorney General,,McHugh Jr.,LIB,6,16,22
Macomb,CHESTERFIELD TOWNSHIP 10,Attorney General,,DePerno,REP,471,601,1072
Macomb,CHESTERFIELD TOWNSHIP 11,Attorney General,,Ballots Cast,,,,991
Macomb,CHESTERFIELD TOWNSHIP 11,Attorney General,,Nessel,DEM,213,178,391
Macomb,CHESTERFIELD TOWNSHIP 11,Attorney General,,Van Sickle,UST,5,10,15
Macomb,CHESTERFIELD TOWNSHIP 11,Attorney General,,McHugh Jr.,LIB,6,15,21
Macomb,CHESTERFIELD TOWNSHIP 11,Attorney General,,DePerno,REP,166,366,532
Macomb,CHESTERFIELD TOWNSHIP 12,Attorney General,,Ballots Cast,,,,1310
Macomb,CHESTERFIELD TOWNSHIP 12,Attorney General,,Nessel,DEM,315,311,626
Macomb,CHESTERFIELD TOWNSHIP 12,Attorney General,,Van Sickle,UST,4,8,12
Macomb,CHESTERFIELD TOWNSHIP 12,Attorney General,,McHugh Jr.,LIB,9,10,19
Macomb,CHESTERFIELD TOWNSHIP 12,Attorney General,,DePerno,REP,148,442,590
Macomb,CHESTERFIELD TOWNSHIP 13,Attorney General,,Ballots Cast,,,,1515
Macomb,CHESTERFIELD TOWNSHIP 13,Attorney General,,Nessel,DEM,366,299,665
Macomb,CHESTERFIELD TOWNSHIP 13,Attorney General,,Van Sickle,UST,2,5,7
Macomb,CHESTERFIELD TOWNSHIP 13,Attorney General,,McHugh Jr.,LIB,6,11,17
Macomb,CHESTERFIELD TOWNSHIP 13,Attorney General,,DePerno,REP,247,521,768
Macomb,CHESTERFIELD TOWNSHIP 14,Attorney General,,Ballots Cast,,,,945
Macomb,CHESTERFIELD TOWNSHIP 14,Attorney General,,Nessel,DEM,196,178,374
Macomb,CHESTERFIELD TOWNSHIP 14,Attorney General,,Van Sickle,UST,0,2,2
Macomb,CHESTERFIELD TOWNSHIP 14,Attorney General,,McHugh Jr.,LIB,4,4,8
Macomb,CHESTERFIELD TOWNSHIP 14,Attorney General,,DePerno,REP,141,382,523
Macomb,CHESTERFIELD TOWNSHIP 15,Attorney General,,Ballots Cast,,,,1587
Macomb,CHESTERFIELD TOWNSHIP 15,Attorney General,,Nessel,DEM,400,250,650
Macomb,CHESTERFIELD TOWNSHIP 15,Attorney General,,Van Sickle,UST,3,8,11
Macomb,CHESTERFIELD TOWNSHIP 15,Attorney General,,McHugh Jr.,LIB,7,9,16
Macomb,CHESTERFIELD TOWNSHIP 15,Attorney General,,DePerno,REP,289,566,855
Macomb,CHESTERFIELD TOWNSHIP 16,Attorney General,,Ballots Cast,,,,1136
Macomb,CHESTERFIELD TOWNSHIP 16,Attorney General,,Nessel,DEM,274,186,460
Macomb,CHESTERFIELD TOWNSHIP 16,Attorney General,,Van Sickle,UST,5,5,10
Macomb,CHESTERFIELD TOWNSHIP 16,Attorney General,,McHugh Jr.,LIB,7,8,15
Macomb,CHESTERFIELD TOWNSHIP 16,Attorney General,,DePerno,REP,242,379,621
Macomb,CHESTERFIELD TOWNSHIP 17,Attorney General,,Ballots Cast,,,,739
Macomb,CHESTERFIELD TOWNSHIP 17,Attorney General,,Nessel,DEM,163,281,444
Macomb,CHESTERFIELD TOWNSHIP 17,Attorney General,,Van Sickle,UST,2,8,10
Macomb,CHESTERFIELD TOWNSHIP 17,Attorney General,,McHugh Jr.,LIB,1,15,16
Macomb,CHESTERFIELD TOWNSHIP 17,Attorney General,,DePerno,REP,60,191,251
Macomb,CHESTERFIELD TOWNSHIP 18,Attorney General,,Ballots Cast,,,,901
Macomb,CHESTERFIELD TOWNSHIP 18,Attorney General,,Nessel,DEM,210,181,391
Macomb,CHESTERFIELD TOWNSHIP 18,Attorney General,,Van Sickle,UST,2,2,4
Macomb,CHESTERFIELD TOWNSHIP 18,Attorney General,,McHugh Jr.,LIB,8,8,16
Macomb,CHESTERFIELD TOWNSHIP 18,Attorney General,,DePerno,REP,123,325,448
Macomb,CHESTERFIELD TOWNSHIP 19,Attorney General,,Ballots Cast,,,,1053
Macomb,CHESTERFIELD TOWNSHIP 19,Attorney General,,Nessel,DEM,247,254,501
Macomb,CHESTERFIELD TOWNSHIP 19,Attorney General,,Van Sickle,UST,3,0,3
Macomb,CHESTERFIELD TOWNSHIP 19,Attorney General,,McHugh Jr.,LIB,4,15,19
Macomb,CHESTERFIELD TOWNSHIP 19,Attorney General,,DePerno,REP,95,387,482
Macomb,CLINTON TOWNSHIP 01,Attorney General,,Ballots Cast,,,,1219
Macomb,CLINTON TOWNSHIP 01,Attorney General,,Nessel,DEM,360,369,729
Macomb,CLINTON TOWNSHIP 01,Attorney General,,Van Sickle,UST,2,5,7
Macomb,CLINTON TOWNSHIP 01,Attorney General,,McHugh Jr.,LIB,1,19,20
Macomb,CLINTON TOWNSHIP 01,Attorney General,,DePerno,REP,143,286,429
Macomb,CLINTON TOWNSHIP 02,Attorney General,,Ballots Cast,,,,1302
Macomb,CLINTON TOWNSHIP 02,Attorney General,,Nessel,DEM,372,324,696
Macomb,CLINTON TOWNSHIP 02,Attorney General,,Van Sickle,UST,2,7,9
Macomb,CLINTON TOWNSHIP 02,Attorney General,,McHugh Jr.,LIB,4,11,15
Macomb,CLINTON TOWNSHIP 02,Attorney General,,DePerno,REP,211,338,549
Macomb,CLINTON TOWNSHIP 03,Attorney General,,Ballots Cast,,,,1239
Macomb,CLINTON TOWNSHIP 03,Attorney General,,Nessel,DEM,327,250,577
Macomb,CLINTON TOWNSHIP 03,Attorney General,,Van Sickle,UST,4,1,5
Macomb,CLINTON TOWNSHIP 03,Attorney General,,McHugh Jr.,LIB,2,9,11
Macomb,CLINTON TOWNSHIP 03,Attorney General,,DePerno,REP,204,403,607
Macomb,CLINTON TOWNSHIP 04,Attorney General,,Ballots Cast,,,,1249
Macomb,CLINTON TOWNSHIP 04,Attorney General,,Nessel,DEM,365,232,597
Macomb,CLINTON TOWNSHIP 04,Attorney General,,Van Sickle,UST,2,1,3
Macomb,CLINTON TOWNSHIP 04,Attorney General,,McHugh Jr.,LIB,9,7,16
Macomb,CLINTON TOWNSHIP 04,Attorney General,,DePerno,REP,236,358,594
Macomb,CLINTON TOWNSHIP 05,Attorney General,,Ballots Cast,,,,528
Macomb,CLINTON TOWNSHIP 05,Attorney General,,Nessel,DEM,146,208,354
Macomb,CLINTON TOWNSHIP 05,Attorney General,,Van Sickle,UST,0,2,2
Macomb,CLINTON TOWNSHIP 05,Attorney General,,McHugh Jr.,LIB,4,8,12
Macomb,CLINTON TOWNSHIP 05,Attorney General,,DePerno,REP,36,106,142
Macomb,CLINTON TOWNSHIP 06,Attorney General,,Ballots Cast,,,,819
Macomb,CLINTON TOWNSHIP 06,Attorney General,,Nessel,DEM,286,253,539
Macomb,CLINTON TOWNSHIP 06,Attorney General,,Van Sickle,UST,2,0,2
Macomb,CLINTON TOWNSHIP 06,Attorney General,,McHugh Jr.,LIB,5,2,7
Macomb,CLINTON TOWNSHIP 06,Attorney General,,DePerno,REP,65,184,249
Macomb,CLINTON TOWNSHIP 07,Attorney General,,Ballots Cast,,,,1009
Macomb,CLINTON TOWNSHIP 07,Attorney General,,Nessel,DEM,288,189,477
Macomb,CLINTON TOWNSHIP 07,Attorney General,,Van Sickle,UST,2,3,5
Macomb,CLINTON TOWNSHIP 07,Attorney General,,McHugh Jr.,LIB,3,8,11
Macomb,CLINTON TOWNSHIP 07,Attorney General,,DePerno,REP,165,307,472
Macomb,CLINTON TOWNSHIP 08,Attorney General,,Ballots Cast,,,,1455
Macomb,CLINTON TOWNSHIP 08,Attorney General,,Nessel,DEM,463,282,745
Macomb,CLINTON TOWNSHIP 08,Attorney General,,Van Sickle,UST,1,4,5
Macomb,CLINTON TOWNSHIP 08,Attorney General,,McHugh Jr.,LIB,7,14,21
Macomb,CLINTON TOWNSHIP 08,Attorney General,,DePerno,REP,268,375,643
Macomb,CLINTON TOWNSHIP 09,Attorney General,,Ballots Cast,,,,1453
Macomb,CLINTON TOWNSHIP 09,Attorney General,,Nessel,DEM,504,222,726
Macomb,CLINTON TOWNSHIP 09,Attorney General,,Van Sickle,UST,7,1,8
Macomb,CLINTON TOWNSHIP 09,Attorney General,,McHugh Jr.,LIB,5,11,16
Macomb,CLINTON TOWNSHIP 09,Attorney General,,DePerno,REP,343,318,661
Macomb,CLINTON TOWNSHIP 10,Attorney General,,Ballots Cast,,,,951
Macomb,CLINTON TOWNSHIP 10,Attorney General,,Nessel,DEM,302,116,418
Macomb,CLINTON TOWNSHIP 10,Attorney General,,Van Sickle,UST,3,4,7
Macomb,CLINTON TOWNSHIP 10,Attorney General,,McHugh Jr.,LIB,3,8,11
Macomb,CLINTON TOWNSHIP 10,Attorney General,,DePerno,REP,216,261,477
Macomb,CLINTON TOWNSHIP 11,Attorney General,,Ballots Cast,,,,1480
Macomb,CLINTON TOWNSHIP 11,Attorney General,,Nessel,DEM,440,258,698
Macomb,CLINTON TOWNSHIP 11,Attorney General,,Van Sickle,UST,4,2,6
Macomb,CLINTON TOWNSHIP 11,Attorney General,,McHugh Jr.,LIB,7,8,15
Macomb,CLINTON TOWNSHIP 11,Attorney General,,DePerno,REP,323,401,724
Macomb,CLINTON TOWNSHIP 12,Attorney General,,Ballots Cast,,,,1049
Macomb,CLINTON TOWNSHIP 12,Attorney General,,Nessel,DEM,316,156,472
Macomb,CLINTON TOWNSHIP 12,Attorney General,,Van Sickle,UST,2,1,3
Macomb,CLINTON TOWNSHIP 12,Attorney General,,McHugh Jr.,LIB,5,11,16
Macomb,CLINTON TOWNSHIP 12,Attorney General,,DePerno,REP,201,320,521
Macomb,CLINTON TOWNSHIP 13,Attorney General,,Ballots Cast,,,,638
Macomb,CLINTON TOWNSHIP 13,Attorney General,,Nessel,DEM,181,121,302
Macomb,CLINTON TOWNSHIP 13,Attorney General,,Van Sickle,UST,0,3,3
Macomb,CLINTON TOWNSHIP 13,Attorney General,,McHugh Jr.,LIB,5,3,8
Macomb,CLINTON TOWNSHIP 13,Attorney General,,DePerno,REP,150,157,307
Macomb,CLINTON TOWNSHIP 14,Attorney General,,Ballots Cast,,,,870
Macomb,CLINTON TOWNSHIP 14,Attorney General,,Nessel,DEM,258,368,626
Macomb,CLINTON TOWNSHIP 14,Attorney General,,Van Sickle,UST,3,8,11
Macomb,CLINTON TOWNSHIP 14,Attorney General,,McHugh Jr.,LIB,2,11,13
Macomb,CLINTON TOWNSHIP 14,Attorney General,,DePerno,REP,56,135,191
Macomb,CLINTON TOWNSHIP 15,Attorney General,,Ballots Cast,,,,1297
Macomb,CLINTON TOWNSHIP 15,Attorney General,,Nessel,DEM,359,277,636
Macomb,CLINTON TOWNSHIP 15,Attorney General,,Van Sickle,UST,2,7,9
Macomb,CLINTON TOWNSHIP 15,Attorney General,,McHugh Jr.,LIB,4,11,15
Macomb,CLINTON TOWNSHIP 15,Attorney General,,DePerno,REP,223,361,584
Macomb,CLINTON TOWNSHIP 16,Attorney General,,Ballots Cast,,,,1565
Macomb,CLINTON TOWNSHIP 16,Attorney General,,Nessel,DEM,539,229,768
Macomb,CLINTON TOWNSHIP 16,Attorney General,,Van Sickle,UST,2,3,5
Macomb,CLINTON TOWNSHIP 16,Attorney General,,McHugh Jr.,LIB,12,10,22
Macomb,CLINTON TOWNSHIP 16,Attorney General,,DePerno,REP,357,370,727
Macomb,CLINTON TOWNSHIP 17,Attorney General,,Ballots Cast,,,,1100
Macomb,CLINTON TOWNSHIP 17,Attorney General,,Nessel,DEM,288,339,627
Macomb,CLINTON TOWNSHIP 17,Attorney General,,Van Sickle,UST,1,6,7
Macomb,CLINTON TOWNSHIP 17,Attorney General,,McHugh Jr.,LIB,1,13,14
Macomb,CLINTON TOWNSHIP 17,Attorney General,,DePerno,REP,189,234,423
Macomb,CLINTON TOWNSHIP 18,Attorney General,,Ballots Cast,,,,884
Macomb,CLINTON TOWNSHIP 18,Attorney General,,Nessel,DEM,299,128,427
Macomb,CLINTON TOWNSHIP 18,Attorney General,,Van Sickle,UST,3,2,5
Macomb,CLINTON TOWNSHIP 18,Attorney General,,McHugh Jr.,LIB,6,8,14
Macomb,CLINTON TOWNSHIP 18,Attorney General,,DePerno,REP,183,235,418
Macomb,CLINTON TOWNSHIP 19,Attorney General,,Ballots Cast,,,,746
Macomb,CLINTON TOWNSHIP 19,Attorney General,,Nessel,DEM,217,141,358
Macomb,CLINTON TOWNSHIP 19,Attorney General,,Van Sickle,UST,0,2,2
Macomb,CLINTON TOWNSHIP 19,Attorney General,,McHugh Jr.,LIB,0,8,8
Macomb,CLINTON TOWNSHIP 19,Attorney General,,DePerno,REP,134,207,341
Macomb,CLINTON TOWNSHIP 20,Attorney General,,Ballots Cast,,,,1085
Macomb,CLINTON TOWNSHIP 20,Attorney General,,Nessel,DEM,342,221,563
Macomb,CLINTON TOWNSHIP 20,Attorney General,,Van Sickle,UST,3,11,14
Macomb,CLINTON TOWNSHIP 20,Attorney General,,McHugh Jr.,LIB,9,15,24
Macomb,CLINTON TOWNSHIP 20,Attorney General,,DePerno,REP,168,287,455
Macomb,CLINTON TOWNSHIP 21,Attorney General,,Ballots Cast,,,,1042
Macomb,CLINTON TOWNSHIP 21,Attorney General,,Nessel,DEM,299,302,601
Macomb,CLINTON TOWNSHIP 21,Attorney General,,Van Sickle,UST,4,5,9
Macomb,CLINTON TOWNSHIP 21,Attorney General,,McHugh Jr.,LIB,3,5,8
Macomb,CLINTON TOWNSHIP 21,Attorney General,,DePerno,REP,130,272,402
Macomb,CLINTON TOWNSHIP 22,Attorney General,,Ballots Cast,,,,1160
Macomb,CLINTON TOWNSHIP 22,Attorney General,,Nessel,DEM,292,243,535
Macomb,CLINTON TOWNSHIP 22,Attorney General,,Van Sickle,UST,2,5,7
Macomb,CLINTON TOWNSHIP 22,Attorney General,,McHugh Jr.,LIB,8,8,16
Macomb,CLINTON TOWNSHIP 22,Attorney General,,DePerno,REP,215,343,558
Macomb,CLINTON TOWNSHIP 23,Attorney General,,Ballots Cast,,,,1191
Macomb,CLINTON TOWNSHIP 23,Attorney General,,Nessel,DEM,362,180,542
Macomb,CLINTON TOWNSHIP 23,Attorney General,,Van Sickle,UST,4,0,4
Macomb,CLINTON TOWNSHIP 23,Attorney General,,McHugh Jr.,LIB,6,6,12
Macomb,CLINTON TOWNSHIP 23,Attorney General,,DePerno,REP,249,346,595
Macomb,CLINTON TOWNSHIP 24,Attorney General,,Ballots Cast,,,,583
Macomb,CLINTON TOWNSHIP 24,Attorney General,,Nessel,DEM,142,103,245
Macomb,CLINTON TOWNSHIP 24,Attorney General,,Van Sickle,UST,2,2,4
Macomb,CLINTON TOWNSHIP 24,Attorney General,,McHugh Jr.,LIB,3,8,11
Macomb,CLINTON TOWNSHIP 24,Attorney General,,DePerno,REP,113,200,313
Macomb,CLINTON TOWNSHIP 25,Attorney General,,Ballots Cast,,,,979
Macomb,CLINTON TOWNSHIP 25,Attorney General,,Nessel,DEM,236,198,434
Macomb,CLINTON TOWNSHIP 25,Attorney General,,Van Sickle,UST,1,2,3
Macomb,CLINTON TOWNSHIP 25,Attorney General,,McHugh Jr.,LIB,2,3,5
Macomb,CLINTON TOWNSHIP 25,Attorney General,,DePerno,REP,217,299,516
Macomb,CLINTON TOWNSHIP 26,Attorney General,,Ballots Cast,,,,1102
Macomb,CLINTON TOWNSHIP 26,Attorney General,,Nessel,DEM,334,364,698
Macomb,CLINTON TOWNSHIP 26,Attorney General,,Van Sickle,UST,5,7,12
Macomb,CLINTON TOWNSHIP 26,Attorney General,,McHugh Jr.,LIB,4,14,18
Macomb,CLINTON TOWNSHIP 26,Attorney General,,DePerno,REP,110,237,347
Macomb,CLINTON TOWNSHIP 27,Attorney General,,Ballots Cast,,,,976
Macomb,CLINTON TOWNSHIP 27,Attorney General,,Nessel,DEM,289,245,534
Macomb,CLINTON TOWNSHIP 27,Attorney General,,Van Sickle,UST,4,2,6
Macomb,CLINTON TOWNSHIP 27,Attorney General,,McHugh Jr.,LIB,6,13,19
Macomb,CLINTON TOWNSHIP 27,Attorney General,,DePerno,REP,141,254,395
Macomb,CLINTON TOWNSHIP 28,Attorney General,,Ballots Cast,,,,1268
Macomb,CLINTON TOWNSHIP 28,Attorney General,,Nessel,DEM,359,389,748
Macomb,CLINTON TOWNSHIP 28,Attorney General,,Van Sickle,UST,0,3,3
Macomb,CLINTON TOWNSHIP 28,Attorney General,,McHugh Jr.,LIB,3,12,15
Macomb,CLINTON TOWNSHIP 28,Attorney General,,DePerno,REP,140,331,471
Macomb,CLINTON TOWNSHIP 29,Attorney General,,Ballots Cast,,,,694
Macomb,CLINTON TOWNSHIP 29,Attorney General,,Nessel,DEM,176,156,332
Macomb,CLINTON TOWNSHIP 29,Attorney General,,Van Sickle,UST,1,2,3
Macomb,CLINTON TOWNSHIP 29,Attorney General,,McHugh Jr.,LIB,1,4,5
Macomb,CLINTON TOWNSHIP 29,Attorney General,,DePerno,REP,136,204,340
Macomb,CLINTON TOWNSHIP 30,Attorney General,,Ballots Cast,,,,1099
Macomb,CLINTON TOWNSHIP 30,Attorney General,,Nessel,DEM,345,259,604
Macomb,CLINTON TOWNSHIP 30,Attorney General,,Van Sickle,UST,4,4,8
Macomb,CLINTON TOWNSHIP 30,Attorney General,,McHugh Jr.,LIB,5,7,12
Macomb,CLINTON TOWNSHIP 30,Attorney General,,DePerno,REP,180,265,445
Macomb,CLINTON TOWNSHIP 31,Attorney General,,Ballots Cast,,,,796
Macomb,CLINTON TOWNSHIP 31,Attorney General,,Nessel,DEM,215,166,381
Macomb,CLINTON TOWNSHIP 31,Attorney General,,Van Sickle,UST,1,6,7
Macomb,CLINTON TOWNSHIP 31,Attorney General,,McHugh Jr.,LIB,1,6,7
Macomb,CLINTON TOWNSHIP 31,Attorney General,,DePerno,REP,129,258,387
Macomb,CLINTON TOWNSHIP 32,Attorney General,,Ballots Cast,,,,903
Macomb,CLINTON TOWNSHIP 32,Attorney General,,Nessel,DEM,216,192,408
Macomb,CLINTON TOWNSHIP 32,Attorney General,,Van Sickle,UST,2,3,5
Macomb,CLINTON TOWNSHIP 32,Attorney General,,McHugh Jr.,LIB,4,9,13
Macomb,CLINTON TOWNSHIP 32,Attorney General,,DePerno,REP,141,294,435
Macomb,CLINTON TOWNSHIP 33,Attorney General,,Ballots Cast,,,,1090
Macomb,CLINTON TOWNSHIP 33,Attorney General,,Nessel,DEM,250,334,584
Macomb,CLINTON TOWNSHIP 33,Attorney General,,Van Sickle,UST,1,2,3
Macomb,CLINTON TOWNSHIP 33,Attorney General,,McHugh Jr.,LIB,4,12,16
Macomb,CLINTON TOWNSHIP 33,Attorney General,,DePerno,REP,112,337,449
