county,precinct,office,district,party,candidate,absentee,election_day,votes
Kalamazoo,Kalamazoo City 4,Registered Voters,,,,,,1977
Kalamazoo,Kalamazoo City 5,Registered Voters,,,,,,3319
Kalamazoo,Kalamazoo City 6,Registered Voters,,,,,,2060
Kalamazoo,Kalamazoo City 7,Registered Voters,,,,,,2587
Kalamazoo,Kalamazoo City 8,Registered Voters,,,,,,2401
Kalamazoo,Kalamazoo City 9,Registered Voters,,,,,,2233
Kalamazoo,Kalamazoo City 10,Registered Voters,,,,,,2512
Kalamazoo,Kalamazoo City 11,Registered Voters,,,,,,1952
Kalamazoo,Kalamazoo City 12,Registered Voters,,,,,,2019
Kalamazoo,Kalamazoo City 13,Registered Voters,,,,,,1719
Kalamazoo,Kalamazoo City 14,Registered Voters,,,,,,1694
Kalamazoo,Kalamazoo City 15,Registered Voters,,,,,,2552
Kalamazoo,Kalamazoo City 16,Registered Voters,,,,,,2083
Kalamazoo,Kalamazoo City 17,Registered Voters,,,,,,1928
Kalamazoo,Kalamazoo City 18,Registered Voters,,,,,,1893
Kalamazoo,Kalamazoo City 19,Registered Voters,,,,,,2731
Kalamazoo,Kalamazoo City 20,Registered Voters,,,,,,2328
Kalamazoo,Kalamazoo City 21,Registered Voters,,,,,,1427
Kalamazoo,Kalamazoo City 22,Registered Voters,,,,,,2668
Kalamazoo,Kalamazoo City 23,Registered Voters,,,,,,1309
Kalamazoo,Kalamazoo City 24,Registered Voters,,,,,,1291
Kalamazoo,Kalamazoo City 25,Registered Voters,,,,,,1564
Kalamazoo,Kalamazoo City 26,Registered Voters,,,,,,1871
Kalamazoo,Kalamazoo City 27,Registered Voters,,,,,,1603
Kalamazoo,Parchment City 1,Registered Voters,,,,,,1560
Kalamazoo,Portage City 1,Registered Voters,,,,,,1755
Kalamazoo,Portage City 2,Registered Voters,,,,,,1913
Kalamazoo,Portage City 3,Registered Voters,,,,,,2203
Kalamazoo,Portage City 4,Registered Voters,,,,,,1743
Kalamazoo,Portage City 5,Registered Voters,,,,,,1668
Kalamazoo,Portage City 6,Registered Voters,,,,,,2029
Kalamazoo,Portage City 7,Registered Voters,,,,,,1299
Kalamazoo,Portage City 8,Registered Voters,,,,,,1952
Kalamazoo,Portage City 9,Registered Voters,,,,,,1634
Kalamazoo,Portage City 10,Registered Voters,,,,,,2314
Kalamazoo,Portage City 11,Registered Voters,,,,,,2364
Kalamazoo,Portage City 12,Registered Voters,,,,,,2237
Kalamazoo,Portage City 13,Registered Voters,,,,,,3040
Kalamazoo,Portage City 14,Registered Voters,,,,,,1759
Kalamazoo,Portage City 15,Registered Voters,,,,,,2001
Kalamazoo,Portage City 16,Registered Voters,,,,,,2595
Kalamazoo,Portage City 17,Registered Voters,,,,,,1927
Kalamazoo,Portage City 18,Registered Voters,,,,,,1970
Kalamazoo,Portage City 19,Registered Voters,,,,,,1959
Kalamazoo,Alamo Twp. 1,Ballots Cast,,,,,,790
Kalamazoo,Alamo Twp. 2,Ballots Cast,,,,,,1368
Kalamazoo,Brady Twp. 1,Ballots Cast,,,,,,1227
Kalamazoo,Brady Twp. 2,Ballots Cast,,,,,,1123
Kalamazoo,Charleston Twp. 1,Ballots Cast,,,,,,1053
Kalamazoo,Climax Twp. 1,Ballots Cast,,,,,,1197
Kalamazoo,Comstock Twp. 1,Ballots Cast,,,,,,1333
Kalamazoo,Comstock Twp. 2,Ballots Cast,,,,,,1150
Kalamazoo,Comstock Twp. 3,Ballots Cast,,,,,,1043
Kalamazoo,Comstock Twp. 4,Ballots Cast,,,,,,1080
Kalamazoo,Comstock Twp. 5,Ballots Cast,,,,,,1039
Kalamazoo,Comstock Twp. 6,Ballots Cast,,,,,,883
Kalamazoo,Comstock Twp. 7,Ballots Cast,,,,,,797
Kalamazoo,Cooper Twp. 1,Ballots Cast,,,,,,748
Kalamazoo,Cooper Twp. 2,Ballots Cast,,,,,,942
Kalamazoo,Cooper Twp. 3,Ballots Cast,,,,,,1555
Kalamazoo,Cooper Twp. 4,Ballots Cast,,,,,,1792
Kalamazoo,Cooper Twp. 5,Ballots Cast,,,,,,394
Kalamazoo,Kalamazoo Twp. 1,Ballots Cast,,,,,,210
Kalamazoo,Kalamazoo Twp. 2,Ballots Cast,,,,,,665
Kalamazoo,Kalamazoo Twp. 3,Ballots Cast,,,,,,1698
