id,county,precinct,office,district,candidate,party,election_day,absentee,votes
107,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Lena Epstein,REP,965,429,1394
108,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,929,424,1353
109,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Eric Larson,LIB,36,17,53
110,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Joe Sanger,UST,14,5,19
111,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Sherry A. Wells,GRE,16,11,27
112,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Kathleen Oakford,NAL,10,6,16
113,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Cast Votes,,2431,1510,3941
114,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Undervotes,,264,141,405
115,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Overvotes,,2,0,2
116,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Rejected write-in votes,,3,1,4
117,Ottawa,"Allendale Charter Township, Precinct 1",Regent of the University of Michigan,,Unresolved write-in votes,,0,0,0
119,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Dennis Denno,DEM,216,297,513
120,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Renee Knake Jefferson,DEM,236,311,547
121,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,968,438,1406
122,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Travis Menge,REP,952,432,1384
123,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Claranna Gelineau,LIB,30,14,44
124,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Max Riekse,LIB,20,16,36
125,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Robin Lea Laurain,GRE,11,10,21
126,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Cast Votes,,2433,1518,3951
127,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Undervotes,,267,133,400
128,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Overvotes,,0,0,0
129,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Rejected write-in votes,,2,1,3
130,Ottawa,"Allendale Charter Township, Precinct 1",Trustee of Michigan State University,,Unresolved write-in votes,,0,0,0
133,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Danielle Atkinson,DEM,225,303,528
134,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Marilyn Kelly,DEM,221,304,525
135,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Christa Murphy,REP,951,432,1383
136,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Craig Wilsher,REP,927,422,1349
137,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Bruce Jaquays,LIB,31,11,42
138,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Marc Joseph Sosnowski,UST,9,7,16
139,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Susan Odgers,GRE,10,8,18
140,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Paul Joseph Foust (W),,0,0,0
141,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Cast Votes,,2374,1487,3861
142,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Undervotes,,326,165,491
143,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Overvotes,,0,0,0
144,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Rejected write-in votes,,2,0,2
145,Ottawa,"Allendale Charter Township, Precinct 1",Governor of Wayne State University,,Unresolved write-in votes,,0,0,0
147,Ottawa,"Allendale Charter Township, Precinct 1",County Commissioner,8,Sylvia Rhodea,REP,1067,494,1561
148,Ottawa,"Allendale Charter Township, Precinct 1",County Commissioner,8,Cast Votes,,1067,494,1561
149,Ottawa,"Allendale Charter Township, Precinct 1",County Commissioner,8,Undervotes,,262,299,561
150,Ottawa,"Allendale Charter Township, Precinct 1",County Commissioner,8,Overvotes,,0,0,0
151,Ottawa,"Allendale Charter Township, Precinct 1",County Commissioner,8,Rejected write-in votes,,22,33,55
152,Ottawa,"Allendale Charter Township, Precinct 1",County Commissioner,8,Unresolved write-in votes,,0,0,0
155,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Richard Bernstein,,409,374,783
156,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Kyra Harris Bolden,,222,255,477
157,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Paul Hudson,,480,260,740
158,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Kerry Lee Morgan,,104,50,154
159,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Brian Zahra,,610,353,963
160,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Cast Votes,,1825,1292,3117
161,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Undervotes,,868,358,1226
162,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Overvotes,,1,0,1
163,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Rejected write-in votes,,7,2,9
164,Ottawa,"Allendale Charter Township, Precinct 1",Justice of Supreme Court,,Unresolved write-in votes,,0,0,0
166,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term,,James Robert Redford,,748,422,1170
167,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term,,Cast Votes,,748,422,1170
168,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term,,Undervotes,,592,395,987
169,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term,,Overvotes,,0,0,0
170,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term,,Rejected write-in votes,,11,9,20
171,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term,,Unresolved write-in votes,,0,0,0
174,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending 01/01/2025 - Vote for,,Christopher Yates,,737,409,1146
175,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending 01/01/2025 - Vote for,,Cast Votes,,737,409,1146
176,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending 01/01/2025 - Vote for,,Undervotes,,607,410,1017
177,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending 01/01/2025 - Vote for,,Overvotes,,0,0,0
178,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending 01/01/2025 - Vote for,,Rejected write-in votes,,7,7,14
179,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending 01/01/2025 - Vote for,,Unresolved write-in votes,,0,0,0
182,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Kathleen A. Feeney,,414,302,716
183,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Raymond P. Voet,,458,261,719
184,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Cast Votes,,872,563,1435
185,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Undervotes,,471,257,728
186,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Overvotes,,2,1,3
187,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Rejected write-in votes,,6,5,11
188,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Court of Appeals 3rd District Non-Incumbent Position,,Unresolved write-in votes,,0,0,0
190,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Kent D. Engle,,639,422,1061
191,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Karen Jongekrijg Miedema,,575,368,943
192,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Cast Votes,,1214,790,2004
193,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Undervotes,,1481,853,2334
194,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Overvotes,,0,0,0
195,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Rejected write-in votes,,7,9,16
196,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit Incumbent Position,,Unresolved write-in votes,,0,0,0
198,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Paul Kraus,,738,383,1121
199,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Mercedes Watts,,184,208,392
200,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Cast Votes,,922,591,1513
201,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Undervotes,,426,230,656
202,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Overvotes,,0,1,1
203,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Rejected write-in votes,,3,4,7
204,Ottawa,"Allendale Charter Township, Precinct 1",Judge of Circuit Court 20th Circuit New Judgeship,,Unresolved write-in votes,,0,0,0
207,Ottawa,"Allendale Charter Township, Precinct 1",Judge of District Court 58th District Incumbent Position,,Judy K. Mulder,,729,421,1150
208,Ottawa,"Allendale Charter Township, Precinct 1",Judge of District Court 58th District Incumbent Position,,Cast Votes,,729,421,1150
209,Ottawa,"Allendale Charter Township, Precinct 1",Judge of District Court 58th District Incumbent Position,,Undervotes,,618,400,1018
210,Ottawa,"Allendale Charter Township, Precinct 1",Judge of District Court 58th District Incumbent Position,,Overvotes,,0,0,0
211,Ottawa,"Allendale Charter Township, Precinct 1",Judge of District Court 58th District Incumbent Position,,Rejected write-in votes,,4,5,9
212,Ottawa,"Allendale Charter Township, Precinct 1",Judge of District Court 58th District Incumbent Position,,Unresolved write-in votes,,0,0,0
214,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Ike Kennedy,,270,247,517
215,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Troy Lampen,,313,268,581
216,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Liz Ramey,,725,328,1053
217,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Josh Thurkettle,,480,347,827
218,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Cast Votes,,1788,1190,2978
219,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Undervotes,,906,460,1366
220,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Overvotes,,0,0,0
221,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Rejected write-in votes,,8,2,10
222,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools 6 Year Term,,Unresolved write-in votes,,0,0,0
224,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Christopher Breen,,246,230,476
225,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Corey Mango,,680,285,965
226,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Aileen VanderSchuur,,159,148,307
227,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Cast Votes,,1085,663,1748
228,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Undervotes,,254,154,408
229,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Overvotes,,7,6,13
230,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Rejected write-in votes,,5,3,8
231,Ottawa,"Allendale Charter Township, Precinct 1",Board Member Allendale Public Schools Partial Term Ending 12/31/2024,,Unresolved write-in votes,,0,0,0
234,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,Yes,,458,479,937
235,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,No,,860,316,1176
236,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,Cast Votes,,1318,795,2113
237,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,Undervotes,,32,31,63
238,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,Overvotes,,1,0,1
239,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,Rejected write-in votes,,0,0,0
240,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-1,,Unresolved write-in votes,,0,0,0
242,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,Yes,,376,424,800
243,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,No,,945,365,1310
244,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,Cast Votes,,1321,789,2110
245,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,Undervotes,,29,35,64
246,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,Overvotes,,1,2,3
247,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,Rejected write-in votes,,0,0,0
248,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-2,,Unresolved write-in votes,,0,0,0
250,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,Yes,,362,371,733
251,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,No,,975,438,1413
252,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,Cast Votes,,1337,809,2146
253,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,Undervotes,,14,16,30
254,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,Overvotes,,0,1,1
255,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,Rejected write-in votes,,0,0,0
256,Ottawa,"Allendale Charter Township, Precinct 1",Proposal 22-3,,Unresolved write-in votes,,0,0,0
259,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Democratic Party,DEM,141,123,264
260,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Republican Party,REP,458,233,691
261,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Libertarian Party,LIB,5,2,7
262,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,U.S. Taxpayers Party,UST,0,1,1
263,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Working Class Party,WC,2,2,4
264,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Green Party,GRE,1,0,1
265,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Natural Law Party,NAL,0,0,0
266,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Cast Votes,,607,361,968
267,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Undervotes,,510,229,739
268,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Overvotes,,2,1,3
269,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Rejected write-in votes,,0,0,0
270,Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Unresolved write-in votes,,0,0,0
273,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Gretchen Whitmer Garlin D. Gilchrist II,DEM,312,261,573
274,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Tudor M. Dixon Shane Hernandez,REP,784,317,1101
275,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Mary Buzuma Brian Ellison,LIB,10,9,19
276,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Donna Brandenburg Mellissa Carone,UST,2,0,2
277,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Kevin Hogan Destiny Clayton,GRE,1,0,1
278,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Daryl M. Simpson Doug Dern,NAL,1,0,1
279,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Bob Scott (W),,0,0,0
280,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
281,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Ervin Joseph Lamie (W),,0,0,0
282,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
283,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Evan S. Space (W),,0,1,1
284,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Joseph Irving (W),,0,0,0
285,Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Joseph Michael Hunt (W),,0,0,0
