county,precinct,office,candidate,district,party,votes
Montcalm,"Bloomer Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Bloomer Township, Precinct 1",President,Rocky De La Fuente,,NLP,1
Montcalm,"Bloomer Township, Precinct 1",President,Brian T Carroll,,W,1
Montcalm,"Bloomer Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Bloomer Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Bloomer Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Bloomer Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Bloomer Township, Precinct 1",President,Undervotes,,,5
Montcalm,"Bloomer Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,144
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,John James,,REP,473
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,6
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,9
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Undervotes,,,14
Montcalm,"Bloomer Township, Precinct 1",U.S. Senate,Overvotes,,,1
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,126
Montcalm,"Bloomer Township, Precinct 1",U.S. House,John Moolenaar,4,REP,480
Montcalm,"Bloomer Township, Precinct 1",U.S. House,David Canny,4,LIB,8
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,9
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Undervotes,4,,24
Montcalm,"Bloomer Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Bloomer Township, Precinct 1",State House,Karen Garvey,70,DEM,137
Montcalm,"Bloomer Township, Precinct 1",State House,Pat Outman,70,REP,479
Montcalm,"Bloomer Township, Precinct 1",State House,Undervotes,70,,31
Montcalm,"Bloomer Township, Precinct 1",State House,Overvotes,70,,0
Montcalm,"Bushnell Township, Precinct 1",Registered Voters,,,,1151
Montcalm,"Bushnell Township, Precinct 1",Ballots Cast,,,,752
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,DEM,93
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,REP,388
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,LIB,4
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,UST,0
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,WCP,1
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,GRN,3
Montcalm,"Bushnell Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Bushnell Township, Precinct 1",Straight Party,Undervotes,,,261
Montcalm,"Bushnell Township, Precinct 1",Straight Party,Overvotes,,,2
Montcalm,"Bushnell Township, Precinct 1",President,Joseph R Biden,,DEM,161
Montcalm,"Bushnell Township, Precinct 1",President,Donald J Trump,,REP,574
Montcalm,"Bushnell Township, Precinct 1",President,Jo Jorgensen,,LIB,12
Montcalm,"Bushnell Township, Precinct 1",President,Don Blankenship,,UST,3
Montcalm,"Bushnell Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Bushnell Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Bushnell Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Bushnell Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Bushnell Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Bushnell Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Bushnell Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Bushnell Township, Precinct 1",President,Undervotes,,,1
Montcalm,"Bushnell Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,171
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,John James,,REP,534
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,18
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,7
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,5
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Undervotes,,,16
Montcalm,"Bushnell Township, Precinct 1",U.S. Senate,Overvotes,,,1
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,146
Montcalm,"Bushnell Township, Precinct 1",U.S. House,John Moolenaar,4,REP,552
Montcalm,"Bushnell Township, Precinct 1",U.S. House,David Canny,4,LIB,20
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,12
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Undervotes,4,,22
Montcalm,"Bushnell Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Bushnell Township, Precinct 1",State House,Karen Garvey,70,DEM,165
Montcalm,"Bushnell Township, Precinct 1",State House,Pat Outman,70,REP,558
Montcalm,"Bushnell Township, Precinct 1",State House,Undervotes,70,,27
Montcalm,"Bushnell Township, Precinct 1",State House,Overvotes,70,,2
Montcalm,"Cato Township, Precinct 1",Registered Voters,,,,2259
Montcalm,"Cato Township, Precinct 1",Ballots Cast,,,,1509
Montcalm,"Cato Township, Precinct 1",Straight Party,,,DEM,228
Montcalm,"Cato Township, Precinct 1",Straight Party,,,REP,635
Montcalm,"Cato Township, Precinct 1",Straight Party,,,LIB,2
Montcalm,"Cato Township, Precinct 1",Straight Party,,,UST,3
Montcalm,"Cato Township, Precinct 1",Straight Party,,,WCP,5
Montcalm,"Cato Township, Precinct 1",Straight Party,,,GRN,3
Montcalm,"Cato Township, Precinct 1",Straight Party,,,NLP,2
Montcalm,"Cato Township, Precinct 1",Straight Party,Undervotes,,,1151
Montcalm,"Cato Township, Precinct 1",Straight Party,Overvotes,,,3
Montcalm,"Cato Township, Precinct 1",President,Joseph R Biden,,DEM,475
Montcalm,"Cato Township, Precinct 1",President,Donald J Trump,,REP,1000
Montcalm,"Cato Township, Precinct 1",President,Jo Jorgensen,,LIB,17
Montcalm,"Cato Township, Precinct 1",President,Don Blankenship,,UST,3
Montcalm,"Cato Township, Precinct 1",President,Howie Hawkins,,GRN,3
Montcalm,"Cato Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Cato Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Cato Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Cato Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Cato Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Cato Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Cato Township, Precinct 1",President,Undervotes,,,533
Montcalm,"Cato Township, Precinct 1",President,Overvotes,,,1
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,458
Montcalm,"Cato Township, Precinct 1",U.S. Senate,John James,,REP,985
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,17
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,8
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,8
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Undervotes,,,556
Montcalm,"Cato Township, Precinct 1",U.S. Senate,Overvotes,,,0
Montcalm,"Cato Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Cato Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Cato Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Cato Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Cato Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Cato Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Cato Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,404
Montcalm,"Cato Township, Precinct 1",U.S. House,John Moolenaar,4,REP,999
Montcalm,"Cato Township, Precinct 1",U.S. House,David Canny,4,LIB,18
Montcalm,"Cato Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,28
Montcalm,"Cato Township, Precinct 1",U.S. House,Undervotes,4,,582
Montcalm,"Cato Township, Precinct 1",U.S. House,Overvotes,4,,1
Montcalm,"Cato Township, Precinct 1",State House,Karen Garvey,70,DEM,404
Montcalm,"Cato Township, Precinct 1",State House,Pat Outman,70,REP,1052
Montcalm,"Cato Township, Precinct 1",State House,Undervotes,70,,575
Montcalm,"Cato Township, Precinct 1",State House,Overvotes,70,,1
Montcalm,"Crystal Township, Precinct 1",Registered Voters,,,,2069
Montcalm,"Crystal Township, Precinct 1",Ballots Cast,,,,1354
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,DEM,214
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,REP,555
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,LIB,6
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,UST,0
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,WCP,1
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,GRN,1
Montcalm,"Crystal Township, Precinct 1",Straight Party,,,NLP,2
Montcalm,"Crystal Township, Precinct 1",Straight Party,Undervotes,,,573
Montcalm,"Crystal Township, Precinct 1",Straight Party,Overvotes,,,2
Montcalm,"Crystal Township, Precinct 1",President,Joseph R Biden,,DEM,415
Montcalm,"Crystal Township, Precinct 1",President,Donald J Trump,,REP,913
Montcalm,"Crystal Township, Precinct 1",President,Jo Jorgensen,,LIB,17
Montcalm,"Crystal Township, Precinct 1",President,Don Blankenship,,UST,2
Montcalm,"Crystal Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Crystal Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Crystal Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Crystal Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Crystal Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Crystal Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Crystal Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Crystal Township, Precinct 1",President,Undervotes,,,6
Montcalm,"Crystal Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,423
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,John James,,REP,887
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,18
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,5
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,3
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Undervotes,,,17
Montcalm,"Crystal Township, Precinct 1",U.S. Senate,Overvotes,,,1
Montcalm,"Crystal Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Crystal Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Crystal Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Crystal Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Crystal Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Crystal Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Crystal Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,359
Montcalm,"Crystal Township, Precinct 1",U.S. House,John Moolenaar,4,REP,896
Montcalm,"Crystal Township, Precinct 1",U.S. House,David Canny,4,LIB,28
Montcalm,"Crystal Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,19
Montcalm,"Crystal Township, Precinct 1",U.S. House,Undervotes,4,,52
Montcalm,"Crystal Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Crystal Township, Precinct 1",State House,Karen Garvey,70,DEM,371
Montcalm,"Crystal Township, Precinct 1",State House,Pat Outman,70,REP,923
Montcalm,"Crystal Township, Precinct 1",State House,Undervotes,70,,56
Montcalm,"Crystal Township, Precinct 1",State House,Overvotes,70,,4
Montcalm,"Day Township, Precinct 1",Registered Voters,,,,857
Montcalm,"Day Township, Precinct 1",Ballots Cast,,,,630
Montcalm,"Day Township, Precinct 1",Straight Party,,,DEM,70
Montcalm,"Day Township, Precinct 1",Straight Party,,,REP,325
Montcalm,"Day Township, Precinct 1",Straight Party,,,LIB,3
Montcalm,"Day Township, Precinct 1",Straight Party,,,UST,0
Montcalm,"Day Township, Precinct 1",Straight Party,,,WCP,3
Montcalm,"Day Township, Precinct 1",Straight Party,,,GRN,1
Montcalm,"Day Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Day Township, Precinct 1",Straight Party,Undervotes,,,227
Montcalm,"Day Township, Precinct 1",Straight Party,Overvotes,,,1
Montcalm,"Day Township, Precinct 1",President,Joseph R Biden,,DEM,147
Montcalm,"Day Township, Precinct 1",President,Donald J Trump,,REP,469
Montcalm,"Day Township, Precinct 1",President,Jo Jorgensen,,LIB,9
Montcalm,"Day Township, Precinct 1",President,Don Blankenship,,UST,0
Montcalm,"Day Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Day Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Day Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Day Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Day Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Day Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Day Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Day Township, Precinct 1",President,Undervotes,,,4
Montcalm,"Day Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Day Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,148
Montcalm,"Day Township, Precinct 1",U.S. Senate,John James,,REP,459
Montcalm,"Day Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,2
Montcalm,"Day Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,4
Montcalm,"Day Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,2
Montcalm,"Day Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Day Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Day Township, Precinct 1",U.S. Senate,Undervotes,,,15
Montcalm,"Day Township, Precinct 1",U.S. Senate,Overvotes,,,0
Montcalm,"Day Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Day Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Day Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Day Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Day Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Day Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Day Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,121
Montcalm,"Day Township, Precinct 1",U.S. House,John Moolenaar,4,REP,469
Montcalm,"Day Township, Precinct 1",U.S. House,David Canny,4,LIB,7
Montcalm,"Day Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,10
Montcalm,"Day Township, Precinct 1",U.S. House,Undervotes,4,,23
Montcalm,"Day Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Day Township, Precinct 1",State House,Karen Garvey,70,DEM,146
Montcalm,"Day Township, Precinct 1",State House,Pat Outman,70,REP,462
Montcalm,"Day Township, Precinct 1",State House,Undervotes,70,,22
Montcalm,"Day Township, Precinct 1",State House,Overvotes,70,,0
Montcalm,"Douglass Township, Precinct 1",Registered Voters,,,,1917
Montcalm,"Douglass Township, Precinct 1",Ballots Cast,,,,1334
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,DEM,197
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,REP,593
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,LIB,2
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,UST,2
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,WCP,3
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,GRN,1
Montcalm,"Douglass Township, Precinct 1",Straight Party,,,NLP,1
Montcalm,"Douglass Township, Precinct 1",Straight Party,Undervotes,,,534
Montcalm,"Douglass Township, Precinct 1",Straight Party,Overvotes,,,1
Montcalm,"Douglass Township, Precinct 1",President,Joseph R Biden,,DEM,380
Montcalm,"Douglass Township, Precinct 1",President,Donald J Trump,,REP,929
Montcalm,"Douglass Township, Precinct 1",President,Jo Jorgensen,,LIB,10
Montcalm,"Douglass Township, Precinct 1",President,Don Blankenship,,UST,6
Montcalm,"Douglass Township, Precinct 1",President,Howie Hawkins,,GRN,2
Montcalm,"Douglass Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Douglass Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Douglass Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Douglass Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Douglass Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Douglass Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Douglass Township, Precinct 1",President,Undervotes,,,3
Montcalm,"Douglass Township, Precinct 1",President,Overvotes,,,4
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,374
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,John James,,REP,904
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,14
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,8
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,9
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Undervotes,,,25
Montcalm,"Douglass Township, Precinct 1",U.S. Senate,Overvotes,,,0
Montcalm,"Douglass Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Douglass Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Douglass Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Douglass Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Douglass Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Douglass Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Douglass Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,328
Montcalm,"Douglass Township, Precinct 1",U.S. House,John Moolenaar,4,REP,933
Montcalm,"Douglass Township, Precinct 1",U.S. House,David Canny,4,LIB,18
Montcalm,"Douglass Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,11
Montcalm,"Douglass Township, Precinct 1",U.S. House,Undervotes,4,,44
Montcalm,"Douglass Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Douglass Township, Precinct 1",State House,Karen Garvey,70,DEM,358
Montcalm,"Douglass Township, Precinct 1",State House,Pat Outman,70,REP,935
Montcalm,"Douglass Township, Precinct 1",State House,Undervotes,70,,41
Montcalm,"Douglass Township, Precinct 1",State House,Overvotes,70,,0
Montcalm,"Eureka Charter Township, Precinct 1",Registered Voters,,,,1608
Montcalm,"Eureka Charter Township, Precinct 1",Ballots Cast,,,,1228
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,DEM,242
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,REP,431
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,LIB,5
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,UST,1
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,WCP,1
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,GRN,0
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,,,NLP,1
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,Undervotes,,,547
Montcalm,"Eureka Charter Township, Precinct 1",Straight Party,Overvotes,,,0
Montcalm,"Eureka Charter Township, Precinct 1",President,Joseph R Biden,,DEM,471
Montcalm,"Eureka Charter Township, Precinct 1",President,Donald J Trump,,REP,726
Montcalm,"Eureka Charter Township, Precinct 1",President,Jo Jorgensen,,LIB,18
Montcalm,"Eureka Charter Township, Precinct 1",President,Don Blankenship,,UST,2
Montcalm,"Eureka Charter Township, Precinct 1",President,Howie Hawkins,,GRN,2
Montcalm,"Eureka Charter Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Eureka Charter Township, Precinct 1",President,Brian T Carroll,,W,2
