county,precinct,office,candidate,district,party,votes
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,WCP,0
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Bearinger Township, Precinct 1",President,Joseph R Biden,,DEM,93
Presque Isle,"Bearinger Township, Precinct 1",President,Donald J Trump,,REP,209
Presque Isle,"Bearinger Township, Precinct 1",President,Jo Jorgensen,,LIB,0
Presque Isle,"Bearinger Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Bearinger Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Bearinger Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Bearinger Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,100
Presque Isle,"Bearinger Township, Precinct 1",U.S. Senate,John James,,REP,203
Presque Isle,"Bearinger Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,0
Presque Isle,"Bearinger Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"Bearinger Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,1
Presque Isle,"Bearinger Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,82
Presque Isle,"Bearinger Township, Precinct 1",U.S. House,Jack Bergman,1,REP,219
Presque Isle,"Bearinger Township, Precinct 1",U.S. House,Ben Boren,1,LIB,3
Presque Isle,"Bearinger Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,85
Presque Isle,"Bearinger Township, Precinct 1",State House,Sue Allor,106,REP,214
Presque Isle,"Belknap Township, Precinct 1",Registered Voters,,,,593
Presque Isle,"Belknap Township, Precinct 1",Ballots Cast,,,,398
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,DEM,46
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,REP,142
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,UST,1
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,WCP,0
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,GRN,1
Presque Isle,"Belknap Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Belknap Township, Precinct 1",President,Joseph R Biden,,DEM,109
Presque Isle,"Belknap Township, Precinct 1",President,Donald J Trump,,REP,282
Presque Isle,"Belknap Township, Precinct 1",President,Jo Jorgensen,,LIB,1
Presque Isle,"Belknap Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Belknap Township, Precinct 1",President,Howie Hawkins,,GRN,1
Presque Isle,"Belknap Township, Precinct 1",President,Rocky De La Fuente,,NLP,2
Presque Isle,"Belknap Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,122
Presque Isle,"Belknap Township, Precinct 1",U.S. Senate,John James,,REP,270
Presque Isle,"Belknap Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,1
Presque Isle,"Belknap Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,1
Presque Isle,"Belknap Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,2
Presque Isle,"Belknap Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,89
Presque Isle,"Belknap Township, Precinct 1",U.S. House,Jack Bergman,1,REP,299
Presque Isle,"Belknap Township, Precinct 1",U.S. House,Ben Boren,1,LIB,3
Presque Isle,"Belknap Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,87
Presque Isle,"Belknap Township, Precinct 1",State House,Sue Allor,106,REP,300
Presque Isle,"Bismarck Township, Precinct 1",Registered Voters,,,,340
Presque Isle,"Bismarck Township, Precinct 1",Ballots Cast,,,,267
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,DEM,45
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,REP,97
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,LIB,1
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,WCP,2
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Bismarck Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Bismarck Township, Precinct 1",President,Joseph R Biden,,DEM,86
Presque Isle,"Bismarck Township, Precinct 1",President,Donald J Trump,,REP,173
Presque Isle,"Bismarck Township, Precinct 1",President,Jo Jorgensen,,LIB,2
Presque Isle,"Bismarck Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Bismarck Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Bismarck Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Bismarck Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,90
Presque Isle,"Bismarck Township, Precinct 1",U.S. Senate,John James,,REP,174
Presque Isle,"Bismarck Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,2
Presque Isle,"Bismarck Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"Bismarck Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Bismarck Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,75
Presque Isle,"Bismarck Township, Precinct 1",U.S. House,Jack Bergman,1,REP,184
Presque Isle,"Bismarck Township, Precinct 1",U.S. House,Ben Boren,1,LIB,4
Presque Isle,"Bismarck Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,76
Presque Isle,"Bismarck Township, Precinct 1",State House,Sue Allor,106,REP,189
Presque Isle,"Case Township, Precinct 1",Registered Voters,,,,722
Presque Isle,"Case Township, Precinct 1",Ballots Cast,,,,477
Presque Isle,"Case Township, Precinct 1",Straight Party,,,DEM,82
Presque Isle,"Case Township, Precinct 1",Straight Party,,,REP,185
Presque Isle,"Case Township, Precinct 1",Straight Party,,,LIB,1
Presque Isle,"Case Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Case Township, Precinct 1",Straight Party,,,WCP,3
Presque Isle,"Case Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Case Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Case Township, Precinct 1",President,Joseph R Biden,,DEM,157
Presque Isle,"Case Township, Precinct 1",President,Donald J Trump,,REP,317
Presque Isle,"Case Township, Precinct 1",President,Jo Jorgensen,,LIB,1
Presque Isle,"Case Township, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"Case Township, Precinct 1",President,Howie Hawkins,,GRN,1
Presque Isle,"Case Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Case Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,160
Presque Isle,"Case Township, Precinct 1",U.S. Senate,John James,,REP,303
Presque Isle,"Case Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,4
Presque Isle,"Case Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,5
Presque Isle,"Case Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Case Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,141
Presque Isle,"Case Township, Precinct 1",U.S. House,Jack Bergman,1,REP,323
Presque Isle,"Case Township, Precinct 1",U.S. House,Ben Boren,1,LIB,5
Presque Isle,"Case Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,722
Presque Isle,"Case Township, Precinct 1",State House,Sue Allor,106,REP,140
Presque Isle,"Krakow Township, Precinct 1",Registered Voters,,,,631
Presque Isle,"Krakow Township, Precinct 1",Ballots Cast,,,,489
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,DEM,88
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,REP,180
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,WCP,0
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Krakow Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Krakow Township, Precinct 1",President,Joseph R Biden,,DEM,176
Presque Isle,"Krakow Township, Precinct 1",President,Donald J Trump,,REP,306
Presque Isle,"Krakow Township, Precinct 1",President,Jo Jorgensen,,LIB,5
Presque Isle,"Krakow Township, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"Krakow Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Krakow Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Krakow Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,180
Presque Isle,"Krakow Township, Precinct 1",U.S. Senate,John James,,REP,299
Presque Isle,"Krakow Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,2
Presque Isle,"Krakow Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,3
Presque Isle,"Krakow Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Krakow Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,146
Presque Isle,"Krakow Township, Precinct 1",U.S. House,Jack Bergman,1,REP,329
Presque Isle,"Krakow Township, Precinct 1",U.S. House,Ben Boren,1,LIB,7
Presque Isle,"Krakow Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,149
Presque Isle,"Krakow Township, Precinct 1",State House,Sue Allor,106,REP,326
Presque Isle,"Metz Township, Precinct 1",Registered Voters,,,,243
Presque Isle,"Metz Township, Precinct 1",Ballots Cast,,,,165
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,DEM,33
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,REP,62
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,WCP,1
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Metz Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Metz Township, Precinct 1",President,Joseph R Biden,,DEM,57
Presque Isle,"Metz Township, Precinct 1",President,Donald J Trump,,REP,106
Presque Isle,"Metz Township, Precinct 1",President,Jo Jorgensen,,LIB,0
Presque Isle,"Metz Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Metz Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Metz Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Metz Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,60
Presque Isle,"Metz Township, Precinct 1",U.S. Senate,John James,,REP,102
Presque Isle,"Metz Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,1
Presque Isle,"Metz Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"Metz Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Metz Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,49
Presque Isle,"Metz Township, Precinct 1",U.S. House,Jack Bergman,1,REP,113
Presque Isle,"Metz Township, Precinct 1",U.S. House,Ben Boren,1,LIB,0
Presque Isle,"Metz Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,51
Presque Isle,"Metz Township, Precinct 1",State House,Sue Allor,106,REP,106
Presque Isle,"Moltke Township, Precinct 1",Registered Voters,,,,234
Presque Isle,"Moltke Township, Precinct 1",Ballots Cast,,,,191
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,DEM,19
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,REP,73
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,WCP,1
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Moltke Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Moltke Township, Precinct 1",President,Joseph R Biden,,DEM,59
Presque Isle,"Moltke Township, Precinct 1",President,Donald J Trump,,REP,131
Presque Isle,"Moltke Township, Precinct 1",President,Jo Jorgensen,,LIB,1
Presque Isle,"Moltke Township, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"Moltke Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Moltke Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Moltke Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,60
Presque Isle,"Moltke Township, Precinct 1",U.S. Senate,John James,,REP,129
Presque Isle,"Moltke Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,0
Presque Isle,"Moltke Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,1
Presque Isle,"Moltke Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Moltke Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,46
Presque Isle,"Moltke Township, Precinct 1",U.S. House,Jack Bergman,1,REP,144
Presque Isle,"Moltke Township, Precinct 1",U.S. House,Ben Boren,1,LIB,0
Presque Isle,"Moltke Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,44
Presque Isle,"Moltke Township, Precinct 1",State House,Sue Allor,106,REP,142
Presque Isle,"North Allis Township, Precinct 1",Registered Voters,,,,431
Presque Isle,"North Allis Township, Precinct 1",Ballots Cast,,,,286
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,DEM,37
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,REP,105
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,LIB,2
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,WCP,1
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,GRN,1
Presque Isle,"North Allis Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"North Allis Township, Precinct 1",President,Joseph R Biden,,DEM,90
Presque Isle,"North Allis Township, Precinct 1",President,Donald J Trump,,REP,190
Presque Isle,"North Allis Township, Precinct 1",President,Jo Jorgensen,,LIB,3
Presque Isle,"North Allis Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"North Allis Township, Precinct 1",President,Howie Hawkins,,GRN,1
Presque Isle,"North Allis Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"North Allis Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,94
Presque Isle,"North Allis Township, Precinct 1",U.S. Senate,John James,,REP,186
Presque Isle,"North Allis Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,2
Presque Isle,"North Allis Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,1
Presque Isle,"North Allis Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"North Allis Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,67
Presque Isle,"North Allis Township, Precinct 1",U.S. House,Jack Bergman,1,REP,204
Presque Isle,"North Allis Township, Precinct 1",U.S. House,Ben Boren,1,LIB,10
Presque Isle,"North Allis Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,81
Presque Isle,"North Allis Township, Precinct 1",State House,Sue Allor,106,REP,198
Presque Isle,"Ocqueoc Township, Precinct 1",Registered Voters,,,,583
Presque Isle,"Ocqueoc Township, Precinct 1",Ballots Cast,,,,412
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,DEM,92
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,REP,158
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,WCP,0
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Ocqueoc Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Ocqueoc Township, Precinct 1",President,Joseph R Biden,,DEM,158
Presque Isle,"Ocqueoc Township, Precinct 1",President,Donald J Trump,,REP,248
Presque Isle,"Ocqueoc Township, Precinct 1",President,Jo Jorgensen,,LIB,2
Presque Isle,"Ocqueoc Township, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"Ocqueoc Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Ocqueoc Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,161
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. Senate,John James,,REP,244
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,1
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,132
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. House,Jack Bergman,1,REP,268
Presque Isle,"Ocqueoc Township, Precinct 1",U.S. House,Ben Boren,1,LIB,4
Presque Isle,"Ocqueoc Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,138
Presque Isle,"Ocqueoc Township, Precinct 1",State House,Sue Allor,106,REP,263
Presque Isle,"Posen Township, Precinct 1",Registered Voters,,,,647
Presque Isle,"Posen Township, Precinct 1",Ballots Cast,,,,459
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,DEM,78
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,REP,149
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,WCP,3
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Posen Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Posen Township, Precinct 1",President,Joseph R Biden,,DEM,147
Presque Isle,"Posen Township, Precinct 1",President,Donald J Trump,,REP,307
Presque Isle,"Posen Township, Precinct 1",President,Jo Jorgensen,,LIB,1
Presque Isle,"Posen Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Posen Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Posen Township, Precinct 1",President,Rocky De La Fuente,,NLP,1
Presque Isle,"Posen Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,158
Presque Isle,"Posen Township, Precinct 1",U.S. Senate,John James,,REP,285
Presque Isle,"Posen Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,4
Presque Isle,"Posen Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"Posen Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,3
Presque Isle,"Posen Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,132
Presque Isle,"Posen Township, Precinct 1",U.S. House,Jack Bergman,1,REP,307
Presque Isle,"Posen Township, Precinct 1",U.S. House,Ben Boren,1,LIB,7
Presque Isle,"Posen Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,134
Presque Isle,"Posen Township, Precinct 1",State House,Sue Allor,106,REP,307
Presque Isle,"Presque Isle Township, Precinct 1",Registered Voters,,,,773
Presque Isle,"Presque Isle Township, Precinct 1",Ballots Cast,,,,
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,DEM,236
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,REP,397
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,LIB,1
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,UST,1
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,WCP,1
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Presque Isle Township, Precinct 1",Straight Party,,,NLP,1
Presque Isle,"Presque Isle Township, Precinct 1",President,Joseph R Biden,,DEM,552
Presque Isle,"Presque Isle Township, Precinct 1",President,Donald J Trump,,REP,807
Presque Isle,"Presque Isle Township, Precinct 1",President,Jo Jorgensen,,LIB,11
Presque Isle,"Presque Isle Township, Precinct 1",President,Don Blankenship,,UST,2
Presque Isle,"Presque Isle Township, Precinct 1",President,Howie Hawkins,,GRN,1
Presque Isle,"Presque Isle Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Presque Isle Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,550
Presque Isle,"Presque Isle Township, Precinct 1",U.S. Senate,John James,,REP,809
Presque Isle,"Presque Isle Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,5
Presque Isle,"Presque Isle Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,1
Presque Isle,"Presque Isle Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,1
Presque Isle,"Presque Isle Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,480
Presque Isle,"Presque Isle Township, Precinct 1",U.S. House,Jack Bergman,1,REP,856
Presque Isle,"Presque Isle Township, Precinct 1",U.S. House,Ben Boren,1,LIB,14
Presque Isle,"Presque Isle Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,474
Presque Isle,"Presque Isle Township, Precinct 1",State House,Sue Allor,106,REP,864
Presque Isle,"Pulawski Township, Precinct 1",Registered Voters,,,,248
Presque Isle,"Pulawski Township, Precinct 1",Ballots Cast,,,,190
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,DEM,34
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,REP,73
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,WCP,0
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Pulawski Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Pulawski Township, Precinct 1",President,Joseph R Biden,,DEM,53
Presque Isle,"Pulawski Township, Precinct 1",President,Donald J Trump,,REP,130
Presque Isle,"Pulawski Township, Precinct 1",President,Jo Jorgensen,,LIB,4
Presque Isle,"Pulawski Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Pulawski Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Pulawski Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Pulawski Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,71
Presque Isle,"Pulawski Township, Precinct 1",U.S. Senate,John James,,REP,113
Presque Isle,"Pulawski Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,0
Presque Isle,"Pulawski Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"Pulawski Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Pulawski Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,52
Presque Isle,"Pulawski Township, Precinct 1",U.S. House,Jack Bergman,1,REP,131
Presque Isle,"Pulawski Township, Precinct 1",U.S. House,Ben Boren,1,LIB,2
Presque Isle,"Pulawski Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,54
Presque Isle,"Pulawski Township, Precinct 1",State House,Sue Allor,106,REP,128
Presque Isle,"Rogers Township, Precinct 1",Registered Voters,,,,894
Presque Isle,"Rogers Township, Precinct 1",Ballots Cast,,,,689
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,DEM,96
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,REP,247
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,LIB,0
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,UST,0
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,WCP,0
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,GRN,1
Presque Isle,"Rogers Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Rogers Township, Precinct 1",President,Joseph R Biden,,DEM,218
Presque Isle,"Rogers Township, Precinct 1",President,Donald J Trump,,REP,459
Presque Isle,"Rogers Township, Precinct 1",President,Jo Jorgensen,,LIB,4
Presque Isle,"Rogers Township, Precinct 1",President,Don Blankenship,,UST,1
Presque Isle,"Rogers Township, Precinct 1",President,Howie Hawkins,,GRN,1
Presque Isle,"Rogers Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Rogers Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,240
Presque Isle,"Rogers Township, Precinct 1",U.S. Senate,John James,,REP,435
Presque Isle,"Rogers Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,1
Presque Isle,"Rogers Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,2
Presque Isle,"Rogers Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,0
Presque Isle,"Rogers Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,186
Presque Isle,"Rogers Township, Precinct 1",U.S. House,Jack Bergman,1,REP,484
Presque Isle,"Rogers Township, Precinct 1",U.S. House,Ben Boren,1,LIB,5
Presque Isle,"Rogers Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,188
Presque Isle,"Rogers Township, Precinct 1",State House,Sue Allor,106,REP,479
Presque Isle,"City of Onaway, Precinct 1",Registered Voters,,,,700
