county,precinct,office,district,candidate,party,votes,election_day,absentee
Bay,"Hampton Twp., Pct 2",Ballots Cast Blank,,,,0,0,0
Bay,"Hampton Twp., Pct 2",Straight Party,,Democratic Party,DEM,257,59,198
Bay,"Hampton Twp., Pct 2",Straight Party,,Republican Party,REP,280,171,109
Bay,"Hampton Twp., Pct 2",Straight Party,,Libertarian Party,LIB,4,4,0
Bay,"Hampton Twp., Pct 2",Straight Party,,U.S. Taxpayers Party,UTP,1,0,1
Bay,"Hampton Twp., Pct 2",Straight Party,,Working Class Party,WCP,3,2,1
Bay,"Hampton Twp., Pct 2",Straight Party,,Green Party,GRN,2,0,2
Bay,"Hampton Twp., Pct 2",Straight Party,,Natural Law Party,NLP,1,1,0
Bay,"Hampton Twp., Pct 2",President,,Joseph R. Biden,DEM,535,122,413
Bay,"Hampton Twp., Pct 2",President,,Donald J. Trump,REP,666,374,292
Bay,"Hampton Twp., Pct 2",President,,Jo Jorgensen,LIB,11,6,5
Bay,"Hampton Twp., Pct 2",President,,Don Blankenship,UTP,4,1,3
Bay,"Hampton Twp., Pct 2",President,,Howie Hawkins,GRN,2,1,1
Bay,"Hampton Twp., Pct 2",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Hampton Twp., Pct 2",President,,Write-In,,3,0,3
Bay,"Hampton Twp., Pct 2",U.S. Senate,,Gary Peters,DEM,540,124,416
Bay,"Hampton Twp., Pct 2",U.S. Senate,,John James,REP,645,365,280
Bay,"Hampton Twp., Pct 2",U.S. Senate,,Valerie L. Willis,UTP,10,4,6
Bay,"Hampton Twp., Pct 2",U.S. Senate,,Marcia Squier,GRN,10,4,6
Bay,"Hampton Twp., Pct 2",U.S. Senate,,Doug Dern,NLP,2,1,1
Bay,"Hampton Twp., Pct 2",U.S. Senate,,Write-In,,2,1,1
Bay,"Hampton Twp., Pct 2",U.S. House,5,Daniel T. Kildee,DEM,552,132,420
Bay,"Hampton Twp., Pct 2",U.S. House,5,Tim Kelly,REP,600,338,262
Bay,"Hampton Twp., Pct 2",U.S. House,5,James Harris,LIB,16,8,8
Bay,"Hampton Twp., Pct 2",U.S. House,5,Kathy Goodwin,WCP,22,13,9
Bay,"Hampton Twp., Pct 2",U.S. House,5,Write-In,,2,1,1
Bay,"Hampton Twp., Pct 2",State Representative,96,Brian K. Elder,DEM,518,127,391
Bay,"Hampton Twp., Pct 2",State Representative,96,Timothy Beson,REP,677,368,309
Bay,"Hampton Twp., Pct 2",State Representative,96,Write-In,,3,2,1
Bay,"Hampton Twp., Pct 3",Registered Voters,,,,1536,,
Bay,"Hampton Twp., Pct 3",Ballots Cast,,,,1168,455,713
Bay,"Hampton Twp., Pct 3",Ballots Cast Blank,,,,0,0,0
Bay,"Hampton Twp., Pct 3",Straight Party,,Democratic Party,DEM,283,46,237
Bay,"Hampton Twp., Pct 3",Straight Party,,Republican Party,REP,274,145,129
Bay,"Hampton Twp., Pct 3",Straight Party,,Libertarian Party,LIB,1,1,0
Bay,"Hampton Twp., Pct 3",Straight Party,,U.S. Taxpayers Party,UTP,0,0,0
Bay,"Hampton Twp., Pct 3",Straight Party,,Working Class Party,WCP,2,1,1
Bay,"Hampton Twp., Pct 3",Straight Party,,Green Party,GRN,1,0,1
Bay,"Hampton Twp., Pct 3",Straight Party,,Natural Law Party,NLP,0,0,0
Bay,"Hampton Twp., Pct 3",President,,Joseph R. Biden,DEM,523,104,419
Bay,"Hampton Twp., Pct 3",President,,Donald J. Trump,REP,621,342,279
Bay,"Hampton Twp., Pct 3",President,,Jo Jorgensen,LIB,9,5,4
Bay,"Hampton Twp., Pct 3",President,,Don Blankenship,UTP,3,1,2
Bay,"Hampton Twp., Pct 3",President,,Howie Hawkins,GRN,1,0,1
Bay,"Hampton Twp., Pct 3",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Hampton Twp., Pct 3",President,,Write-In,,2,0,2
Bay,"Hampton Twp., Pct 3",U.S. Senate,,Gary Peters,DEM,532,118,414
Bay,"Hampton Twp., Pct 3",U.S. Senate,,John James,REP,586,317,269
Bay,"Hampton Twp., Pct 3",U.S. Senate,,Valerie L. Willis,UTP,10,3,7
Bay,"Hampton Twp., Pct 3",U.S. Senate,,Marcia Squier,GRN,5,3,2
Bay,"Hampton Twp., Pct 3",U.S. Senate,,Doug Dern,NLP,3,3,0
Bay,"Hampton Twp., Pct 3",U.S. Senate,,Write-In,,1,0,1
Bay,"Hampton Twp., Pct 3",U.S. House,5,Daniel T. Kildee,DEM,538,125,413
Bay,"Hampton Twp., Pct 3",U.S. House,5,Tim Kelly,REP,566,301,265
Bay,"Hampton Twp., Pct 3",U.S. House,5,James Harris,LIB,9,2,7
Bay,"Hampton Twp., Pct 3",U.S. House,5,Kathy Goodwin,WCP,14,6,8
Bay,"Hampton Twp., Pct 3",U.S. House,5,Write-In,,0,0,0
Bay,"Hampton Twp., Pct 3",State Representative,96,Brian K. Elder,DEM,508,121,387
Bay,"Hampton Twp., Pct 3",State Representative,96,Timothy Beson,REP,629,321,308
Bay,"Hampton Twp., Pct 3",State Representative,96,Write-In,,1,0,1
Bay,"Hampton Twp., Pct 4",Registered Voters,,,,2015,,
Bay,"Hampton Twp., Pct 4",Ballots Cast,,,,1352,593,759
Bay,"Hampton Twp., Pct 4",Ballots Cast Blank,,,,0,0,0
Bay,"Hampton Twp., Pct 4",Straight Party,,Democratic Party,DEM,413,124,289
Bay,"Hampton Twp., Pct 4",Straight Party,,Republican Party,REP,302,187,115
Bay,"Hampton Twp., Pct 4",Straight Party,,Libertarian Party,LIB,8,5,3
Bay,"Hampton Twp., Pct 4",Straight Party,,U.S. Taxpayers Party,UTP,3,2,1
Bay,"Hampton Twp., Pct 4",Straight Party,,Working Class Party,WCP,2,0,2
Bay,"Hampton Twp., Pct 4",Straight Party,,Green Party,GRN,4,2,2
Bay,"Hampton Twp., Pct 4",Straight Party,,Natural Law Party,NLP,1,1,0
Bay,"Hampton Twp., Pct 4",President,,Joseph R. Biden,DEM,730,215,515
Bay,"Hampton Twp., Pct 4",President,,Donald J. Trump,REP,590,360,230
Bay,"Hampton Twp., Pct 4",President,,Jo Jorgensen,LIB,19,12,7
Bay,"Hampton Twp., Pct 4",President,,Don Blankenship,UTP,1,0,1
Bay,"Hampton Twp., Pct 4",President,,Howie Hawkins,GRN,4,3,1
Bay,"Hampton Twp., Pct 4",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Hampton Twp., Pct 4",President,,Write-In,,1,1,0
Bay,"Hampton Twp., Pct 4",U.S. Senate,,Gary Peters,DEM,750,231,519
Bay,"Hampton Twp., Pct 4",U.S. Senate,,John James,REP,559,346,213
Bay,"Hampton Twp., Pct 4",U.S. Senate,,Valerie L. Willis,UTP,14,3,11
Bay,"Hampton Twp., Pct 4",U.S. Senate,,Marcia Squier,GRN,10,5,5
Bay,"Hampton Twp., Pct 4",U.S. Senate,,Doug Dern,NLP,2,1,1
Bay,"Hampton Twp., Pct 4",U.S. Senate,,Write-In,,1,1,0
Bay,"Hampton Twp., Pct 4",U.S. House,5,Daniel T. Kildee,DEM,731,220,511
Bay,"Hampton Twp., Pct 4",U.S. House,5,Tim Kelly,REP,545,330,215
Bay,"Hampton Twp., Pct 4",U.S. House,5,James Harris,LIB,20,12,8
Bay,"Hampton Twp., Pct 4",U.S. House,5,Kathy Goodwin,WCP,21,11,10
Bay,"Hampton Twp., Pct 4",U.S. House,5,Write-In,,2,2,0
Bay,"Hampton Twp., Pct 4",State Representative,96,Brian K. Elder,DEM,707,224,483
Bay,"Hampton Twp., Pct 4",State Representative,96,Timothy Beson,REP,615,356,259
Bay,"Hampton Twp., Pct 4",State Representative,96,Write-In,,5,2,3
Bay,"Hampton Twp., Pct 5",Registered Voters,,,,1458,,
Bay,"Hampton Twp., Pct 5",Ballots Cast,,,,1008,468,540
Bay,"Hampton Twp., Pct 5",Ballots Cast Blank,,,,0,0,0
Bay,"Hampton Twp., Pct 5",Straight Party,,Democratic Party,DEM,245,76,169
Bay,"Hampton Twp., Pct 5",Straight Party,,Republican Party,REP,281,181,100
Bay,"Hampton Twp., Pct 5",Straight Party,,Libertarian Party,LIB,3,2,1
Bay,"Hampton Twp., Pct 5",Straight Party,,U.S. Taxpayers Party,UTP,1,1,0
Bay,"Hampton Twp., Pct 5",Straight Party,,Working Class Party,WCP,6,5,1
Bay,"Hampton Twp., Pct 5",Straight Party,,Green Party,GRN,2,0,2
Bay,"Hampton Twp., Pct 5",Straight Party,,Natural Law Party,NLP,0,0,0
Bay,"Hampton Twp., Pct 5",President,,Joseph R. Biden,DEM,448,127,321
Bay,"Hampton Twp., Pct 5",President,,Donald J. Trump,REP,537,335,202
Bay,"Hampton Twp., Pct 5",President,,Jo Jorgensen,LIB,10,3,7
Bay,"Hampton Twp., Pct 5",President,,Don Blankenship,UTP,1,0,1
Bay,"Hampton Twp., Pct 5",President,,Howie Hawkins,GRN,6,2,4
Bay,"Hampton Twp., Pct 5",President,,Rocky De La Fuente,NLP,1,1,0
Bay,"Hampton Twp., Pct 5",President,,Write-In,,1,0,1
Bay,"Hampton Twp., Pct 5",U.S. Senate,,Gary Peters,DEM,456,135,321
Bay,"Hampton Twp., Pct 5",U.S. Senate,,John James,REP,515,316,199
Bay,"Hampton Twp., Pct 5",U.S. Senate,,Valerie L. Willis,UTP,11,3,8
Bay,"Hampton Twp., Pct 5",U.S. Senate,,Marcia Squier,GRN,9,3,6
Bay,"Hampton Twp., Pct 5",U.S. Senate,,Doug Dern,NLP,2,1,1
Bay,"Hampton Twp., Pct 5",U.S. Senate,,Write-In,,1,1,0
Bay,"Hampton Twp., Pct 5",U.S. House,5,Daniel T. Kildee,DEM,452,131,321
Bay,"Hampton Twp., Pct 5",U.S. House,5,Tim Kelly,REP,472,294,178
Bay,"Hampton Twp., Pct 5",U.S. House,5,James Harris,LIB,31,19,12
Bay,"Hampton Twp., Pct 5",U.S. House,5,Kathy Goodwin,WCP,32,15,17
Bay,"Hampton Twp., Pct 5",U.S. House,5,Write-In,,0,0,0
Bay,"Hampton Twp., Pct 5",State Representative,96,Brian K. Elder,DEM,457,135,322
Bay,"Hampton Twp., Pct 5",State Representative,96,Timothy Beson,REP,530,324,206
Bay,"Hampton Twp., Pct 5",State Representative,96,Write-In,,0,0,0
Bay,"Kawkawlin Twp., Pct 1",Registered Voters,,,,2094,,
Bay,"Kawkawlin Twp., Pct 1",Ballots Cast,,,,1550,788,762
Bay,"Kawkawlin Twp., Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,Democratic Party,DEM,231,58,173
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,Republican Party,REP,373,245,128
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,Libertarian Party,LIB,7,6,1
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,U.S. Taxpayers Party,UTP,5,4,1
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,Working Class Party,WCP,9,6,3
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,Green Party,GRN,4,3,1
Bay,"Kawkawlin Twp., Pct 1",Straight Party,,Natural Law Party,NLP,1,1,0
Bay,"Kawkawlin Twp., Pct 1",President,,Joseph R. Biden,DEM,525,135,390
Bay,"Kawkawlin Twp., Pct 1",President,,Donald J. Trump,REP,982,627,355
Bay,"Kawkawlin Twp., Pct 1",President,,Jo Jorgensen,LIB,22,14,8
Bay,"Kawkawlin Twp., Pct 1",President,,Don Blankenship,UTP,5,3,2
Bay,"Kawkawlin Twp., Pct 1",President,,Howie Hawkins,GRN,3,3,0
Bay,"Kawkawlin Twp., Pct 1",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Kawkawlin Twp., Pct 1",President,,Write-In,,6,4,2
Bay,"Kawkawlin Twp., Pct 1",U.S. Senate,,Gary Peters,DEM,580,162,418
Bay,"Kawkawlin Twp., Pct 1",U.S. Senate,,John James,REP,902,586,316
Bay,"Kawkawlin Twp., Pct 1",U.S. Senate,,Valerie L. Willis,UTP,18,8,10
Bay,"Kawkawlin Twp., Pct 1",U.S. Senate,,Marcia Squier,GRN,14,9,5
Bay,"Kawkawlin Twp., Pct 1",U.S. Senate,,Doug Dern,NLP,2,1,1
Bay,"Kawkawlin Twp., Pct 1",U.S. Senate,,Write-In,,3,1,2
Bay,"Kawkawlin Twp., Pct 1",U.S. House,5,Daniel T. Kildee,DEM,580,171,409
Bay,"Kawkawlin Twp., Pct 1",U.S. House,5,Tim Kelly,REP,860,539,321
Bay,"Kawkawlin Twp., Pct 1",U.S. House,5,James Harris,LIB,23,19,4
Bay,"Kawkawlin Twp., Pct 1",U.S. House,5,Kathy Goodwin,WCP,35,21,14
Bay,"Kawkawlin Twp., Pct 1",U.S. House,5,Write-In,,4,3,1
Bay,"Kawkawlin Twp., Pct 1",State Representative,96,Brian K. Elder,DEM,512,159,353
Bay,"Kawkawlin Twp., Pct 1",State Representative,96,Timothy Beson,REP,997,603,394
Bay,"Kawkawlin Twp., Pct 1",State Representative,96,Write-In,,3,1,2
Bay,"Kawkawlin Twp., Pct 2",Registered Voters,,,,1633,,
Bay,"Kawkawlin Twp., Pct 2",Ballots Cast,,,,1265,599,666
Bay,"Kawkawlin Twp., Pct 2",Ballots Cast Blank,,,,0,0,0
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,Democratic Party,DEM,207,54,153
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,Republican Party,REP,284,197,87
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,Libertarian Party,LIB,1,1,0
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,U.S. Taxpayers Party,UTP,0,0,0
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,Working Class Party,WCP,5,3,2
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,Green Party,GRN,0,0,0
Bay,"Kawkawlin Twp., Pct 2",Straight Party,,Natural Law Party,NLP,0,0,0
Bay,"Kawkawlin Twp., Pct 2",President,,Joseph R. Biden,DEM,457,108,349
Bay,"Kawkawlin Twp., Pct 2",President,,Donald J. Trump,REP,780,485,295
Bay,"Kawkawlin Twp., Pct 2",President,,Jo Jorgensen,LIB,14,2,12
Bay,"Kawkawlin Twp., Pct 2",President,,Don Blankenship,UTP,2,1,1
Bay,"Kawkawlin Twp., Pct 2",President,,Howie Hawkins,GRN,4,2,2
Bay,"Kawkawlin Twp., Pct 2",President,,Rocky De La Fuente,NLP,2,0,2
Bay,"Kawkawlin Twp., Pct 2",President,,Write-In,,1,0,1
Bay,"Kawkawlin Twp., Pct 2",U.S. Senate,,Gary Peters,DEM,491,125,366
Bay,"Kawkawlin Twp., Pct 2",U.S. Senate,,John James,REP,728,459,269
Bay,"Kawkawlin Twp., Pct 2",U.S. Senate,,Valerie L. Willis,UTP,6,2,4
Bay,"Kawkawlin Twp., Pct 2",U.S. Senate,,Marcia Squier,GRN,6,1,5
Bay,"Kawkawlin Twp., Pct 2",U.S. Senate,,Doug Dern,NLP,5,0,5
Bay,"Kawkawlin Twp., Pct 2",U.S. Senate,,Write-In,,1,1,0
Bay,"Kawkawlin Twp., Pct 2",U.S. House,5,Daniel T. Kildee,DEM,506,127,379
Bay,"Kawkawlin Twp., Pct 2",U.S. House,5,Tim Kelly,REP,683,427,256
Bay,"Kawkawlin Twp., Pct 2",U.S. House,5,James Harris,LIB,18,11,7
Bay,"Kawkawlin Twp., Pct 2",U.S. House,5,Kathy Goodwin,WCP,22,14,8
Bay,"Kawkawlin Twp., Pct 2",U.S. House,5,Write-In,,2,2,0
Bay,"Kawkawlin Twp., Pct 2",State Representative,96,Brian K. Elder,DEM,449,115,334
Bay,"Kawkawlin Twp., Pct 2",State Representative,96,Timothy Beson,REP,786,470,316
Bay,"Kawkawlin Twp., Pct 2",State Representative,96,Write-In,,3,2,1
Bay,"Merritt Twp., Pct 1",Registered Voters,,,,1100,,
Bay,"Merritt Twp., Pct 1",Ballots Cast,,,,891,891,0
Bay,"Merritt Twp., Pct 1",Ballots Cast Blank,,,,2,2,0
Bay,"Merritt Twp., Pct 1",Straight Party,,Democratic Party,DEM,129,129,0
Bay,"Merritt Twp., Pct 1",Straight Party,,Republican Party,REP,251,251,0
Bay,"Merritt Twp., Pct 1",Straight Party,,Libertarian Party,LIB,1,1,0
Bay,"Merritt Twp., Pct 1",Straight Party,,U.S. Taxpayers Party,UTP,2,2,0
Bay,"Merritt Twp., Pct 1",Straight Party,,Working Class Party,WCP,6,6,0
Bay,"Merritt Twp., Pct 1",Straight Party,,Green Party,GRN,1,1,0
Bay,"Merritt Twp., Pct 1",Straight Party,,Natural Law Party,NLP,1,1,0
Bay,"Merritt Twp., Pct 1",President,,Joseph R. Biden,DEM,251,251,0
Bay,"Merritt Twp., Pct 1",President,,Donald J. Trump,REP,625,625,0
Bay,"Merritt Twp., Pct 1",President,,Jo Jorgensen,LIB,4,4,0
Bay,"Merritt Twp., Pct 1",President,,Don Blankenship,UTP,2,2,0
Bay,"Merritt Twp., Pct 1",President,,Howie Hawkins,GRN,1,1,0
Bay,"Merritt Twp., Pct 1",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Merritt Twp., Pct 1",President,,Write-In,,0,0,0
Bay,"Merritt Twp., Pct 1",U.S. Senate,,Gary Peters,DEM,308,308,0
Bay,"Merritt Twp., Pct 1",U.S. Senate,,John James,REP,557,557,0
Bay,"Merritt Twp., Pct 1",U.S. Senate,,Valerie L. Willis,UTP,9,9,0
Bay,"Merritt Twp., Pct 1",U.S. Senate,,Marcia Squier,GRN,4,4,0
Bay,"Merritt Twp., Pct 1",U.S. Senate,,Doug Dern,NLP,2,2,0
Bay,"Merritt Twp., Pct 1",U.S. Senate,,Write-In,,1,1,0
Bay,"Merritt Twp., Pct 1",U.S. House,5,Daniel T. Kildee,DEM,326,326,0
Bay,"Merritt Twp., Pct 1",U.S. House,5,Tim Kelly,REP,509,509,0
Bay,"Merritt Twp., Pct 1",U.S. House,5,James Harris,LIB,11,11,0
Bay,"Merritt Twp., Pct 1",U.S. House,5,Kathy Goodwin,WCP,22,22,0
Bay,"Merritt Twp., Pct 1",U.S. House,5,Write-In,,1,1,0
Bay,"Merritt Twp., Pct 1",State Representative,96,Brian K. Elder,DEM,292,292,0
Bay,"Merritt Twp., Pct 1",State Representative,96,Timothy Beson,REP,576,576,0
Bay,"Merritt Twp., Pct 1",State Representative,96,Write-In,,1,1,0
Bay,"Monitor Twp., Pct 1",Registered Voters,,,,1998,,
Bay,"Monitor Twp., Pct 1",Ballots Cast,,,,769,313,456
Bay,"Monitor Twp., Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Monitor Twp., Pct 1",Straight Party,,Democratic Party,DEM,200,37,163
Bay,"Monitor Twp., Pct 1",Straight Party,,Republican Party,REP,196,115,81
Bay,"Monitor Twp., Pct 1",Straight Party,,Libertarian Party,LIB,4,2,2
Bay,"Monitor Twp., Pct 1",Straight Party,,U.S. Taxpayers Party,UTP,3,1,2
Bay,"Monitor Twp., Pct 1",Straight Party,,Working Class Party,WCP,3,3,0
Bay,"Monitor Twp., Pct 1",Straight Party,,Green Party,GRN,0,0,0
Bay,"Monitor Twp., Pct 1",Straight Party,,Natural Law Party,NLP,0,0,0
Bay,"Monitor Twp., Pct 1",President,,Joseph R. Biden,DEM,341,70,271
Bay,"Monitor Twp., Pct 1",President,,Donald J. Trump,REP,420,242,178
Bay,"Monitor Twp., Pct 1",President,,Jo Jorgensen,LIB,6,1,5
Bay,"Monitor Twp., Pct 1",President,,Don Blankenship,UTP,0,0,0
Bay,"Monitor Twp., Pct 1",President,,Howie Hawkins,GRN,0,0,0
Bay,"Monitor Twp., Pct 1",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Monitor Twp., Pct 1",President,,Write-In,,0,0,0
Bay,"Monitor Twp., Pct 1",U.S. Senate,,Gary Peters,DEM,365,87,278
Bay,"Monitor Twp., Pct 1",U.S. Senate,,John James,REP,372,205,167
Bay,"Monitor Twp., Pct 1",U.S. Senate,,Valerie L. Willis,UTP,4,3,1
Bay,"Monitor Twp., Pct 1",U.S. Senate,,Marcia Squier,GRN,2,1,1
Bay,"Monitor Twp., Pct 1",U.S. Senate,,Doug Dern,NLP,2,2,0
Bay,"Monitor Twp., Pct 1",U.S. Senate,,Write-In,,1,1,0
Bay,"Monitor Twp., Pct 1",U.S. House,5,Daniel T. Kildee,DEM,356,78,278
Bay,"Monitor Twp., Pct 1",U.S. House,5,Tim Kelly,REP,357,198,159
Bay,"Monitor Twp., Pct 1",U.S. House,5,James Harris,LIB,10,7,3
Bay,"Monitor Twp., Pct 1",U.S. House,5,Kathy Goodwin,WCP,20,13,7
Bay,"Monitor Twp., Pct 1",U.S. House,5,Write-In,,0,0,0
Bay,"Monitor Twp., Pct 1",State Representative,96,Brian K. Elder,DEM,329,77,252
Bay,"Monitor Twp., Pct 1",State Representative,96,Timothy Beson,REP,417,225,192
Bay,"Monitor Twp., Pct 1",State Representative,96,Write-In,,1,1,0
Bay,"Monitor Twp., Pct 2",Registered Voters,,,,1020,,
Bay,"Monitor Twp., Pct 2",Ballots Cast,,,,1617,597,1020
Bay,"Monitor Twp., Pct 2",Ballots Cast Blank,,,,0,0,0
Bay,"Monitor Twp., Pct 2",Straight Party,,Democratic Party,DEM,279,42,237
Bay,"Monitor Twp., Pct 2",Straight Party,,Republican Party,REP,340,166,174
Bay,"Monitor Twp., Pct 2",Straight Party,,Libertarian Party,LIB,3,1,2
Bay,"Monitor Twp., Pct 2",Straight Party,,U.S. Taxpayers Party,UTP,0,0,0
Bay,"Monitor Twp., Pct 2",Straight Party,,Working Class Party,WCP,7,5,2
Bay,"Monitor Twp., Pct 2",Straight Party,,Green Party,GRN,2,2,0
Bay,"Monitor Twp., Pct 2",Straight Party,,Natural Law Party,NLP,0,0,0
Bay,"Monitor Twp., Pct 2",President,,Joseph R. Biden,DEM,706,146,560
Bay,"Monitor Twp., Pct 2",President,,Donald J. Trump,REP,879,436,443
Bay,"Monitor Twp., Pct 2",President,,Jo Jorgensen,LIB,16,9,7
Bay,"Monitor Twp., Pct 2",President,,Don Blankenship,UTP,2,1,1
Bay,"Monitor Twp., Pct 2",President,,Howie Hawkins,GRN,5,3,2
Bay,"Monitor Twp., Pct 2",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Monitor Twp., Pct 2",President,,Write-In,,3,1,2
Bay,"Monitor Twp., Pct 2",U.S. Senate,,Gary Peters,DEM,703,146,557
Bay,"Monitor Twp., Pct 2",U.S. Senate,,John James,REP,847,419,428
Bay,"Monitor Twp., Pct 2",U.S. Senate,,Valerie L. Willis,UTP,15,5,10
Bay,"Monitor Twp., Pct 2",U.S. Senate,,Marcia Squier,GRN,12,6,6
Bay,"Monitor Twp., Pct 2",U.S. Senate,,Doug Dern,NLP,2,2,0
Bay,"Monitor Twp., Pct 2",U.S. Senate,,Write-In,,0,0,0
Bay,"Monitor Twp., Pct 2",U.S. House,5,Daniel T. Kildee,DEM,731,165,566
Bay,"Monitor Twp., Pct 2",U.S. House,5,Tim Kelly,REP,788,383,405
Bay,"Monitor Twp., Pct 2",U.S. House,5,James Harris,LIB,15,8,7
Bay,"Monitor Twp., Pct 2",U.S. House,5,Kathy Goodwin,WCP,30,17,13
Bay,"Monitor Twp., Pct 2",U.S. House,5,Write-In,,0,0,0
Bay,"Monitor Twp., Pct 2",State Representative,96,Brian K. Elder,DEM,661,155,506
Bay,"Monitor Twp., Pct 2",State Representative,96,Timothy Beson,REP,909,425,484
Bay,"Monitor Twp., Pct 2",State Representative,96,Write-In,,3,1,2
Bay,"Monitor Twp., Pct 3",Registered Voters,,,,1621,,
Bay,"Monitor Twp., Pct 3",Ballots Cast,,,,1344,620,724
Bay,"Monitor Twp., Pct 3",Ballots Cast Blank,,,,0,0,0
Bay,"Monitor Twp., Pct 3",Straight Party,,Democratic Party,DEM,181,46,135
Bay,"Monitor Twp., Pct 3",Straight Party,,Republican Party,REP,321,183,138
Bay,"Monitor Twp., Pct 3",Straight Party,,Libertarian Party,LIB,7,3,4
Bay,"Monitor Twp., Pct 3",Straight Party,,U.S. Taxpayers Party,UTP,0,0,0
Bay,"Monitor Twp., Pct 3",Straight Party,,Working Class Party,WCP,3,3,0
Bay,"Monitor Twp., Pct 3",Straight Party,,Green Party,GRN,1,0,1
Bay,"Monitor Twp., Pct 3",Straight Party,,Natural Law Party,NLP,0,0,0
Bay,"Monitor Twp., Pct 3",President,,Joseph R. Biden,DEM,452,112,340
Bay,"Monitor Twp., Pct 3",President,,Donald J. Trump,REP,858,491,367
Bay,"Monitor Twp., Pct 3",President,,Jo Jorgensen,LIB,21,11,10
Bay,"Monitor Twp., Pct 3",President,,Don Blankenship,UTP,2,2,0
Bay,"Monitor Twp., Pct 3",President,,Howie Hawkins,GRN,1,0,1
Bay,"Monitor Twp., Pct 3",President,,Rocky De La Fuente,NLP,0,0,0
