county,precinct,office,district,party,candidate,election_day,votes
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Pete Buttigieg,5,5
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Tulsi Gabbard,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Bernie Sanders,69,69
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Ballots Cast,,DEM,,155,155
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Donald J. Trump,138,138
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Joe Walsh,4,4
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Uncommitted,3,3
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,194,194
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,108,108
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Ballots Cast,,NON,,302,302
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Joe Biden,95,95
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Michael R. Bloomberg,16,16
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Tulsi Gabbard,2,2
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Bernie Sanders,71,71
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Uncommitted,4,4
Hillsdale,"City of Jonesville, Precinct 1",Ballots Cast,,DEM,,192,192
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Donald J. Trump,197,197
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Uncommitted,12,12
Hillsdale,"City of Jonesville, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,276,276
Hillsdale,"City of Jonesville, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,137,137
Hillsdale,"City of Jonesville, Precinct 1",Ballots Cast,,NON,,413,413
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Joe Biden,44,44
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Michael R. Bloomberg,2,2
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Pete Buttigieg,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Tulsi Gabbard,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Bernie Sanders,33,33
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Uncommitted,0,0
Hillsdale,"City of Litchfield, Precinct 1",Ballots Cast,,DEM,,83,83
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Donald J. Trump,145,145
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Joe Walsh,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Uncommitted,4,4
Hillsdale,"City of Litchfield, Precinct 1",Litchfield Community Schools Sinking Fund Millage Proposal,,NON,Yes,167,167
Hillsdale,"City of Litchfield, Precinct 1",Litchfield Community Schools Sinking Fund Millage Proposal,,NON,No,80,80
Hillsdale,"City of Litchfield, Precinct 1",Ballots Cast,,NON,,247,247
Hillsdale,"City of Litchfield, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,139,139
Hillsdale,"City of Litchfield, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,106,106
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Joe Biden,26,26
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Michael R. Bloomberg,5,5
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Tulsi Gabbard,3,3
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Bernie Sanders,31,31
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Uncommitted,2,2
Hillsdale,"City of Reading, Precinct 1",Ballots Cast,,DEM,,70,70
Hillsdale,"City of Reading, Precinct 1",President,,REP,Mark Sanford,2,2
Hillsdale,"City of Reading, Precinct 1",President,,REP,Donald J. Trump,66,66
Hillsdale,"City of Reading, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"City of Reading, Precinct 1",President,,REP,Bill Weld,3,3
Hillsdale,"City of Reading, Precinct 1",President,,REP,Uncommitted,1,1
Hillsdale,"City of Reading, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,107,107
Hillsdale,"City of Reading, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,41,41
Hillsdale,"City of Reading, Precinct 1",Ballots Cast,,NON,,148,148
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Michael Bennet,1,1
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Joe Biden,81,81
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Michael R. Bloomberg,16,16
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Pete Buttigieg,1,1
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Tulsi Gabbard,3,3
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Bernie Sanders,72,72
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Uncommitted,2,2
Hillsdale,"Adams Township, Precinct 1",Ballots Cast,,DEM,,179,179
Hillsdale,"Adams Township, Precinct 1",President,,REP,Mark Sanford,2,2
Hillsdale,"Adams Township, Precinct 1",President,,REP,Donald J. Trump,247,247
Hillsdale,"Adams Township, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"Adams Township, Precinct 1",President,,REP,Bill Weld,1,1
Hillsdale,"Adams Township, Precinct 1",President,,REP,Uncommitted,4,4
Hillsdale,"Adams Township, Precinct 1",Pittsford Area Schools Sinking Fund Millage Proposal,,NON,Yes,11,11
Hillsdale,"Adams Township, Precinct 1",Pittsford Area Schools Sinking Fund Millage Proposal,,NON,No,28,28
Hillsdale,"Adams Township, Precinct 1",Ballots Cast,,NON,,39,39
Hillsdale,"Adams Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,235,235
Hillsdale,"Adams Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,214,214
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Joe Biden,50,50
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Michael R. Bloomberg,4,4
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Julián Castro,1,1
Hillsdale,"Allen Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Tulsi Gabbard,2,2
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Amy Klobuchar,2,2
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Bernie Sanders,39,39
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"Allen Township, Precinct 1",Ballots Cast,,DEM,,102,102
Hillsdale,"Allen Township, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"Allen Township, Precinct 1",President,,REP,Donald J. Trump,138,138
Hillsdale,"Allen Township, Precinct 1",President,,REP,Joe Walsh,0,0
Hillsdale,"Allen Township, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"Allen Township, Precinct 1",President,,REP,Uncommitted,4,4
Hillsdale,"Allen Township, Precinct 1",Litchfield Community Schools Sinking Fund Millage Proposal,,NON,Yes,8,8
Hillsdale,"Allen Township, Precinct 1",Litchfield Community Schools Sinking Fund Millage Proposal,,NON,No,6,6
Hillsdale,"Allen Township, Precinct 1",Ballots Cast,,NON,,14,14
Hillsdale,"Allen Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,75,75
Hillsdale,"Allen Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,76,76
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Joe Biden,65,65
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Michael R. Bloomberg,2,2
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Pete Buttigieg,1,1
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Julián Castro,1,1
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Tulsi Gabbard,1,1
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Bernie Sanders,16,16
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Elizabeth Warren,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"Amboy Township, Precinct 1",Ballots Cast,,DEM,,88,88
Hillsdale,"Amboy Township, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,REP,Donald J. Trump,99,99
Hillsdale,"Amboy Township, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"Amboy Township, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"Amboy Township, Precinct 1",President,,REP,Uncommitted,1,1
Hillsdale,"Amboy Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,106,106
Hillsdale,"Amboy Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,91,91
Hillsdale,"Amboy Township, Precinct 1",Ballots Cast,,NON,,197,197
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Joe Biden,85,85
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Michael R. Bloomberg,15,15
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Pete Buttigieg,1,1
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Tulsi Gabbard,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Amy Klobuchar,4,4
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Bernie Sanders,45,45
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Elizabeth Warren,4,4
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,DEM,Uncommitted,4,4
Hillsdale,"Cambria Township, Precinct 1",Ballots Cast,,DEM,,159,159
Hillsdale,"Cambria Township, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"Cambria Township, Precinct 1",President,,REP,Donald J. Trump,241,241
Hillsdale,"Cambria Township, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"Cambria Township, Precinct 1",President,,REP,Bill Weld,2,2
Hillsdale,"Cambria Township, Precinct 1",President,,REP,Uncommitted,11,11
Hillsdale,"Cambria Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,261,261
Hillsdale,"Cambria Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,164,164
Hillsdale,"Cambria Township, Precinct 1",Ballots Cast,,NON,,425,425
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Michael Bennet,1,1
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Joe Biden,39,39
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Michael R. Bloomberg,2,2
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Pete Buttigieg,1,1
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Tulsi Gabbard,1,1
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Amy Klobuchar,2,2
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Bernie Sanders,30,30
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Elizabeth Warren,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Camden Township, Precinct 1",President,,DEM,Uncommitted,2,2
Hillsdale,"Camden Township, Precinct 1",Ballots Cast,,DEM,,78,78
Hillsdale,"Camden Township, Precinct 1",President,,REP,Mark Sanford,1,1
Hillsdale,"Camden Township, Precinct 1",President,,REP,Donald J. Trump,127,127
Hillsdale,"Camden Township, Precinct 1",President,,REP,Joe Walsh,2,2
Hillsdale,"Camden Township, Precinct 1",President,,REP,Bill Weld,2,2
Hillsdale,"Camden Township, Precinct 1",President,,REP,Uncommitted,6,6
Hillsdale,"Camden Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,111,111
Hillsdale,"Camden Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,107,107
Hillsdale,"Camden Township, Precinct 1",Ballots Cast,,NON,,218,218
Hillsdale,"Fayette Township, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"Fayette Township, Precinct 1",President,,DEM,Joe Biden,62,62
Hillsdale,"Fayette Township, Precinct 1",President,,DEM,Michael R. Bloomberg,1,1
