county,precinct,office,distrcit,party,candidate,votes
Branch,Quincy Township Precinct 2,Straight Ticket,,LIB,,2
Branch,Sherwood Township Precinct 1,Straight Ticket,,LIB,,2
Branch,Tekonsha Township (Out of County),Straight Ticket,,LIB,,0
Branch,Union Township Precinct 1,Straight Ticket,,LIB,,8
Branch,Algansee Township Precinct 1,Straight Ticket,,UST,,1
Branch,Allen Township (Out of County),Straight Ticket,,UST,,0
Branch,Athens Township (Out of County),Straight Ticket,,UST,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,UST,,0
Branch,Bethel Township Precinct 1,Straight Ticket,,UST,,0
Branch,Bronson Township Precinct 1,Straight Ticket,,UST,,4
Branch,Burlington Township (Out of County),Straight Ticket,,UST,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,UST,,0
Branch,Butler Township Precinct 1,Straight Ticket,,UST,,4
Branch,California Township Precinct 1,Straight Ticket,,UST,,1
Branch,City of Bronson Precinct 1,Straight Ticket,,UST,,4
Branch,City of Coldwater Precinct 1,Straight Ticket,,UST,,1
Branch,City of Coldwater Precinct 2,Straight Ticket,,UST,,2
Branch,City of Coldwater Precinct 3,Straight Ticket,,UST,,1
Branch,City of Coldwater Precinct 4,Straight Ticket,,UST,,2
Branch,Coldwater Township Precinct 1,Straight Ticket,,UST,,1
Branch,Fredonia Township (Out of County),Straight Ticket,,UST,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,UST,,0
Branch,Girard Township Precinct 1,Straight Ticket,,UST,,0
Branch,Kinderhook Township Precinct 1,Straight Ticket,,UST,,1
Branch,Matteson Township Precinct 1,Straight Ticket,,UST,,0
Branch,Newton Township (Out of County),Straight Ticket,,UST,,0
Branch,Noble Township Precinct 1,Straight Ticket,,UST,,0
Branch,Ovid Township Precinct 1,Straight Ticket,,UST,,2
Branch,Quincy Township Precinct 1,Straight Ticket,,UST,,0
Branch,Quincy Township Precinct 2,Straight Ticket,,UST,,0
Branch,Sherwood Township Precinct 1,Straight Ticket,,UST,,0
Branch,Tekonsha Township (Out of County),Straight Ticket,,UST,,0
Branch,Union Township Precinct 1,Straight Ticket,,UST,,6
Branch,Algansee Township Precinct 1,Straight Ticket,,WCP,,2
Branch,Allen Township (Out of County),Straight Ticket,,WCP,,0
Branch,Athens Township (Out of County),Straight Ticket,,WCP,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,WCP,,1
Branch,Bethel Township Precinct 1,Straight Ticket,,WCP,,3
Branch,Bronson Township Precinct 1,Straight Ticket,,WCP,,1
Branch,Burlington Township (Out of County),Straight Ticket,,WCP,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,WCP,,0
Branch,Butler Township Precinct 1,Straight Ticket,,WCP,,2
Branch,California Township Precinct 1,Straight Ticket,,WCP,,2
Branch,City of Bronson Precinct 1,Straight Ticket,,WCP,,3
Branch,City of Coldwater Precinct 1,Straight Ticket,,WCP,,2
Branch,City of Coldwater Precinct 2,Straight Ticket,,WCP,,5
Branch,City of Coldwater Precinct 3,Straight Ticket,,WCP,,4
Branch,City of Coldwater Precinct 4,Straight Ticket,,WCP,,7
Branch,Coldwater Township Precinct 1,Straight Ticket,,WCP,,6
Branch,Fredonia Township (Out of County),Straight Ticket,,WCP,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,WCP,,0
Branch,Girard Township Precinct 1,Straight Ticket,,WCP,,1
Branch,Kinderhook Township Precinct 1,Straight Ticket,,WCP,,1
Branch,Matteson Township Precinct 1,Straight Ticket,,WCP,,2
Branch,Newton Township (Out of County),Straight Ticket,,WCP,,0
Branch,Noble Township Precinct 1,Straight Ticket,,WCP,,0
Branch,Ovid Township Precinct 1,Straight Ticket,,WCP,,3
Branch,Quincy Township Precinct 1,Straight Ticket,,WCP,,0
Branch,Quincy Township Precinct 2,Straight Ticket,,WCP,,2
Branch,Sherwood Township Precinct 1,Straight Ticket,,WCP,,4
Branch,Tekonsha Township (Out of County),Straight Ticket,,WCP,,0
Branch,Union Township Precinct 1,Straight Ticket,,WCP,,8
Branch,Algansee Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Allen Township (Out of County),Straight Ticket,,GRN,,0
Branch,Athens Township (Out of County),Straight Ticket,,GRN,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Bethel Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Bronson Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Burlington Township (Out of County),Straight Ticket,,GRN,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,GRN,,0
Branch,Butler Township Precinct 1,Straight Ticket,,GRN,,0
Branch,California Township Precinct 1,Straight Ticket,,GRN,,1
Branch,City of Bronson Precinct 1,Straight Ticket,,GRN,,0
Branch,City of Coldwater Precinct 1,Straight Ticket,,GRN,,2
Branch,City of Coldwater Precinct 2,Straight Ticket,,GRN,,0
Branch,City of Coldwater Precinct 3,Straight Ticket,,GRN,,1
Branch,City of Coldwater Precinct 4,Straight Ticket,,GRN,,2
Branch,Coldwater Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Fredonia Township (Out of County),Straight Ticket,,GRN,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Girard Township Precinct 1,Straight Ticket,,GRN,,2
Branch,Kinderhook Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Matteson Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Newton Township (Out of County),Straight Ticket,,GRN,,0
Branch,Noble Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Ovid Township Precinct 1,Straight Ticket,,GRN,,1
Branch,Quincy Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Quincy Township Precinct 2,Straight Ticket,,GRN,,0
Branch,Sherwood Township Precinct 1,Straight Ticket,,GRN,,0
Branch,Tekonsha Township (Out of County),Straight Ticket,,GRN,,0
Branch,Union Township Precinct 1,Straight Ticket,,GRN,,1
Branch,Algansee Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Allen Township (Out of County),Straight Ticket,,NLP,,0
Branch,Athens Township (Out of County),Straight Ticket,,NLP,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,NLP,,1
Branch,Bethel Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Bronson Township Precinct 1,Straight Ticket,,NLP,,3
Branch,Burlington Township (Out of County),Straight Ticket,,NLP,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,NLP,,0
Branch,Butler Township Precinct 1,Straight Ticket,,NLP,,0
Branch,California Township Precinct 1,Straight Ticket,,NLP,,0
Branch,City of Bronson Precinct 1,Straight Ticket,,NLP,,0
Branch,City of Coldwater Precinct 1,Straight Ticket,,NLP,,3
Branch,City of Coldwater Precinct 2,Straight Ticket,,NLP,,2
Branch,City of Coldwater Precinct 3,Straight Ticket,,NLP,,0
Branch,City of Coldwater Precinct 4,Straight Ticket,,NLP,,1
Branch,Coldwater Township Precinct 1,Straight Ticket,,NLP,,2
Branch,Fredonia Township (Out of County),Straight Ticket,,NLP,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Girard Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Kinderhook Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Matteson Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Newton Township (Out of County),Straight Ticket,,NLP,,0
Branch,Noble Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Ovid Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Quincy Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Quincy Township Precinct 2,Straight Ticket,,NLP,,0
Branch,Sherwood Township Precinct 1,Straight Ticket,,NLP,,0
Branch,Tekonsha Township (Out of County),Straight Ticket,,NLP,,0
Branch,Union Township Precinct 1,Straight Ticket,,NLP,,3
Branch,Algansee Township Precinct 1,Governor,,DEM,Gretchen Whitmer,236
Branch,Batavia Township Precinct 1,Governor,,DEM,Gretchen Whitmer,155
Branch,Bethel Township Precinct 1,Governor,,DEM,Gretchen Whitmer,136
Branch,Bronson Township Precinct 1,Governor,,DEM,Gretchen Whitmer,145
Branch,Butler Township Precinct 1,Governor,,DEM,Gretchen Whitmer,155
Branch,California Township Precinct 1,Governor,,DEM,Gretchen Whitmer,55
Branch,City of Bronson Precinct 1,Governor,,DEM,Gretchen Whitmer,229
Branch,City of Coldwater Precinct 1,Governor,,DEM,Gretchen Whitmer,276
Branch,City of Coldwater Precinct 2,Governor,,DEM,Gretchen Whitmer,416
Branch,City of Coldwater Precinct 3,Governor,,DEM,Gretchen Whitmer,564
Branch,City of Coldwater Precinct 4,Governor,,DEM,Gretchen Whitmer,326
Branch,Coldwater Township Precinct 1,Governor,,DEM,Gretchen Whitmer,514
Branch,Gilead Township Precinct 1,Governor,,DEM,Gretchen Whitmer,99
Branch,Girard Township Precinct 1,Governor,,DEM,Gretchen Whitmer,288
Branch,Kinderhook Township Precinct 1,Governor,,DEM,Gretchen Whitmer,239
Branch,Matteson Township Precinct 1,Governor,,DEM,Gretchen Whitmer,205
Branch,Noble Township Precinct 1,Governor,,DEM,Gretchen Whitmer,51
Branch,Ovid Township Precinct 1,Governor,,DEM,Gretchen Whitmer,429
Branch,Quincy Township Precinct 1,Governor,,DEM,Gretchen Whitmer,186
Branch,Quincy Township Precinct 2,Governor,,DEM,Gretchen Whitmer,335
Branch,Sherwood Township Precinct 1,Governor,,DEM,Gretchen Whitmer,238
Branch,Union Township Precinct 1,Governor,,DEM,Gretchen Whitmer,399
Branch,Algansee Township Precinct 1,Governor,,REP,Tudor M. Dixon,567
Branch,Batavia Township Precinct 1,Governor,,REP,Tudor M. Dixon,356
Branch,Bethel Township Precinct 1,Governor,,REP,Tudor M. Dixon,326
Branch,Bronson Township Precinct 1,Governor,,REP,Tudor M. Dixon,431
Branch,Butler Township Precinct 1,Governor,,REP,Tudor M. Dixon,329
Branch,California Township Precinct 1,Governor,,REP,Tudor M. Dixon,127
Branch,City of Bronson Precinct 1,Governor,,REP,Tudor M. Dixon,355
Branch,City of Coldwater Precinct 1,Governor,,REP,Tudor M. Dixon,322
Branch,City of Coldwater Precinct 2,Governor,,REP,Tudor M. Dixon,490
Branch,City of Coldwater Precinct 3,Governor,,REP,Tudor M. Dixon,647
Branch,City of Coldwater Precinct 4,Governor,,REP,Tudor M. Dixon,362
Branch,Coldwater Township Precinct 1,Governor,,REP,Tudor M. Dixon,"1,025"
Branch,Gilead Township Precinct 1,Governor,,REP,Tudor M. Dixon,182
Branch,Girard Township Precinct 1,Governor,,REP,Tudor M. Dixon,575
Branch,Kinderhook Township Precinct 1,Governor,,REP,Tudor M. Dixon,507
Branch,Matteson Township Precinct 1,Governor,,REP,Tudor M. Dixon,335
Branch,Noble Township Precinct 1,Governor,,REP,Tudor M. Dixon,163
Branch,Ovid Township Precinct 1,Governor,,REP,Tudor M. Dixon,868
Branch,Quincy Township Precinct 1,Governor,,REP,Tudor M. Dixon,343
Branch,Quincy Township Precinct 2,Governor,,REP,Tudor M. Dixon,634
Branch,Sherwood Township Precinct 1,Governor,,REP,Tudor M. Dixon,493
Branch,Union Township Precinct 1,Governor,,REP,Tudor M. Dixon,695
Branch,Algansee Township Precinct 1,Governor,,LIB,Mary Buzuma,7
Branch,Batavia Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Branch,Bethel Township Precinct 1,Governor,,LIB,Mary Buzuma,0
Branch,Bronson Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Branch,Butler Township Precinct 1,Governor,,LIB,Mary Buzuma,7
Branch,California Township Precinct 1,Governor,,LIB,Mary Buzuma,2
Branch,City of Bronson Precinct 1,Governor,,LIB,Mary Buzuma,8
Branch,City of Coldwater Precinct 1,Governor,,LIB,Mary Buzuma,6
Branch,City of Coldwater Precinct 2,Governor,,LIB,Mary Buzuma,9
Branch,City of Coldwater Precinct 3,Governor,,LIB,Mary Buzuma,14
Branch,City of Coldwater Precinct 4,Governor,,LIB,Mary Buzuma,9
Branch,Coldwater Township Precinct 1,Governor,,LIB,Mary Buzuma,12
Branch,Gilead Township Precinct 1,Governor,,LIB,Mary Buzuma,2
Branch,Girard Township Precinct 1,Governor,,LIB,Mary Buzuma,9
Branch,Kinderhook Township Precinct 1,Governor,,LIB,Mary Buzuma,3
Branch,Matteson Township Precinct 1,Governor,,LIB,Mary Buzuma,2
Branch,Noble Township Precinct 1,Governor,,LIB,Mary Buzuma,1
Branch,Ovid Township Precinct 1,Governor,,LIB,Mary Buzuma,6
Branch,Quincy Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Branch,Quincy Township Precinct 2,Governor,,LIB,Mary Buzuma,7
Branch,Sherwood Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Branch,Union Township Precinct 1,Governor,,LIB,Mary Buzuma,11
Branch,Algansee Township Precinct 1,Governor,,UST,Donna Brandenburg,6
Branch,Batavia Township Precinct 1,Governor,,UST,Donna Brandenburg,10
Branch,Bethel Township Precinct 1,Governor,,UST,Donna Brandenburg,4
Branch,Bronson Township Precinct 1,Governor,,UST,Donna Brandenburg,6
Branch,Butler Township Precinct 1,Governor,,UST,Donna Brandenburg,1
Branch,California Township Precinct 1,Governor,,UST,Donna Brandenburg,2
Branch,City of Bronson Precinct 1,Governor,,UST,Donna Brandenburg,7
Branch,City of Coldwater Precinct 1,Governor,,UST,Donna Brandenburg,5
Branch,City of Coldwater Precinct 2,Governor,,UST,Donna Brandenburg,11
Branch,City of Coldwater Precinct 3,Governor,,UST,Donna Brandenburg,5
Branch,City of Coldwater Precinct 4,Governor,,UST,Donna Brandenburg,7
Branch,Coldwater Township Precinct 1,Governor,,UST,Donna Brandenburg,10
Branch,Gilead Township Precinct 1,Governor,,UST,Donna Brandenburg,3
Branch,Girard Township Precinct 1,Governor,,UST,Donna Brandenburg,3
Branch,Kinderhook Township Precinct 1,Governor,,UST,Donna Brandenburg,2
Branch,Matteson Township Precinct 1,Governor,,UST,Donna Brandenburg,4
Branch,Noble Township Precinct 1,Governor,,UST,Donna Brandenburg,1
Branch,Ovid Township Precinct 1,Governor,,UST,Donna Brandenburg,6
Branch,Quincy Township Precinct 1,Governor,,UST,Donna Brandenburg,1
Branch,Quincy Township Precinct 2,Governor,,UST,Donna Brandenburg,2
Branch,Sherwood Township Precinct 1,Governor,,UST,Donna Brandenburg,7
Branch,Union Township Precinct 1,Governor,,UST,Donna Brandenburg,19
Branch,Algansee Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,Batavia Township Precinct 1,Governor,,GRN,Kevin Hogan,1
Branch,Bethel Township Precinct 1,Governor,,GRN,Kevin Hogan,2
Branch,Bronson Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,Butler Township Precinct 1,Governor,,GRN,Kevin Hogan,2
Branch,California Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,City of Bronson Precinct 1,Governor,,GRN,Kevin Hogan,2
Branch,City of Coldwater Precinct 1,Governor,,GRN,Kevin Hogan,2
Branch,City of Coldwater Precinct 2,Governor,,GRN,Kevin Hogan,3
Branch,City of Coldwater Precinct 3,Governor,,GRN,Kevin Hogan,1
Branch,City of Coldwater Precinct 4,Governor,,GRN,Kevin Hogan,4
Branch,Coldwater Township Precinct 1,Governor,,GRN,Kevin Hogan,5
Branch,Gilead Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,Girard Township Precinct 1,Governor,,GRN,Kevin Hogan,4
Branch,Kinderhook Township Precinct 1,Governor,,GRN,Kevin Hogan,2
Branch,Matteson Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,Noble Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,Ovid Township Precinct 1,Governor,,GRN,Kevin Hogan,1
Branch,Quincy Township Precinct 1,Governor,,GRN,Kevin Hogan,0
Branch,Quincy Township Precinct 2,Governor,,GRN,Kevin Hogan,5
Branch,Sherwood Township Precinct 1,Governor,,GRN,Kevin Hogan,2
Branch,Union Township Precinct 1,Governor,,GRN,Kevin Hogan,3
Branch,Algansee Township Precinct 1,Governor,,NLP,Daryl M. Simpson,1
Branch,Batavia Township Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,Bethel Township Precinct 1,Governor,,NLP,Daryl M. Simpson,1
Branch,Bronson Township Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,Butler Township Precinct 1,Governor,,NLP,Daryl M. Simpson,2
Branch,California Township Precinct 1,Governor,,NLP,Daryl M. Simpson,2
Branch,City of Bronson Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,City of Coldwater Precinct 1,Governor,,NLP,Daryl M. Simpson,4
Branch,City of Coldwater Precinct 2,Governor,,NLP,Daryl M. Simpson,1
Branch,City of Coldwater Precinct 3,Governor,,NLP,Daryl M. Simpson,1
Branch,City of Coldwater Precinct 4,Governor,,NLP,Daryl M. Simpson,0
Branch,Coldwater Township Precinct 1,Governor,,NLP,Daryl M. Simpson,2
Branch,Gilead Township Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,Girard Township Precinct 1,Governor,,NLP,Daryl M. Simpson,2
Branch,Kinderhook Township Precinct 1,Governor,,NLP,Daryl M. Simpson,1
Branch,Matteson Township Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,Noble Township Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,Ovid Township Precinct 1,Governor,,NLP,Daryl M. Simpson,3
Branch,Quincy Township Precinct 1,Governor,,NLP,Daryl M. Simpson,0
Branch,Quincy Township Precinct 2,Governor,,NLP,Daryl M. Simpson,2
Branch,Sherwood Township Precinct 1,Governor,,NLP,Daryl M. Simpson,1
Branch,Union Township Precinct 1,Governor,,NLP,Daryl M. Simpson,3
Branch,Algansee Township Precinct 1,Governor,,Write In,,1
Branch,Batavia Township Precinct 1,Governor,,Write In,,1
Branch,Bethel Township Precinct 1,Governor,,Write In,,1
Branch,Bronson Township Precinct 1,Governor,,Write In,,0
Branch,Butler Township Precinct 1,Governor,,Write In,,0
Branch,California Township Precinct 1,Governor,,Write In,,0
Branch,City of Bronson Precinct 1,Governor,,Write In,,1
Branch,City of Coldwater Precinct 1,Governor,,Write In,,2
Branch,City of Coldwater Precinct 2,Governor,,Write In,,0
Branch,City of Coldwater Precinct 3,Governor,,Write In,,5
Branch,City of Coldwater Precinct 4,Governor,,Write In,,0
Branch,Coldwater Township Precinct 1,Governor,,Write In,,2
Branch,Gilead Township Precinct 1,Governor,,Write In,,0
Branch,Girard Township Precinct 1,Governor,,Write In,,3
Branch,Kinderhook Township Precinct 1,Governor,,Write In,,0
Branch,Matteson Township Precinct 1,Governor,,Write In,,0
Branch,Noble Township Precinct 1,Governor,,Write In,,0
Branch,Ovid Township Precinct 1,Governor,,Write In,,0
Branch,Quincy Township Precinct 1,Governor,,Write In,,0
Branch,Quincy Township Precinct 2,Governor,,Write In,,1
Branch,Sherwood Township Precinct 1,Governor,,Write In,,0
Branch,Union Township Precinct 1,Governor,,Write In,,3
Branch,Algansee Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,243
Branch,Batavia Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,171
Branch,Bethel Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,148
Branch,Bronson Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,167
Branch,Butler Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,167
Branch,California Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,52
Branch,City of Bronson Precinct 1,Secretary of State,,DEM,Jocelyn Benson,230
Branch,City of Coldwater Precinct 1,Secretary of State,,DEM,Jocelyn Benson,271
Branch,City of Coldwater Precinct 2,Secretary of State,,DEM,Jocelyn Benson,400
Branch,City of Coldwater Precinct 3,Secretary of State,,DEM,Jocelyn Benson,568
Branch,City of Coldwater Precinct 4,Secretary of State,,DEM,Jocelyn Benson,314
Branch,Coldwater Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,528
Branch,Gilead Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,103
Branch,Girard Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,302
Branch,Kinderhook Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,253
Branch,Matteson Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,210
Branch,Noble Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,51
Branch,Ovid Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,458
Branch,Quincy Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,185
Branch,Quincy Township Precinct 2,Secretary of State,,DEM,Jocelyn Benson,340
Branch,Sherwood Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,255
Branch,Union Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,400
Branch,Algansee Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,549
Branch,Batavia Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,335
Branch,Bethel Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,307
Branch,Bronson Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,402
Branch,Butler Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,314
Branch,California Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,125
Branch,City of Bronson Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,339
Branch,City of Coldwater Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,317
Branch,City of Coldwater Precinct 2,Secretary of State,,REP,Kristina Elaine Karamo,494
Branch,City of Coldwater Precinct 3,Secretary of State,,REP,Kristina Elaine Karamo,618
Branch,City of Coldwater Precinct 4,Secretary of State,,REP,Kristina Elaine Karamo,360
Branch,Coldwater Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,995
Branch,Gilead Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,175
Branch,Girard Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,547
Branch,Kinderhook Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,485
Branch,Matteson Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,325
Branch,Noble Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,160
Branch,Ovid Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,823
