county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,,,,,
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Pamela Pugh,DEM,214,158,372
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Mitchell Robinson,DEM,198,156,354
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Tamara D. Carlone,REP,271,118,389
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Linda Lee Tarver,REP,271,116,387
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Donna Gundle-Krieg,LIB,3,4,7
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Bill Hall,LIB,8,1,9
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Ethan Hobson,UST,5,3,8
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Mary Anne Hering,WC,23,7,30
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Cast Votes,,993,563,1556
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Undervotes,,82,37,119
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Rejected,,1,0,1
Ottawa,"City of Holland, Ward 1, Precinct 3",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Democratic,DEM,97,179,276
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Republican,REP,67,129,196
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Libertarian,LIB,2,0,2
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Working Class,WC,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Green,GRE,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Cast Votes,,167,308,475
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Undervotes,,145,190,335
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Overvotes,,2,0,2
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Straight Party,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Gretchen Whitmer,DEM,182,327,509
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Tudor M. Dixon,REP,120,162,282
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Mary Buzuma,LIB,5,1,6
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Donna Brandenburg,UST,3,1,4
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Kevin Hogan,GRE,1,1,2
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Daryl M. Simpson,NAL,0,1,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Bob Scott (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Cast Votes,,311,493,804
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Undervotes,,2,5,7
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Governor,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Jocelyn Benson,DEM,180,320,500
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Kristina Elaine Karamo,REP,118,168,286
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Gregory Scott Stempfle,LIB,6,4,10
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Christine C. Schwartz,UST,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Larry James Hutchinson Jr.,GRE,3,0,3
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Cast Votes,,308,492,800
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Undervotes,,5,6,11
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Secretary of State,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Dana Nessel,DEM,178,315,493
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Matthew DePerno,REP,118,169,287
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Joseph W. McHugh Jr.,LIB,10,2,12
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Gerald T. Van Sickle,UST,0,1,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Cast Votes,,306,487,793
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Undervotes,,6,10,16
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Overvotes,,1,1,2
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Rejected,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",Attorney General,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Joseph Alfonso,DEM,166,286,452
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Bill Huizenga,REP,133,200,333
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Lorence Wenke,LIB,9,2,11
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Curtis Michael Clark,UST,0,1,1
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Cast Votes,,308,489,797
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Undervotes,,5,9,14
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",U.S. House,4,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Kim S. Nagy,DEM,163,283,446
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Roger Victory,REP,131,201,332
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Jessica L. Fox,LIB,10,3,13
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Cast Votes,,304,487,791
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Undervotes,,9,10,19
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Rejected,,0,1,1
Ottawa,"City of Holland, Ward 2, Precinct 4",State Senate,31,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Larry D. Jackson,DEM,171,261,432
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Nancy De Boer,REP,133,225,358
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Cast Votes,,304,486,790
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Undervotes,,10,12,22
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,,,,,
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Pamela Pugh,DEM,156,265,421
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Mitchell Robinson,DEM,149,261,410
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Tamara D. Carlone,REP,117,189,306
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Linda Lee Tarver,REP,114,183,297
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Donna Gundle-Krieg,LIB,9,1,10
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Bill Hall,LIB,14,4,18
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Ethan Hobson,UST,0,3,3
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Mary Anne Hering,WC,7,9,16
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Cast Votes,,566,915,1481
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Undervotes,,60,79,139
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Rejected,,0,2,2
Ottawa,"City of Holland, Ward 2, Precinct 4",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Democratic,DEM,118,116,234
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Republican,REP,105,39,144
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Libertarian,LIB,4,0,4
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Working Class,WC,0,2,2
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Green,GRE,1,1,2
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Cast Votes,,228,158,386
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Undervotes,,193,126,319
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Straight Party,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Gretchen Whitmer,DEM,252,224,476
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Tudor M. Dixon,REP,160,57,217
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Mary Buzuma,LIB,5,1,6
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Donna Brandenburg,UST,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Kevin Hogan,GRE,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Daryl M. Simpson,NAL,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Bob Scott (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Cast Votes,,418,282,700
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Undervotes,,4,2,6
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Governor,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Jocelyn Benson,DEM,248,215,463
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Kristina Elaine Karamo,REP,156,62,218
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Gregory Scott Stempfle,LIB,8,4,12
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Christine C. Schwartz,UST,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Larry James Hutchinson Jr.,GRE,4,0,4
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Cast Votes,,416,281,697
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Undervotes,,6,3,9
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Secretary of State,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Dana Nessel,DEM,237,208,445
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Matthew DePerno,REP,155,67,222
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Joseph W. McHugh Jr.,LIB,18,3,21
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Gerald T. Van Sickle,UST,2,1,3
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Cast Votes,,412,279,691
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Undervotes,,10,5,15
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",Attorney General,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Joseph Alfonso,DEM,230,195,425
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Bill Huizenga,REP,169,73,242
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Lorence Wenke,LIB,15,3,18
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Curtis Michael Clark,UST,2,1,3
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Cast Votes,,416,272,688
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Undervotes,,6,9,15
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Rejected,,0,3,3
Ottawa,"City of Holland, Ward 2, Precinct 5",U.S. House,4,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Kim S. Nagy,DEM,229,195,424
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Roger Victory,REP,162,79,241
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Jessica L. Fox,LIB,18,4,22
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Cast Votes,,409,278,687
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Undervotes,,12,5,17
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Overvotes,,0,1,1
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Rejected,,1,0,1
Ottawa,"City of Holland, Ward 2, Precinct 5",State Senate,31,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Larry D. Jackson,DEM,235,204,439
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Nancy De Boer,REP,174,72,246
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Cast Votes,,409,276,685
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Undervotes,,13,6,19
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Rejected,,0,2,2
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,,,,,
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Pamela Pugh,DEM,217,197,414
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Mitchell Robinson,DEM,207,186,393
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Tamara D. Carlone,REP,158,71,229
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Linda Lee Tarver,REP,155,68,223
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Donna Gundle-Krieg,LIB,16,5,21
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Bill Hall,LIB,13,3,16
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Ethan Hobson,UST,4,1,5
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Mary Anne Hering,WC,12,5,17
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Cast Votes,,782,536,1318
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Undervotes,,62,31,93
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Rejected,,0,1,1
Ottawa,"City of Holland, Ward 2, Precinct 5",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Democratic,DEM,263,179,442
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Republican,REP,136,23,159
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Libertarian,LIB,4,2,6
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,U.S. Taxpayers,UST,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Working Class,WC,3,1,4
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Green,GRE,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Natural Law,NAL,0,1,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Cast Votes,,408,206,614
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Undervotes,,315,124,439
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Straight Party,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Gretchen Whitmer,DEM,479,280,759
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Tudor M. Dixon,REP,223,39,262
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Mary Buzuma,LIB,14,5,19
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Donna Brandenburg,UST,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Kevin Hogan,GRE,4,0,4
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Daryl M. Simpson,NAL,0,3,3
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Bob Scott (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Cast Votes,,721,327,1048
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Undervotes,,1,3,4
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Governor,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Jocelyn Benson,DEM,470,280,750
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Kristina Elaine Karamo,REP,210,39,249
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Gregory Scott Stempfle,LIB,19,4,23
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Christine C. Schwartz,UST,3,0,3
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Larry James Hutchinson Jr.,GRE,3,2,5
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Cast Votes,,705,325,1030
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Undervotes,,17,5,22
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Secretary of State,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Dana Nessel,DEM,455,273,728
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Matthew DePerno,REP,215,41,256
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Joseph W. McHugh Jr.,LIB,26,7,33
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Gerald T. Van Sickle,UST,5,2,7
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Cast Votes,,701,323,1024
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Undervotes,,21,6,27
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Rejected,,0,1,1
Ottawa,"City of Holland, Ward 3, Precinct 6",Attorney General,,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Joseph Alfonso,DEM,433,265,698
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Bill Huizenga,REP,246,56,302
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Lorence Wenke,LIB,24,4,28
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Curtis Michael Clark,UST,4,1,5
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Cast Votes,,707,326,1033
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Undervotes,,16,4,20
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",U.S. House,4,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Kim S. Nagy,DEM,431,272,703
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Roger Victory,REP,229,47,276
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Jessica L. Fox,LIB,41,5,46
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Cast Votes,,701,324,1025
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Undervotes,,21,6,27
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Overvotes,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Rejected,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",State Senate,31,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Larry D. Jackson,DEM,445,268,713
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Nancy De Boer,REP,256,54,310
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Cast Votes,,701,322,1023
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Undervotes,,21,8,29
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Overvotes,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Rejected,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Unresolved,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,,,,,
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Pamela Pugh,DEM,415,260,675
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Mitchell Robinson,DEM,381,262,643
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Tamara D. Carlone,REP,217,43,260
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Linda Lee Tarver,REP,203,42,245
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Donna Gundle-Krieg,LIB,25,4,29
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Bill Hall,LIB,24,6,30
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Ethan Hobson,UST,9,3,12
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Mary Anne Hering,WC,35,9,44
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Cast Votes,,1309,629,1938
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Undervotes,,132,31,163
Ottawa,"City of Holland, Ward 3, Precinct 6",State House,86,Overvotes,,1,0,1
